actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-02T22:11:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-02T22:11:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-02T22:11:20.4Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612764,0,0,2022-11-02T22:11:20Z,40000,,,0,,Jump Ball K. Porzingis vs. T. Harris: Tip to K. Kuzma,"[1628398, 204001, 202699]",1610612764.0,WAS,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Porzingis,204001.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-02T22:11:36.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,94.30026281208936,54.41176470588235,1610612764,0,2,2022-11-02T22:11:42Z,70000,22.0,1.0,1,right,B. Beal driving Layup (2 PTS) (M. Morris 1 AST),"[203078, 1628420]",1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,2.21,Made,2.0,M. Morris,1628420.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-11-02T22:11:50.9Z,1,REGULAR,3pt,Jump Shot,[],202699,29.77989487516426,74.75490196078431,1610612755,3,2,2022-11-02T22:11:54Z,90000,-124.0,227.0,1,left,T. Harris 25' 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.89,Made,3.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
11,PT11M04.00S,2022-11-02T22:12:12.4Z,1,REGULAR,3pt,Jump Shot,[],1628398,88.12417871222075,97.79411764705883,1610612764,3,2,2022-11-02T22:12:16Z,110000,239.0,59.0,1,right,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,24.62,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-11-02T22:12:14.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,3,2,2022-11-02T22:12:16Z,120000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M44.00S,2022-11-02T22:12:33.3Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612755,3,2,2022-11-02T22:12:37Z,130000,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1628420]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Morris,1628420.0,,,,,,,
14,PT10M44.00S,2022-11-02T22:12:33.3Z,1,REGULAR,steal,,[],1628420,,,1610612764,3,2,2022-11-02T22:12:35Z,140000,,,0,,M. Morris STEAL (1 STL),[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2022-11-02T22:13:10.3Z,1,REGULAR,turnover,bad pass,[],1628398,,,1610612764,3,2,2022-11-02T22:13:16Z,160000,,,0,,K. Kuzma bad pass TURNOVER (1 TO),"[1628398, 1629680]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,
17,PT10M28.00S,2022-11-02T22:13:10.3Z,1,REGULAR,steal,,[],1629680,,,1610612755,3,2,2022-11-02T22:13:12Z,170000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
