actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-11T00:10:55.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-11T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-11T00:10:58.4Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2023-01-11T00:10:58Z,40000,False,,,0,,Jump Ball J. Embiid vs. N. Noel: Tip to P. Tucker,"[200782, 203954, 203457]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Noel,203457.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2023-01-11T00:11:19.6Z,1,REGULAR,2pt,Jump Shot,[],202699,3.860052562417877,83.82352941176471,1610612755,2,0,2023-01-11T00:11:25Z,70000,False,-169.0,-16.0,1,left,T. Harris 16' pullup Jump Shot (2 PTS),[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left,16.99,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2023-01-11T00:11:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,69.56307490144546,73.2843137254902,1610612765,2,0,2023-01-11T00:11:44Z,90000,False,116.0,234.0,1,right,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,26.1,Missed,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2023-01-11T00:11:42.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,2,0,2023-01-11T00:11:44Z,100000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M06.00S,2023-01-11T00:11:47.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203954,17.526281208935615,72.30392156862744,1610612755,2,0,2023-01-11T00:16:36Z,110000,False,-112.0,112.0,1,left,MISS J. Embiid 15' running pullup Shot - blocked,"[203954, 203457]",1610612755.0,PHI,running pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,15.82,Missed,,,,,,Noel,203457.0,,,,,,,,,,,
12,PT11M06.00S,2023-01-11T00:11:47.6Z,1,REGULAR,block,,[],203457,,,1610612755,2,0,2023-01-11T00:11:51Z,120000,False,,,0,,N. Noel BLOCK (1 BLK),[203457],1610612765.0,DET,,,,Noel,N. Noel,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2023-01-11T00:11:51.6Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,0,2023-01-11T00:11:55Z,130000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M59.00S,2023-01-11T00:11:54.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631093,68.64323258869908,27.450980392156865,1610612765,2,3,2023-01-11T00:12:14Z,140000,False,-113.0,242.0,1,right,J. Ivey 26' 3PT running (3 PTS) (S. Bey 1 AST),"[1631093, 1630180]",1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,26.72,Made,3.0,,,,,,,S. Bey,1630180.0,1.0,,,,,,,,
16,PT10M39.00S,2023-01-11T00:12:14.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,17.920499342969777,56.86274509803921,1610612755,4,3,2023-01-11T00:12:18Z,160000,False,-34.0,116.0,1,left,T. Harris 12' pullup Jump Shot (4 PTS),[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,12.1,Made,4.0,,,,,,,,,,,,,,,,,
