shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-10T00:45:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-10T00:45:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:56,4,PT11M56.00S,2022-12-10T00:45:59.6Z,1,REGULAR,jumpball,recovered,[],201935,,,1610612755,0,0,2022-12-10T00:45:59Z,40000,False,,,0,,Jump Ball J. Embiid vs. A. Davis: Tip to J. Harden,"[201935, 203954, 203076]",1,1610612755.0,PHI,startperiod,J. Harden,201935.0,Harden,J. Harden,Embiid,203954.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
11:45,7,PT11M45.00S,2022-12-10T00:46:10.5Z,1,REGULAR,2pt,Jump Shot,[],203954,22.125492772667542,43.13725490196079,1610612755,2,0,2022-12-10T00:46:24Z,70000,False,34.0,155.0,1,left,J. Embiid 15' Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",21,1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,15.92,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
11:19,9,PT11M19.00S,2022-12-10T00:46:40.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612747,2,0,2022-12-10T00:46:47Z,90000,False,,,0,,LAL shot clock Team TURNOVER,[],,1610612747.0,LAL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,1151.0,,,,,,,,,,,,,
10:56,10,PT10M56.00S,2022-12-10T00:47:09.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,6.619579500657039,51.470588235294116,1610612755,4,0,2022-12-10T00:47:13Z,100000,False,-7.0,10.0,1,left,J. Embiid driving Layup (4 PTS),[203954],21,1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.22,Made,4.0,,,,,,,,,,,,,,,,,
10:37,11,PT10M37.00S,2022-12-10T00:47:28.1Z,1,REGULAR,2pt,Jump Shot,[],1629022,79.68134034165571,74.01960784313725,1610612747,4,2,2022-12-10T00:47:32Z,110000,False,120.0,138.0,1,right,L. Walker IV 18' pullup Jump Shot (2 PTS),[1629022],4,1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Mid-Range,16-24 Right Center,18.33,Made,2.0,,,,,,,,,,,,,,,,,
10:16,12,PT10M16.00S,2022-12-10T00:47:52.8Z,1,REGULAR,foul,offensive,[],203954,,,1610612755,4,2,2022-12-10T00:48:07Z,120000,False,,,0,,J. Embiid charge offensive FOUL (1 PF),"[203954, 201976]",21,1610612755.0,PHI,charge,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2005.0,1.0,0.0,Beverley,201976.0,,,,,,,,,
10:16,14,PT10M16.00S,2022-12-10T00:47:52.8Z,1,REGULAR,turnover,offensive foul,[],203954,,,1610612755,4,2,2022-12-10T00:48:07Z,140000,False,,,0,,J. Embiid offensive foul TURNOVER (1 TO),[203954],21,1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202058.0,,,,,1.0,,,,,,,,
10:07,15,PT10M07.00S,2022-12-10T00:48:18.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2544,75.73915900131406,45.34313725490197,1610612747,4,2,2022-12-10T00:48:26Z,150000,False,-23.0,176.0,1,right,MISS L. James 17' pullup Shot,[2544],6,1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Center,17.71,Missed,,,,,,,,,,,,,,,,,,
10:00,16,PT10M00.00S,2022-12-10T00:48:25.7Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,4,2,2022-12-10T00:48:26Z,160000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],3,1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,15.0,1.0,0.0,1.0,,,,
