actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-29T00:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-11-29T00:10:47.5Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-11-29T00:10:47Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Embiid: Tip to J. Collins,"[1628381, 203991, 203954]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-11-29T00:11:02.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,81.553876478318,39.46078431372549,1610612737,0,2,2022-11-29T00:11:06Z,70000,False,-53.0,121.0,1,right,D. Murray 13' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.19,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-11-29T00:11:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.389618922470433,55.392156862745104,1610612755,0,2,2022-11-29T00:11:23Z,80000,False,-27.0,8.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-11-29T00:11:21.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,2,2022-11-29T00:11:23Z,90000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2022-11-29T00:11:30.2Z,1,REGULAR,foul,personal,[],1629003,,,1610612737,0,2,2022-11-29T00:11:37Z,100000,False,,,0,,S. Milton personal FOUL (1 PF),"[1629003, 1629027]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Mid-Range,16-24 Center,,,,,,,,201245.0,1.0,0.0,Young,1629027.0,,,,,,,,
12,PT11M08.00S,2022-11-29T00:11:52.3Z,1,REGULAR,2pt,Jump Shot,[],1629631,76.2976346911958,62.00980392156863,1610612737,0,2,2022-11-29T00:11:56Z,120000,False,60.0,170.0,1,right,MISS D. Hunter 18' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right Center,18.06,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-11-29T00:11:56.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,2,2022-11-29T00:11:56Z,130000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Right Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M46.00S,2022-11-29T00:12:14.1Z,1,REGULAR,3pt,Jump Shot,[],1629001,29.517082785808146,17.15686274509804,1610612755,0,2,2022-11-29T00:12:20Z,140000,False,164.0,225.0,1,left,MISS D. Melton 27' pullup 3PT,[1629001],1610612755.0,PHI,pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,27.85,Missed,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2022-11-29T00:12:18.1Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,0,2,2022-11-29T00:12:20Z,150000,False,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,
16,PT10M38.00S,2022-11-29T00:12:21.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,18.610381077529567,38.48039215686275,1610612755,2,2,2022-11-29T00:12:25Z,160000,False,58.0,122.0,1,left,T. Harris 13' Jump Shot (2 PTS) (S. Milton 1 AST),"[202699, 1629003]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,13.53,Made,2.0,,,,,,,,,,S. Milton,1629003.0,1.0,,,,,
18,PT10M12.00S,2022-11-29T00:12:47.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,71.30420499342969,20.098039215686274,1610612737,2,5,2022-11-29T00:12:51Z,180000,False,-150.0,217.0,1,right,D. Murray 26' 3PT  (5 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,26.37,Made,5.0,,,,,,,,,,T. Young,1629027.0,1.0,,,,,
