actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
35,PT08M28.00S,2023-03-29T23:50:22.9Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,5,7,2023-03-29T23:50:23Z,350000,False,,,0,,T. Maxey REBOUND (Off:0 Def:2),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,
36,PT08M23.00S,2023-03-29T23:50:31.6Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612755,5,7,2023-03-29T23:50:37Z,360000,False,,,0,,D. Powell shooting personal FOUL (2 PF) (Embiid 2 FT),"[203939, 203954]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Center,204059.0,,,,,,,,2.0,0.0,Embiid,203954.0,,,,,,,,
38,PT08M23.00S,2023-03-29T23:51:04.0Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,6,7,2023-03-29T23:51:04Z,380000,False,,,0,,J. Embiid Free Throw 1 of 2 (6 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
39,PT08M23.00S,2023-03-29T23:51:05.1Z,1,REGULAR,substitution,out,[],203939,,,1610612755,6,7,2023-03-29T23:51:09Z,390000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2023-03-29T23:51:05.1Z,1,REGULAR,substitution,in,[],1628467,,,1610612755,6,7,2023-03-29T23:51:09Z,400000,False,,,0,,SUB in: M. Kleber,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2023-03-29T23:51:31.5Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,7,7,2023-03-29T23:51:31Z,410000,False,,,0,,J. Embiid Free Throw 2 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
42,PT08M04.00S,2023-03-29T23:51:52.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,89.30683311432325,54.41176470588235,1610612742,7,9,2023-03-29T23:51:56Z,420000,False,22.0,48.0,1,right,L. Doncic driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,,,5.28,Made,2.0,,,,,,,,,,,,,,,
43,PT07M56.00S,2023-03-29T23:52:00.0Z,1,REGULAR,3pt,Jump Shot,[],202699,28.465834428383708,21.323529411764707,1610612755,7,9,2023-03-29T23:52:05Z,430000,False,143.0,215.0,1,left,MISS T. Harris 25' step back 3PT,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,25.85,Missed,,,,,,,,,,,,,,,,
44,PT07M53.00S,2023-03-29T23:52:03.0Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,7,9,2023-03-29T23:52:05Z,440000,False,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,
45,PT07M45.00S,2023-03-29T23:52:11.4Z,1,REGULAR,3pt,Jump Shot,[],1628467,71.04139290407359,18.38235294117647,1610612742,7,9,2023-03-29T23:52:15Z,450000,False,-158.0,220.0,1,right,MISS M. Kleber 27' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,,,27.07,Missed,,,,,,,,,,,,,,,,
46,PT07M43.00S,2023-03-29T23:52:13.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,7,9,2023-03-29T23:52:15Z,460000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,,,
47,PT07M37.00S,2023-03-29T23:52:21.5Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,7,9,2023-03-30T01:19:59Z,470000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,,,,,,,,,
48,PT07M26.00S,2023-03-29T23:52:35.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202681,74.98357424441524,11.76470588235294,1610612742,7,12,2023-03-29T23:52:39Z,480000,False,-191.0,183.0,1,right,K. Irving 26' 3PT  (6 PTS) (L. Doncic 4 AST),"[202681, 1629029]",1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,26.45,Made,6.0,L. Doncic,1629029.0,4.0,,,,,,,,,,,,
50,PT07M16.00S,2023-03-29T23:52:45.9Z,1,REGULAR,3pt,Jump Shot,[],202699,27.94021024967148,79.16666666666666,1610612755,7,12,2023-03-29T23:52:53Z,500000,False,-146.0,210.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,25.57,Missed,,,,,,,,,,,,,,,,
51,PT07M09.00S,2023-03-29T23:52:52.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,12,2023-03-29T23:52:53Z,510000,False,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,
52,PT07M08.00S,2023-03-29T23:52:57.0Z,1,REGULAR,foul,personal,[],1630178,,,1610612742,7,12,2023-03-29T23:53:06Z,520000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1629029]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,1626302.0,,,,,,,,1.0,0.0,Doncic,1629029.0,,,,,,,,
54,PT06M58.00S,2023-03-29T23:53:24.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,71.82982917214193,16.666666666666664,1610612742,7,12,2023-03-29T23:53:29Z,540000,False,-167.0,212.0,1,right,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,26.99,Missed,,,,,,,,,,,,,,,,
55,PT06M53.00S,2023-03-29T23:53:29.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,7,12,2023-03-29T23:53:29Z,550000,False,,,0,,P. Tucker REBOUND (Off:1 Def:2),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,54.0,3.0,2.0,1.0,,,,
