actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-12T22:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T22:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2023-03-12T22:11:19.5Z,1,REGULAR,jumpball,recovered,[],1629655,,,1610612764,0,0,2023-03-12T22:11:19Z,70000,False,,,0,,Jump Ball K. Porzingis vs. J. Embiid: Tip to D. Gafford,"[1629655, 204001, 203954]",1610612764.0,WAS,startperiod,D. Gafford,1629655.0,Gafford,D. Gafford,Porzingis,204001.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2023-03-12T22:11:27.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,57.999342969776606,25.490196078431367,1610612764,0,0,2023-03-12T22:11:33Z,100000,False,-123.0,342.0,1,right,MISS K. Kuzma 36' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,36.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2023-03-12T22:11:27.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2023-03-12T22:11:33Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,10.0,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-03-12T22:12:00.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,29.352825229960573,85.29411764705883,1610612755,0,0,2023-03-12T22:12:05Z,130000,False,-176.0,223.0,1,left,MISS T. Maxey 28' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,28.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-03-12T22:12:05.3Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-03-12T22:12:05Z,140000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M00.00S,2023-03-12T22:12:13.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628420,86.90867279894876,62.99019607843137,1610612764,0,0,2023-03-12T22:12:19Z,150000,False,65.0,71.0,1,right,MISS M. Morris 9' driving floating Shot,[1628420],1610612764.0,WAS,driving floating,,,Morris,M. Morris,,,,,In The Paint (Non-RA),8-16 Right,9.6,Missed,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2023-03-12T22:12:14.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2023-03-12T22:12:19Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,16.0,,,,,,,,,,,,,,,,,
19,PT10M40.00S,2023-03-12T22:12:42.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.305519053876466,48.0392156862745,1610612755,0,0,2023-03-12T22:12:47Z,180000,False,10.0,-3.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
20,PT10M38.00S,2023-03-12T22:12:44.6Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-03-12T22:14:57Z,190000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
