actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-07T00:11:08.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-07T00:11:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-07T00:11:10.9Z,1,REGULAR,jumpball,recovered,[],201942,,,1610612741,0,0,2023-01-07T00:11:11Z,40000,False,,,0,,Jump Ball N. Vucevic vs. T. Harris: Tip to D. DeRozan,"[201942, 202696, 202699]",1610612741.0,CHI,startperiod,D. DeRozan,201942.0,DeRozan,D. DeRozan,Vucevic,202696.0,Harris,202699.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-07T00:11:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630172,70.22010512483574,20.588235294117652,1610612741,0,0,2023-01-07T00:11:30Z,70000,False,-147.0,227.0,1,right,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,27.08,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-01-07T00:11:29.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2023-01-07T00:11:30Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2023-01-07T00:11:46.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,7.933639947437584,43.627450980392155,1610612755,0,0,2023-01-07T00:12:23Z,90000,False,32.0,22.0,1,left,MISS J. Harden driving Layup,[201935],1610612755.0,PHI,driving,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,3.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2023-01-07T00:11:50.4Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,0,0,2023-01-07T00:12:23Z,100000,False,,,0,,J. Harden REBOUND (Off:1 Def:0),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2023-01-07T00:11:49.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201935,5.590000152587891,50.0,1610612755,0,0,2023-01-07T00:11:49Z,110000,False,0.0,0.0,1,left,MISS J. Harden tip Layup,[201935],1610612755.0,PHI,tip,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2023-01-07T00:11:51.4Z,1,REGULAR,rebound,offensive,[],201935,,,1610612755,0,0,2023-01-07T00:11:51Z,120000,False,,,0,,J. Harden REBOUND (Off:2 Def:0),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,Mid-Range,8-16 Left,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,,,
13,PT11M14.00S,2023-01-07T00:11:53.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201935,11.875821287779246,51.22549019607843,1610612755,0,0,2023-01-07T00:12:30Z,130000,False,-6.0,59.0,1,left,MISS J. Harden putback Layup - blocked,"[201935, 202696]",1610612755.0,PHI,putback,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,Vucevic,202696.0,,,,,,,,,,,,
14,PT11M14.00S,2023-01-07T00:11:53.1Z,1,REGULAR,block,,[],202696,,,1610612755,0,0,2023-01-07T00:11:57Z,140000,False,,,0,,N. Vucevic BLOCK (1 BLK),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
