actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-11T00:11:15.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-11T00:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-11T00:11:27.4Z,1,REGULAR,jumpball,recovered,[],0,,,1610612752,0,0,2023-02-11T00:11:27Z,40000,False,,,0,,Jump Ball J. Sims vs. J. Embiid: Tip to Team (NYK),"[1630579, 203954]",1610612752.0,NYK,startperiod,Team (NYK),Sims,1630579.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-02-11T00:11:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.24901445466492,47.549019607843135,1610612752,0,2,2023-02-11T00:11:51Z,70000,False,-12.0,11.0,1,right,J. Brunson finger roll Layup (2 PTS),[1628973],1610612752.0,NYK,finger roll,,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,Brunson,J. Brunson,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2023-02-11T00:11:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,9.937582128777924,52.94117647058824,1610612755,0,2,2023-02-11T00:12:03Z,80000,False,-15.0,41.0,1,left,MISS T. Harris driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,,,,Restricted Area,0-8 Center,4.35,Missed,,Harris,T. Harris,,,,,,,,,,,,,,,,,
9,PT11M27.00S,2023-02-11T00:12:01.9Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,0,2,2023-02-11T00:12:03Z,90000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,,Sims,J. Sims,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M25.00S,2023-02-11T00:12:07.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628973,94.56307490144546,55.63725490196079,1610612752,0,4,2023-02-11T00:12:12Z,100000,False,28.0,-1.0,1,right,J. Brunson running Layup (4 PTS) (J. Sims 1 AST),"[1628973, 1630579]",1610612752.0,NYK,running,,,,,,Restricted Area,0-8 Center,2.82,Made,4.0,Brunson,J. Brunson,,,,,J. Sims,1630579.0,1.0,,,,,,,,,,
13,PT11M25.00S,2023-02-11T00:12:11.3Z,1,REGULAR,foul,personal,['1freethrow'],1629001,,,1610612752,0,4,2023-02-11T00:12:21Z,120000,False,,,0,,D. Melton shooting personal FOUL (1 PF) (Brunson 1 FT),"[1629001, 1628973]",1610612755.0,PHI,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Melton,D. Melton,,,,,,,,200832.0,1.0,0.0,Brunson,1628973.0,,,,,
15,PT11M25.00S,2023-02-11T00:12:36.0Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628973,,,1610612752,0,5,2023-02-11T00:12:36Z,140000,False,,,0,,J. Brunson Free Throw 1 of 1 (5 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,Made,5.0,Brunson,J. Brunson,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2023-02-11T00:12:48.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,11.251642575558476,56.372549019607845,1610612755,0,5,2023-02-11T00:12:53Z,150000,False,-32.0,53.0,1,left,MISS J. Embiid 6' turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,,,,In The Paint (Non-RA),0-8 Center,6.21,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
17,PT11M10.00S,2023-02-11T00:12:51.0Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,5,2023-02-11T00:12:51Z,160000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Randle,J. Randle,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT11M07.00S,2023-02-11T00:12:54.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629656,91.14651773981603,4.411764705882353,1610612752,0,5,2023-02-11T00:13:17Z,170000,False,-228.0,31.0,1,right,MISS Q. Grimes running 3PT,[1629656],1610612752.0,NYK,running,,,,,,Left Corner 3,24+ Left,23.0,Missed,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,
19,PT11M04.00S,2023-02-11T00:12:57.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,5,2023-02-11T00:13:00Z,180000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,,Harris,T. Harris,18.0,1.0,1.0,0.0,,,,,,,,,,,,,
20,PT11M00.00S,2023-02-11T00:13:01.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201935,4.681340341655716,50.98039215686274,1610612755,2,5,2023-02-11T00:13:19Z,190000,False,-5.0,-8.0,1,left,J. Harden running Layup (2 PTS) (T. Harris 1 AST),"[201935, 202699]",1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,Harden,J. Harden,,,,,T. Harris,202699.0,1.0,,,,,,,,,,
