actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-20T23:33:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T23:33:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-20T23:33:27.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-10-20T23:33:27Z,40000,,,0,,Jump Ball B. Lopez vs. J. Embiid: Tip to G. Antetokounmpo,"[203507, 201572, 203954]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-10-20T23:33:38.5Z,1,REGULAR,3pt,Jump Shot,[],201572,92.0335085413929,96.56862745098039,1610612749,0,0,2022-10-20T23:33:42Z,70000,233.0,22.0,1,right,MISS B. Lopez 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Right Corner 3,24+ Right,23.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-10-20T23:33:40.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2022-10-20T23:33:42Z,80000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2022-10-20T23:33:48.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,20.285808147174762,53.67647058823529,1610612755,2,0,2022-10-20T23:33:53Z,90000,-18.0,138.0,1,left,J. Embiid 13' Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.94,Made,,,,,2.0,J. Harden,201935.0,1.0,,,,,,,,,,
11,PT11M21.00S,2022-10-20T23:34:03.4Z,1,REGULAR,2pt,Jump Shot,[],201950,69.56307490144546,47.79411764705882,1610612749,2,2,2022-10-20T23:34:11Z,110000,-11.0,234.0,1,right,J. Holiday 23' step back Jump Shot (2 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,23.39,Made,,,,,2.0,,,,,,,,,,,,,
13,PT11M04.00S,2022-10-20T23:34:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.4881734559789805,50.0,1610612755,4,2,2022-10-20T23:34:27Z,130000,0.0,8.0,1,left,J. Embiid driving Layup (4 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,4.0,,,,,,,,,,,,,
14,PT11M04.00S,2022-10-20T23:34:26.0Z,1,REGULAR,foul,personal,['1freethrow'],201572,,,1610612755,4,2,2022-10-20T23:34:31Z,140000,,,0,,B. Lopez shooting personal FOUL (1 PF) (Embiid 1 FT),"[201572, 203954]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202058.0,1.0,0.0,Embiid,203954.0,,,,,
16,PT11M04.00S,2022-10-20T23:34:48.4Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,4,2,2022-10-20T23:34:50Z,160000,,,0,,MISS J. Embiid Free Throw 1 of 1,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2022-10-20T23:34:50.4Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,4,2,2022-10-20T23:34:50Z,170000,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M51.00S,2022-10-20T23:35:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,73.50525624178712,11.519607843137265,1610612749,4,5,2022-10-20T23:35:03Z,180000,-192.0,197.0,1,right,G. Allen 27' 3PT  (3 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,27.51,Made,,,,,3.0,,,,,,,,,,,,,
19,PT10M26.00S,2022-10-20T23:35:25.0Z,1,REGULAR,3pt,Jump Shot,[],203954,34.60906701708278,55.88235294117647,1610612755,4,5,2022-10-20T23:35:29Z,190000,-29.0,273.0,1,left,MISS J. Embiid 27' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,27.44,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2022-10-20T23:35:28.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,4,5,2022-10-20T23:35:29Z,200000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M16.00S,2022-10-20T23:35:35.0Z,1,REGULAR,2pt,Jump Shot,[],1628975,72.58541392904074,49.754901960784316,1610612749,4,7,2022-10-20T23:35:41Z,210000,-1.0,205.0,1,right,J. Carter 20' pullup Jump Shot (2 PTS) (G. Antetokounmpo 1 AST),"[1628975, 203507]",1610612749.0,MIL,pullup,,,Carter,J. Carter,,,,,Mid-Range,16-24 Center,20.52,Made,,,,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
23,PT10M05.00S,2022-10-20T23:35:46.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,13.32128777923785,46.568627450980394,1610612755,6,7,2022-10-20T23:35:51Z,230000,17.0,73.0,1,left,T. Harris 7' turnaround Jump Shot (2 PTS) (J. Harden 2 AST),"[202699, 201935]",1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.47,Made,,,,,2.0,J. Harden,201935.0,2.0,,,,,,,,,,
26,PT09M50.00S,2022-10-20T23:36:01.3Z,1,REGULAR,3pt,Jump Shot,[],201572,69.82588699080158,76.7156862745098,1610612749,6,10,2022-10-20T23:36:05Z,260000,134.0,231.0,1,right,B. Lopez 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[201572, 201950]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.69,Made,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,
28,PT09M34.00S,2022-10-20T23:36:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,15.292378449408673,50.0,1610612755,6,10,2022-10-20T23:36:23Z,280000,0.0,91.0,1,left,MISS T. Maxey 9' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2022-10-20T23:36:22.0Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,6,10,2022-10-20T23:36:23Z,290000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,,,
30,PT09M29.00S,2022-10-20T23:36:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203954,5.590000152587891,50.0,1610612755,8,10,2022-10-20T23:36:22Z,300000,0.0,0.0,1,left,J. Embiid tip Layup (6 PTS),[203954],1610612755.0,PHI,tip,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,6.0,,,,,,,,,,,,,
31,PT09M02.00S,2022-10-20T23:36:48.6Z,1,REGULAR,2pt,Jump Shot,[],1628960,88.2227332457293,73.52941176470588,1610612749,8,10,2022-10-20T23:36:52Z,310000,118.0,58.0,1,right,MISS G. Allen 13' fadeaway Shot,[1628960],1610612749.0,MIL,fadeaway,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,13.12,Missed,,,,,,,,,,,,,,,,,,
32,PT09M00.00S,2022-10-20T23:36:50.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,8,10,2022-10-20T23:36:52Z,320000,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,31.0,3.0,2.0,1.0,,,,,,,,,,,,,,
33,PT08M50.00S,2022-10-20T23:37:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,19.8915900131406,62.5,1610612755,8,10,2022-10-20T23:37:05Z,330000,-62.0,134.0,1,left,MISS J. Harden 14' pullup Shot,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,14.83,Missed,,,,,,,,,,,,,,,,,,
34,PT08M49.00S,2022-10-20T23:37:01.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,8,10,2022-10-20T23:37:05Z,340000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,,
35,PT08M44.00S,2022-10-20T23:37:09.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,93.2161629434954,55.3921568627451,1610612749,8,12,2022-10-20T23:37:17Z,350000,27.0,11.0,1,right,G. Antetokounmpo running Layup (2 PTS),[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.93,Made,,,,,2.0,,,,,,,,,,,,,
36,PT08M44.00S,2022-10-20T23:37:11.6Z,1,REGULAR,foul,personal,['1freethrow'],200782,,,1610612749,8,12,2022-10-20T23:37:20Z,360000,,,0,,P. Tucker shooting personal FOUL (1 PF) (Antetokounmpo 1 FT),"[200782, 203507]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202058.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
38,PT08M44.00S,2022-10-20T23:37:46.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],203507,,,1610612749,8,13,2022-10-20T23:37:46Z,380000,,,0,,G. Antetokounmpo Free Throw 1 of 1 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
39,PT08M26.00S,2022-10-20T23:38:07.2Z,1,REGULAR,foul,personal,[],203507,,,1610612755,8,13,2022-10-20T23:38:32Z,390000,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 203954]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,0.0,Embiid,203954.0,,,,,
41,PT08M18.00S,2022-10-20T23:38:46.3Z,1,REGULAR,3pt,Jump Shot,[],200782,8.459264126149804,0.24509803921569073,1610612755,11,13,2022-10-20T23:38:50Z,410000,249.0,27.0,1,left,P. Tucker 25' 3PT  (3 PTS) (J. Harden 3 AST),"[200782, 201935]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Right Corner 3,24+ Right,25.03,Made,,,,,3.0,J. Harden,201935.0,3.0,,,,,,,,,,
43,PT08M08.00S,2022-10-20T23:39:00.9Z,1,REGULAR,foul,personal,[],1630178,,,1610612749,11,13,2022-10-20T23:39:04Z,430000,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 203507]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,202058.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
45,PT08M01.00S,2022-10-20T23:39:25.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,91.24507227332458,94.6078431372549,1610612749,11,16,2022-10-20T23:39:28Z,450000,223.0,30.0,1,right,G. Allen 3PT  (6 PTS) (B. Lopez 1 AST),"[1628960, 201572]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,Right Corner 3,24+ Right,22.5,Made,,,,,6.0,B. Lopez,201572.0,1.0,,,,,,,,,,
47,PT07M33.00S,2022-10-20T23:39:52.0Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,11,16,2022-10-20T23:39:56Z,470000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 201950]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,Holiday,201950.0,,
48,PT07M33.00S,2022-10-20T23:39:52.0Z,1,REGULAR,steal,,[],201950,,,1610612749,11,16,2022-10-20T23:40:22Z,480000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
