actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-31T00:10:35.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-31T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-31T00:10:38.7Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2023-01-31T00:10:38Z,40000,False,,,0,,Jump Ball J. Embiid vs. W. Carter Jr.: Tip to P. Tucker,"[200782, 203954, 1628976]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-31T00:10:52.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201935,17.559132720105126,44.6078431372549,1610612755,2,0,2023-01-31T00:10:57Z,70000,False,27.0,113.0,1,left,J. Harden 11' step back Jump Shot (2 PTS) (J. Embiid 1 AST),"[201935, 203954]",1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Center,11.58,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-01-31T00:11:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,92.59198423127464,54.166666666666664,1610612753,2,0,2023-01-31T00:11:17Z,90000,False,21.0,17.0,1,right,MISS W. Carter Jr. Layup,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-01-31T00:11:15.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,0,2023-01-31T00:11:17Z,100000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M07.00S,2023-01-31T00:11:28.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,8.492115637319317,36.51960784313725,1610612755,4,0,2023-01-31T00:11:31Z,110000,False,67.0,27.0,1,left,T. Harris 7' driving floating bank Jump Shot (2 PTS) (J. Embiid 2 AST),"[202699, 203954]",1610612755.0,PHI,driving floating bank,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,7.27,Made,2.0,J. Embiid,203954.0,2.0,,,,,,,,,,,,,,
12,PT10M53.00S,2023-01-31T00:11:40.8Z,1,REGULAR,3pt,Jump Shot,[],1628976,68.9388961892247,74.50980392156863,1610612753,4,0,2023-01-31T00:11:46Z,120000,False,123.0,239.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,26.9,Missed,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2023-01-31T00:11:43.8Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,4,0,2023-01-31T00:11:46Z,130000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M39.00S,2023-01-31T00:11:55.5Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,4,0,2023-01-31T00:11:59Z,140000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1631094]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Banchero,1631094.0,,,,,,,
15,PT10M39.00S,2023-01-31T00:11:55.5Z,1,REGULAR,steal,,[],1631094,,,1610612753,4,0,2023-01-31T00:11:58Z,150000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
