actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-03T00:10:47.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T00:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-03T00:10:51.6Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2023-01-03T00:10:51Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Embiid: Tip to C. McCollum,"[203468, 202685, 203954]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-03T00:11:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.87319316688567,50.73529411764706,1610612740,0,2,2023-01-03T00:11:08Z,70000,False,4.0,5.0,1,right,Z. Williamson driving Layup (2 PTS),[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-01-03T00:11:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,10.167542706964511,49.50980392156863,1610612755,0,2,2023-01-03T00:11:29Z,80000,False,2.0,43.0,1,left,MISS J. Embiid driving floating Shot - blocked,"[203954, 202685]",1610612755.0,PHI,driving floating,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,4.32,Missed,,Valanciunas,202685.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2023-01-03T00:11:21.3Z,1,REGULAR,block,,[],202685,,,1610612755,0,2,2023-01-03T00:11:24Z,90000,False,,,0,,J. Valanciunas BLOCK (1 BLK),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-01-03T00:11:22.3Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,0,2,2023-01-03T01:15:31Z,100000,False,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M23.00S,2023-01-03T00:11:27.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203954,5.590000152587891,50.0,1610612755,2,2,2023-01-03T01:15:37Z,110000,False,0.0,0.0,1,left,J. Embiid putback Layup (2 PTS),[203954],1610612755.0,PHI,putback,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2023-01-03T00:11:36.6Z,1,REGULAR,turnover,out-of-bounds,[],1629627,,,1610612740,2,2,2023-01-03T00:11:42Z,120000,False,,,0,,Z. Williamson bad pass out-of-bounds TURNOVER (1 TO),[1629627],1610612740.0,NOP,bad pass,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,1.0,,,,,,,,,,
13,PT10M51.00S,2023-01-03T00:12:01.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203954,29.09001314060447,80.14705882352942,1610612755,5,2,2023-01-03T00:12:05Z,130000,False,-151.0,221.0,1,left,J. Embiid 26' 3PT  (5 PTS) (D. Melton 1 AST),"[203954, 1629001]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,26.74,Made,5.0,,,,,,,,D. Melton,1629001.0,1.0,,,,,,,
15,PT10M33.00S,2023-01-03T00:12:20.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,94.13600525624179,49.26470588235294,1610612740,5,4,2023-01-03T00:12:25Z,150000,False,-4.0,3.0,1,right,H. Jones driving finger roll Layup (2 PTS),[1630529],1610612740.0,NOP,driving finger roll,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,0.45,Made,2.0,,,,,,,,,,,,,,,,,
