actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-05T00:02:59.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T00:02:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-04-05T00:03:01.2Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2023-04-05T00:03:01Z,40000,False,,,0,,Jump Ball A. Horford vs. J. Embiid: Tip to G. Williams,"[1629684, 201143, 203954]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-04-05T00:03:13.9Z,1,REGULAR,turnover,traveling,[],1628369,,,1610612738,0,0,2023-04-05T00:03:24Z,70000,False,,,0,,J. Tatum traveling TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,1155.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2023-04-05T00:03:42.2Z,1,REGULAR,foul,personal,['2freethrow'],1629684,,,1610612755,0,0,2023-04-05T00:03:53Z,80000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Center,202037.0,,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,
10,PT11M33.00S,2023-04-05T00:04:08.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203954,,,1610612755,1,0,2023-04-05T00:04:08Z,100000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M33.00S,2023-04-05T00:04:27.3Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203954,,,1610612755,2,0,2023-04-05T00:04:27Z,110000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
15,PT11M18.00S,2023-04-05T00:04:42.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629684,91.14651773981603,53.18627450980392,1610612738,2,0,2023-04-05T00:07:16Z,150000,False,16.0,31.0,1,right,MISS G. Williams driving Layup,[1629684],1610612738.0,BOS,driving,,,Williams,G. Williams,,,,,Restricted Area,0-8 Center,,,,,,,Missed,,3.46,,,,,,,,,,,
16,PT11M18.00S,2023-04-05T00:04:42.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,0,2023-04-05T00:04:48Z,160000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT11M11.00S,2023-04-05T00:04:50.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,29.122864651773984,18.627450980392158,1610612755,2,0,2023-04-05T00:06:41Z,170000,False,157.0,221.0,1,left,MISS T. Maxey 27' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,27.13,,,,,,,,,,,
18,PT11M08.00S,2023-04-05T00:04:53.0Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,2,0,2023-04-05T00:04:55Z,180000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
