actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-24T00:32:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-24T00:32:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-02-24T00:32:35.3Z,1,REGULAR,jumpball,recovered,[],1629634,,,1610612763,0,0,2023-02-24T00:32:35Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Embiid: Tip to B. Clarke,"[1629634, 1628991, 203954]",1610612763.0,MEM,startperiod,B. Clarke,1629634.0,Clarke,B. Clarke,Jackson Jr.,1628991.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-02-24T00:32:48.5Z,1,REGULAR,3pt,Jump Shot,[],1628991,66.67214191852825,53.67647058823529,1610612763,0,0,2023-02-24T00:32:52Z,70000,False,18.0,261.0,1,right,MISS J. Jackson Jr. 26' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,26.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-02-24T00:32:51.5Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2023-02-24T00:32:52Z,80000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-02-24T00:33:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.225361366622863,43.872549019607845,1610612755,0,0,2023-02-24T00:33:10Z,90000,False,31.0,6.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 1629634]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.12,Missed,,,,,Clarke,1629634.0,,,,,,,,,,,,
10,PT11M27.00S,2023-02-24T00:33:04.2Z,1,REGULAR,block,,[],1629634,,,1610612755,0,0,2023-02-24T00:33:08Z,100000,False,,,0,,B. Clarke BLOCK (1 BLK),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M27.00S,2023-02-24T00:33:04.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2023-02-24T00:33:10Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2023-02-24T00:33:33.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,6.8823915900131425,38.48039215686274,1610612755,0,0,2023-02-24T00:33:37Z,120000,False,58.0,12.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 1628991]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.89,Missed,,,,,Jackson Jr.,1628991.0,,,,,,,,,,,,
13,PT11M16.00S,2023-02-24T00:33:33.3Z,1,REGULAR,block,,[],1628991,,,1610612755,0,0,2023-02-24T00:33:36Z,130000,False,,,0,,J. Jackson Jr. BLOCK (1 BLK),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-02-24T00:33:35.3Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612763,0,0,2023-02-24T00:33:37Z,140000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
