actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-08T01:00:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T01:00:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-08T01:01:00.1Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612756,0,0,2022-11-08T01:01:00Z,40000,,,0,,Jump Ball D. Ayton vs. J. Embiid: Tip to M. Bridges,"[1628969, 1629028, 203954]",1610612756.0,PHX,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Ayton,1629028.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2022-11-08T01:01:03.6Z,1,REGULAR,3pt,Jump Shot,[],1628470,77.57884362680683,92.8921568627451,1610612756,0,3,2022-11-08T01:01:08Z,70000,214.0,158.0,1,right,T. Craig 26' 3PT  (3 PTS) (C. Paul 1 AST),"[1628470, 101108]",1610612756.0,PHX,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Right Center,26.66,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-11-08T01:01:25.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.23455978975032,58.33333333333333,1610612755,2,3,2022-11-08T01:01:31Z,90000,-42.0,128.0,1,left,J. Embiid 13' pullup Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.49,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2022-11-08T01:01:45.7Z,1,REGULAR,violation,kicked ball,[],202699,,,1610612756,2,3,2022-11-08T01:01:53Z,110000,,,0,,T. Harris kicked ball VIOLATION,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,1830.0,,,,,,,,,,,,,
12,PT11M08.00S,2022-11-08T01:02:11.5Z,1,REGULAR,3pt,Jump Shot,[],1628470,91.90210249671485,1.7156862745098067,1610612756,2,3,2022-11-08T01:02:15Z,120000,-241.0,24.0,1,right,MISS T. Craig 24' 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Left Corner 3,24+ Left,24.26,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-11-08T01:02:15.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,3,2022-11-08T01:02:16Z,130000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M51.00S,2022-11-08T01:02:27.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,16.343626806833115,40.931372549019606,1610612755,2,3,2022-11-08T01:02:32Z,140000,45.0,101.0,1,left,MISS T. Harris 11' turnaround fadeaway Shot,[202699],1610612755.0,PHI,turnaround fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,11.08,Missed,,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2022-11-08T01:02:29.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,2,3,2022-11-08T01:02:32Z,150000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M39.00S,2022-11-08T01:02:40.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,77.18462549277267,44.36274509803921,1610612756,2,3,2022-11-08T01:02:44Z,160000,-28.0,162.0,1,right,MISS D. Booker 16' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,16.44,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2022-11-08T01:02:43.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,3,2022-11-08T01:02:44Z,170000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M21.00S,2022-11-08T01:02:57.7Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,2,3,2022-11-08T01:03:01Z,180000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 101108]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,Paul,101108.0,,,,,,
19,PT10M21.00S,2022-11-08T01:02:57.7Z,1,REGULAR,steal,,[],101108,,,1610612756,2,3,2022-11-08T01:02:59Z,190000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M09.00S,2022-11-08T01:03:10.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628969,90.19382391590013,47.05882352941176,1610612756,2,3,2022-11-08T01:03:16Z,200000,-15.0,40.0,1,right,MISS M. Bridges driving finger roll Layup,[1628969],1610612756.0,PHX,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,4.23,Missed,,,,,,,,,,,,,,,,,,
