actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-20T00:10:02.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T00:10:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-20T00:10:04.9Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612761,0,0,2022-12-20T00:10:04Z,40000,False,,,0,,Jump Ball S. Barnes vs. J. Embiid: Tip to P. Siakam,"[1627783, 1630567, 203954]",1610612761.0,TOR,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Barnes,1630567.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-12-20T00:10:22.0Z,1,REGULAR,3pt,Jump Shot,[],1627823,68.15045992115637,72.05882352941177,1610612761,0,0,2022-12-20T00:10:27Z,70000,False,110.0,247.0,1,right,MISS J. Hernangomez 27' 3PT,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Above the Break 3,24+ Right Center,27.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-12-20T00:10:25.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,0,0,2022-12-20T00:10:31Z,80000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-12-20T00:10:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,9.149145860709593,47.30392156862745,1610612755,0,0,2022-12-20T00:10:51Z,90000,False,13.0,34.0,1,left,MISS J. Embiid driving Layup - blocked,"[203954, 1628384]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.61,Missed,,,,,Anunoby,1628384.0,,,,,,,,,,,,
10,PT11M18.00S,2022-12-20T00:10:44.6Z,1,REGULAR,block,,[],1628384,,,1610612755,0,0,2022-12-20T00:10:47Z,100000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-12-20T00:10:44.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,0,2022-12-20T00:10:51Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2022-12-20T00:11:02.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201935,27.151773981603156,18.627450980392158,1610612755,0,0,2022-12-20T00:11:08Z,130000,False,157.0,203.0,1,left,MISS J. Harden 25' pullup 3PT,[201935],1610612755.0,PHI,pullup,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2022-12-20T00:11:05.5Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,0,0,2022-12-20T00:11:08Z,140000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M04.00S,2022-12-20T00:11:13.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,92.72339027595268,53.92156862745098,1610612761,0,2,2022-12-20T00:11:19Z,150000,False,20.0,16.0,1,right,P. Siakam driving finger roll Layup (2 PTS),[1627783],1610612761.0,TOR,driving finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,2.0,,,,,,,,,,,
16,PT10M45.00S,2022-12-20T00:11:32.3Z,1,REGULAR,3pt,Jump Shot,[],1629001,6.1268068331143235,95.83333333333334,1610612755,0,2,2022-12-20T00:11:37Z,160000,False,-229.0,5.0,1,left,MISS D. Melton 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Left Corner 3,24+ Left,22.93,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-12-20T00:11:35.3Z,1,REGULAR,rebound,defensive,[],1627823,,,1610612761,0,2,2022-12-20T00:11:37Z,170000,False,,,0,,J. Hernangomez REBOUND (Off:0 Def:1),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Left Corner 3,24+ Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M37.00S,2022-12-20T00:11:40.9Z,1,REGULAR,turnover,lost ball,[],1627832,,,1610612761,0,2,2022-12-20T00:11:45Z,180000,False,,,0,,F. VanVleet lost ball TURNOVER (1 TO),"[1627832, 202699]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Harris,202699.0,,,,,,,,
19,PT10M37.00S,2022-12-20T00:11:40.9Z,1,REGULAR,steal,,[],202699,,,1610612755,0,2,2022-12-20T00:11:43Z,190000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT10M31.00S,2022-12-20T00:11:48.3Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612755,0,2,2022-12-20T00:13:06Z,210000,False,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1627823]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,Hernangomez,1627823.0,,,,,,,,
34,PT10M31.00S,2022-12-20T00:11:48.3Z,1,REGULAR,steal,,[],1627823,,,1610612761,0,2,2022-12-20T00:13:06Z,220000,False,,,0,,J. Hernangomez STEAL (1 STL),[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2022-12-20T00:11:55.8Z,1,REGULAR,turnover,out-of-bounds,[],1627823,,,1610612761,0,2,2022-12-20T00:12:01Z,230000,False,,,0,,J. Hernangomez lost ball out-of-bounds TURNOVER (1 TO),[1627823],1610612761.0,TOR,lost ball,,,Hernangomez,J. Hernangomez,,,,,Mid-Range,8-16 Left,,,,,,,,,,1.0,,,202037.0,,,,,,,
24,PT10M16.00S,2022-12-20T00:12:12.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,9.280551905387648,44.36274509803921,1610612755,2,2,2022-12-20T00:12:18Z,240000,False,28.0,35.0,1,left,J. Embiid turnaround bank Jump Shot (2 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,turnaround bank,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,4.47,Made,,,,,,,2.0,,,,,J. Harden,201935.0,1.0,,,,
26,PT10M16.00S,2022-12-20T00:12:14.5Z,1,REGULAR,foul,personal,['1freethrow'],1630567,,,1610612755,2,2,2022-12-20T00:12:45Z,260000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Embiid 1 FT),"[1630567, 203954]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,2003.0,,,,1.0,0.0,Embiid,203954.0
28,PT10M16.00S,2022-12-20T00:12:40.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203954,,,1610612755,3,2,2022-12-20T00:12:40Z,280000,False,,,0,,J. Embiid Free Throw 1 of 1 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
29,PT10M05.00S,2022-12-20T00:12:51.8Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,3,2,2022-12-20T00:13:09Z,290000,False,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 200782]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Center,,,,,,,,,,1.0,Tucker,200782.0,,,,,,,,
30,PT10M05.00S,2022-12-20T00:12:51.8Z,1,REGULAR,steal,,[],200782,,,1610612755,3,2,2022-12-20T00:12:53Z,300000,False,,,0,,P. Tucker STEAL (1 STL),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
31,PT10M01.00S,2022-12-20T00:12:55.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,5.469776609724048,50.49019607843137,1610612755,5,2,2022-12-20T00:13:04Z,310000,False,-2.0,-1.0,1,left,T. Harris running DUNK (2 PTS) (J. Harden 2 AST),"[202699, 201935]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,0.27,Made,,,,,,,2.0,,,,,J. Harden,201935.0,2.0,,,,
35,PT09M40.00S,2022-12-20T00:13:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627823,92.32917214191852,47.05882352941176,1610612761,5,4,2022-12-20T00:13:19Z,330000,False,-15.0,20.0,1,right,J. Hernangomez Layup (2 PTS) (O. Anunoby 1 AST),"[1627823, 1628384]",1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,2.0,,,,,O. Anunoby,1628384.0,1.0,,,,
37,PT09M28.00S,2022-12-20T00:13:31.4Z,1,REGULAR,foul,personal,[],1630567,,,1610612755,5,4,2022-12-20T00:13:45Z,350000,False,,,0,,S. Barnes personal FOUL (2 PF),"[1630567, 203954]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628953.0,,,,2.0,0.0,Embiid,203954.0
39,PT09M21.00S,2022-12-20T00:13:57.2Z,1,REGULAR,3pt,Jump Shot,[],202699,30.436925098554536,69.11764705882352,1610612755,8,4,2022-12-20T00:14:02Z,370000,False,-96.0,234.0,1,left,T. Harris 25' 3PT  (5 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,25.24,Made,,,,,,,5.0,,,,,J. Embiid,203954.0,1.0,,,,
41,PT09M10.00S,2022-12-20T00:14:08.0Z,1,REGULAR,3pt,Jump Shot,[],1630567,66.44218134034165,38.23529411764706,1610612761,8,4,2022-12-20T00:14:12Z,390000,False,-59.0,263.0,1,right,MISS S. Barnes 26' pullup 3PT,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
42,PT09M07.00S,2022-12-20T00:14:11.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,8,4,2022-12-20T00:14:12Z,400000,False,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M54.00S,2022-12-20T00:14:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,6.783837056504599,54.90196078431373,1610612755,8,4,2022-12-20T00:14:31Z,410000,False,-25.0,11.0,1,left,MISS D. Melton driving reverse Layup,[1629001],1610612755.0,PHI,driving reverse,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
