actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-19T00:46:08.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T00:46:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-19T00:46:10.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-11-19T00:46:11Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Embiid: Tip to G. Antetokounmpo,"[203507, 201572, 203954]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-19T00:46:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630699,93.2161629434954,53.92156862745098,1610612749,0,0,2022-11-19T00:46:32Z,70000,False,20.0,11.0,1,right,MISS M. Beauchamp cutting finger roll Layup,[1630699],1610612749.0,MIL,cutting finger roll,,,Beauchamp,M. Beauchamp,,,,,Restricted Area,0-8 Center,2.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-19T00:46:29.3Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,0,0,2022-11-19T00:46:32Z,80000,False,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2022-11-19T00:46:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,94.40999984741211,50.0,1610612749,0,2,2022-11-19T00:46:29Z,90000,False,0.0,0.0,1,right,B. Portis putback Layup (2 PTS),[1626171],1610612749.0,MIL,putback,,,Portis,B. Portis,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M26.00S,2022-11-19T00:46:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,7.539421813403408,44.11764705882353,1610612755,0,2,2022-11-19T00:46:49Z,100000,False,29.0,18.0,1,left,MISS D. Melton driving floating Shot - blocked,"[1629001, 201572]",1610612755.0,PHI,driving floating,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,Lopez,201572.0,,,,,,,,,,,
12,PT11M26.00S,2022-11-19T00:46:41.7Z,1,REGULAR,block,,[],201572,,,1610612755,0,2,2022-11-19T00:46:49Z,105000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-11-19T00:46:43.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2022-11-19T00:46:49Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M20.00S,2022-11-19T00:46:50.4Z,1,REGULAR,turnover,traveling,[],1630699,,,1610612749,0,2,2022-11-19T00:46:57Z,120000,False,,,0,,M. Beauchamp traveling TURNOVER (1 TO),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Right Corner 3,24+ Right,,,,,,,,,,202049.0,1.0,,,,,,,,,
14,PT11M11.00S,2022-11-19T00:47:09.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,18.183311432325894,46.07843137254902,1610612755,0,2,2022-11-19T00:47:13Z,130000,False,20.0,118.0,1,left,MISS J. Embiid 12' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,12.0,Missed,,,,,,,,,,,,,,,,,,
