actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-14T00:41:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-14T00:41:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-14T00:41:13.1Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2022-11-14T00:41:13Z,40000,False,,,0,,Jump Ball J. Embiid vs. K. Olynyk: Tip to P. Tucker,"[200782, 203954, 203482]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-14T00:41:24.6Z,1,REGULAR,turnover,bad pass,[],202699,,,1610612755,0,0,2022-11-14T00:41:29Z,70000,False,,,0,,T. Harris bad pass TURNOVER (1 TO),"[202699, 203482]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,1.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-11-14T00:41:24.6Z,1,REGULAR,steal,,[],203482,,,1610612762,0,0,2022-11-14T00:41:26Z,80000,False,,,0,,K. Olynyk STEAL (1 STL),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-11-14T00:41:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,94.53022339027595,47.79411764705882,1610612762,0,0,2022-11-14T00:41:40Z,90000,False,-11.0,-1.0,1,right,MISS L. Markkanen running finger roll Layup,[1628374],1610612762.0,UTA,running finger roll,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,1.11,Missed,,,,,,,,,,,,,,,
10,PT11M40.00S,2022-11-14T00:41:29.7Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,0,0,2022-11-14T00:42:06Z,100000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M40.00S,2022-11-14T00:41:38.9Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1629020,94.40999984741211,50.0,1610612762,0,2,2022-11-14T00:42:43Z,110000,False,0.0,0.0,1,right,J. Vanderbilt tip DUNK (2 PTS),[1629020],1610612762.0,UTA,tip,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
12,PT11M27.00S,2022-11-14T00:41:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.8915900131406,48.28431372549019,1610612755,2,2,2022-11-14T00:41:50Z,120000,False,9.0,134.0,1,left,J. Embiid 13' pullup Jump Shot (2 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,,13.48,Made,,,,,2.0,,,,,,,,,,
13,PT10M58.00S,2022-11-14T00:42:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,92.16491458607096,42.40196078431373,1610612762,2,2,2022-11-14T00:42:15Z,130000,False,-38.0,21.0,1,right,MISS K. Olynyk Layup - blocked,"[203482, 203954]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,4.35,Missed,,,,,,Embiid,203954.0,,,,,,,,
14,PT10M58.00S,2022-11-14T00:42:11.2Z,1,REGULAR,block,,[],203954,,,1610612762,2,2,2022-11-14T00:42:13Z,140000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-11-14T00:42:13.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,2,2022-11-14T00:42:15Z,150000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
16,PT10M49.00S,2022-11-14T00:42:20.7Z,1,REGULAR,3pt,Jump Shot,[],203954,19.628777923784497,4.656862745098039,1610612755,2,2,2022-11-14T00:42:25Z,160000,False,227.0,132.0,1,left,MISS J. Embiid 26' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,26.23,Missed,,,,,,,,,,,,,,,
