actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-04T23:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T23:10:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-04T23:10:55.2Z,1,REGULAR,jumpball,recovered,[],1628973,,,1610612752,0,0,2022-11-04T23:10:55Z,40000,,,0,,Jump Ball M. Robinson vs. M. Harrell: Tip to J. Brunson,"[1628973, 1629011, 1626149]",1610612752.0,NYK,startperiod,J. Brunson,1628973.0,Brunson,J. Brunson,Robinson,1629011.0,Harrell,1626149.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2022-11-04T23:11:31.0Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,0,0,2022-11-04T23:11:49Z,100000,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 202699]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,8-16 Left,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
11,PT11M39.00S,2022-11-04T23:11:31.0Z,1,REGULAR,steal,,[],202699,,,1610612755,0,0,2022-11-04T23:11:34Z,110000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M35.00S,2022-11-04T23:11:36.2Z,1,REGULAR,foul,personal,[],1629656,,,1610612755,0,0,2022-11-04T23:11:43Z,120000,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1630178]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,203593.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,
14,PT11M29.00S,2022-11-04T23:11:51.3Z,1,REGULAR,foul,personal,[],1629628,,,1610612755,0,0,2022-11-04T23:11:57Z,140000,,,0,,R. Barrett personal FOUL (1 PF),"[1629628, 202699]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,8-16 Right,,,,101284.0,1.0,0.0,Harris,202699.0,,,,,,,,,,,,
16,PT11M17.00S,2022-11-04T23:12:11.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,25.969119579500656,85.29411764705883,1610612755,0,0,2022-11-04T23:12:17Z,160000,-176.0,192.0,1,left,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,26.05,Missed,,,,,,,,,,
17,PT11M14.00S,2022-11-04T23:12:14.9Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,0,2022-11-04T23:12:17Z,170000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT11M09.00S,2022-11-04T23:12:20.2Z,1,REGULAR,2pt,Jump Shot,[],1628973,77.87450722733246,44.6078431372549,1610612752,0,0,2022-11-04T23:12:26Z,180000,-27.0,155.0,1,right,MISS J. Brunson 15' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Center,,,,,,,,,15.78,Missed,,,,,,,,,,
19,PT11M06.00S,2022-11-04T23:12:23.2Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,0,0,2022-11-04T23:12:26Z,190000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Center,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,
20,PT10M51.00S,2022-11-04T23:12:38.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629001,6.521024967148489,58.57843137254902,1610612755,0,0,2022-11-04T23:12:42Z,200000,-43.0,9.0,1,left,MISS D. Melton driving floating bank Shot,[1629001],1610612755.0,PHI,driving floating bank,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,4.38,Missed,,,,,,,,,,
21,PT10M49.00S,2022-11-04T23:12:39.9Z,1,REGULAR,rebound,offensive,[],1629001,,,1610612755,0,0,2022-11-04T23:12:40Z,210000,,,0,,D. Melton REBOUND (Off:1 Def:0),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,20.0,1.0,0.0,1.0,,,,,,
22,PT10M46.00S,2022-11-04T23:12:42.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200782,10.988830486202366,98.2843137254902,1610612755,0,0,2022-11-04T23:12:47Z,220000,-241.0,51.0,1,left,MISS P. Tucker 24' 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,,,,24.67,Missed,,,,,,,,,,
23,PT10M43.00S,2022-11-04T23:12:45.8Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,0,2022-11-04T23:12:47Z,230000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,,,,,,,,,,,22.0,2.0,2.0,0.0,,,,,,
24,PT10M39.00S,2022-11-04T23:12:51.7Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,0,0,2022-11-04T23:12:57Z,240000,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,101284.0,,,,,,,,,,,,,,,,
25,PT10M29.00S,2022-11-04T23:13:09.3Z,1,REGULAR,foul,personal,[],1629011,,,1610612755,0,0,2022-11-04T23:13:16Z,250000,,,0,,M. Robinson personal FOUL (1 PF),"[1629011, 1630178]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Mid-Range,8-16 Right,,,,203054.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,
27,PT10M13.00S,2022-11-04T23:13:39.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202699,19.92444152431012,22.794117647058822,1610612755,2,0,2022-11-04T23:13:43Z,270000,136.0,135.0,1,left,T. Harris 19' step back Jump Shot (2 PTS) (D. Melton 1 AST),"[202699, 1629001]",1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,,,,,,19.15,Made,,,,,2.0,D. Melton,1629001.0,1.0,,
29,PT10M02.00S,2022-11-04T23:13:53.3Z,1,REGULAR,foul,personal,[],1629001,,,1610612752,2,0,2022-11-04T23:13:59Z,290000,,,0,,D. Melton personal FOUL (1 PF),"[1629001, 1628973]",1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,16-24 Center,,,,203593.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,
31,PT09M56.00S,2022-11-04T23:14:15.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,74.98357424441524,60.78431372549019,1610612752,2,0,2022-11-04T23:14:20Z,310000,54.0,183.0,1,right,MISS J. Brunson 19' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,,,,,,19.05,Missed,,,,,,,,,,
32,PT09M53.00S,2022-11-04T23:14:18.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,0,2022-11-04T23:14:20Z,320000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT09M47.00S,2022-11-04T23:14:24.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202699,16.770696452036795,62.254901960784316,1610612755,4,0,2022-11-04T23:14:35Z,330000,-61.0,105.0,1,left,T. Harris 12' running pullup Jump Shot (4 PTS),[202699],1610612755.0,PHI,running pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.17,Made,,,,,4.0,,,,,
