actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-22T22:11:55.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T22:11:55Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-22T22:12:00.0Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2022-10-22T22:12:00Z,40000,,,0,,Jump Ball J. Poeltl vs. J. Embiid: Tip to D. Vassell,"[1630170, 1627751, 203954]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Poeltl,1627751.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-10-22T22:12:07.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,85.49605781865965,53.431372549019606,1610612759,0,0,2022-10-22T22:12:12Z,70000,17.0,84.0,1,right,MISS D. Vassell 8' driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,8.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-10-22T22:12:09.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2022-10-22T22:12:12Z,80000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M30.00S,2022-10-22T22:12:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,6.521024967148489,35.78431372549019,1610612755,0,0,2022-10-22T22:12:44Z,100000,71.0,9.0,1,left,MISS T. Maxey 7' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,7.16,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-10-22T22:12:42.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,0,0,2022-10-22T22:12:44Z,110000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M22.00S,2022-10-22T22:12:47.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,94.56307490144546,4.411764705882353,1610612759,0,0,2022-10-22T22:12:56Z,120000,-228.0,-1.0,1,right,MISS D. Vassell running pullup 3PT,[1630170],1610612759.0,SAS,running pullup,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2022-10-22T22:12:50.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2022-10-22T22:12:56Z,130000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT11M09.00S,2022-10-22T22:13:34.9Z,1,REGULAR,turnover,illegal assist,[],203954,,,1610612755,0,0,2022-10-22T22:17:10Z,160000,,,0,,J. Embiid illegal assist TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,,,,1.0,,,,,,,,,,,,,
17,PT10M50.00S,2022-10-22T22:13:38.9Z,1,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,0,0,2022-10-22T22:14:29Z,170000,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,,,,,,,,,,
