actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-10-24T23:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T23:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-10-24T23:10:51.0Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612755,0,0,2022-10-24T23:10:51Z,40000,,,0,,Jump Ball J. Embiid vs. I. Jackson: Tip to P. Tucker,"[200782, 203954, 1630543]",1610612755.0,PHI,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Embiid,203954.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-10-24T23:11:05.4Z,1,REGULAR,3pt,Jump Shot,[],202699,22.946780551905388,9.558823529411764,1610612755,0,0,2022-10-24T23:11:15Z,70000,202.0,163.0,1,left,MISS T. Harris 25' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-10-24T23:11:11.9Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,0,0,2022-10-24T23:11:12Z,80000,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-10-24T23:11:14.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,22.946780551905388,9.068627450980392,1610612755,3,0,2022-10-24T23:11:18Z,90000,205.0,163.0,1,left,T. Harris 26' 3PT  (3 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,26.18,Made,,,,,3.0,J. Harden,201935.0,1.0,,,,,,,,,,
11,PT11M12.00S,2022-10-24T23:11:33.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630174,94.03745072273325,50.98039215686274,1610612754,3,2,2022-10-24T23:11:37Z,110000,5.0,4.0,1,right,A. Nesmith alley-oop DUNK (2 PTS) (T. Haliburton 1 AST),"[1630174, 1630169]",1610612754.0,IND,alley-oop,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
13,PT10M46.00S,2022-10-24T23:11:59.3Z,1,REGULAR,2pt,Jump Shot,[],1630178,13.354139290407357,12.5,1610612755,3,2,2022-10-24T23:12:03Z,130000,188.0,73.0,1,left,MISS T. Maxey 20' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right,20.12,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2022-10-24T23:12:01.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,3,2,2022-10-24T23:12:01Z,140000,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Mid-Range,16-24 Right,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M34.00S,2022-10-24T23:12:11.5Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,3,2,2022-10-24T23:18:29Z,150000,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 201935]",1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1.0,Harden,201935.0,,,,,,,
16,PT10M34.00S,2022-10-24T23:12:11.5Z,1,REGULAR,steal,,[],201935,,,1610612755,3,2,2022-10-24T23:12:13Z,160000,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
