actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-13T00:40:50.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-13T00:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-11-13T00:40:55.4Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2022-11-13T00:40:55Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Embiid: Tip to T. Young,"[1629027, 203991, 203954]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-11-13T00:41:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,83.13074901445466,46.32352941176471,1610612737,0,2,2022-11-13T00:41:22Z,70000,False,-18.0,106.0,1,right,D. Murray 10' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.77,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-11-13T00:41:21.2Z,1,REGULAR,foul,personal,['1freethrow'],1630178,,,1610612737,0,2,2022-11-13T00:41:28Z,80000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Murray 1 FT),"[1630178, 1627749]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,204059.0,1.0,0.0,Murray,1627749.0,,,,,,,,,,,,
10,PT11M35.00S,2022-11-13T00:41:45.3Z,1,REGULAR,freethrow,1 of 1,[],1627749,,,1610612737,0,3,2022-11-13T00:41:45Z,100000,False,,,0,,D. Murray Free Throw 1 of 1 (3 PTS),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2022-11-13T00:41:59.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.559132720105126,54.41176470588235,1610612755,2,3,2022-11-13T00:42:04Z,110000,False,-22.0,113.0,1,left,J. Embiid 11' pullup Jump Shot (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,11.47,Made,2.0,,,,,,T. Maxey,1630178.0,1.0,,,,,,,,,
13,PT10M57.00S,2022-11-13T00:42:46.7Z,1,REGULAR,foul,personal,['2freethrow'],200782,,,1610612737,2,3,2022-11-13T00:42:53Z,130000,False,,,0,,P. Tucker shooting personal FOUL (1 PF) (Collins 2 FT),"[200782, 1628381]",1610612755.0,PHI,shooting,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,1.0,0.0,Collins,1628381.0,,,,,,,,,,,,
15,PT10M57.00S,2022-11-13T00:43:30.3Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,2,4,2022-11-13T00:43:30Z,150000,False,,,0,,J. Collins Free Throw 1 of 2 (1 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2022-11-13T00:43:47.4Z,1,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,2,5,2022-11-13T00:43:47Z,160000,False,,,0,,J. Collins Free Throw 2 of 2 (2 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-11-13T00:44:04.4Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612755,2,5,2022-11-13T00:44:10Z,170000,False,,,0,,C. Capela shooting personal FOUL (1 PF) (Embiid 2 FT),"[203991, 203954]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,202007.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
19,PT10M43.00S,2022-11-13T00:44:31.0Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,3,5,2022-11-13T00:44:31Z,190000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
20,PT10M43.00S,2022-11-13T00:44:46.0Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,4,5,2022-11-13T00:44:46Z,200000,False,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
21,PT10M32.00S,2022-11-13T00:44:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,4,5,2022-11-13T00:45:06Z,210000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Center,,,,202007.0,,,,,,,,1.0,,,,,,,,
22,PT10M23.00S,2022-11-13T00:45:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,7.178055190538765,47.549019607843135,1610612755,4,5,2022-11-13T00:45:16Z,220000,False,12.0,15.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2022-11-13T00:45:15.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,4,5,2022-11-13T00:45:16Z,230000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,
24,PT10M16.00S,2022-11-13T00:45:18.4Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,4,5,2022-11-13T00:45:24Z,240000,False,,,0,,T. Young bad pass TURNOVER (2 TO),"[1629027, 1629680]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,2.0,,,,,Thybulle,1629680.0,,
25,PT10M16.00S,2022-11-13T00:45:18.4Z,1,REGULAR,steal,,[],1629680,,,1610612755,4,5,2022-11-13T00:45:22Z,250000,False,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
26,PT10M12.00S,2022-11-13T00:45:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203954,7.30946123521682,50.0,1610612755,6,5,2022-11-13T00:45:32Z,260000,False,0.0,16.0,1,left,J. Embiid running Layup (6 PTS) (T. Maxey 2 AST),"[203954, 1630178]",1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.62,Made,6.0,,,,,,T. Maxey,1630178.0,2.0,,,,,,,,,
28,PT09M57.00S,2022-11-13T00:45:37.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,84.1819973718791,61.51960784313726,1610612737,6,7,2022-11-13T00:45:40Z,280000,False,58.0,96.0,1,right,J. Collins 11' pullup Jump Shot (4 PTS) (D. Murray 1 AST),"[1628381, 1627749]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Right,11.21,Made,4.0,,,,,,D. Murray,1627749.0,1.0,,,,,,,,,
30,PT09M41.00S,2022-11-13T00:45:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.389618922470433,46.07843137254902,1610612755,6,7,2022-11-13T00:45:57Z,300000,False,20.0,8.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,,,,,,,,,,
31,PT09M39.00S,2022-11-13T00:45:55.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,6,7,2022-11-13T00:45:55Z,310000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,
32,PT09M33.00S,2022-11-13T00:46:04.0Z,1,REGULAR,turnover,traveling,[],203991,,,1610612737,6,7,2022-11-13T00:46:09Z,320000,False,,,0,,C. Capela traveling TURNOVER (1 TO),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,202037.0,,,,,,,,1.0,,,,,,,,
33,PT09M16.00S,2022-11-13T00:46:38.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203954,16.113666228646515,53.431372549019606,1610612755,8,7,2022-11-13T00:46:42Z,330000,False,-17.0,99.0,1,left,J. Embiid 10' pullup Jump Shot (8 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,10.05,Made,8.0,,,,,,,,,,,,,,,,,
34,PT09M08.00S,2022-11-13T00:46:49.3Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612737,8,7,2022-11-13T00:46:54Z,340000,False,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Young 2 FT),"[1629680, 1629027]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),8-16 Center,,,,202007.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,,
36,PT09M08.00S,2022-11-13T00:47:31.0Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,8,7,2022-11-13T00:47:47Z,360000,False,,,0,,MISS T. Young Free Throw 1 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M08.00S,2022-11-13T00:47:31.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,8,7,2022-11-13T00:47:47Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,
38,PT09M08.00S,2022-11-13T00:47:31.0Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,8,7,2022-11-13T00:47:47Z,380000,False,,,0,,MISS T. Young Free Throw 2 of 2,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
39,PT09M05.00S,2022-11-13T00:47:34.0Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,8,7,2022-11-13T00:47:47Z,390000,False,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,
40,PT08M57.00S,2022-11-13T00:47:55.0Z,1,REGULAR,2pt,Jump Shot,[],203954,10.726018396846255,70.09803921568627,1610612755,10,7,2022-11-13T00:48:00Z,400000,False,-100.0,48.0,1,left,J. Embiid 11' turnaround fadeaway Jump Shot (10 PTS) (T. Maxey 3 AST),"[203954, 1630178]",1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,11.15,Made,10.0,,,,,,T. Maxey,1630178.0,3.0,,,,,,,,,
42,PT08M41.00S,2022-11-13T00:48:11.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,89.96386333771353,57.35294117647059,1610612737,10,7,2022-11-13T00:48:18Z,420000,False,37.0,42.0,1,right,MISS D. Hunter driving floating Shot,[1629631],1610612737.0,ATL,driving floating,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),0-8 Center,5.57,Missed,,,,,,,,,,,,,,,,,,
43,PT08M36.00S,2022-11-13T00:48:16.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,10,7,2022-11-13T00:48:18Z,430000,False,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,42.0,3.0,2.0,1.0,,,,
44,PT08M36.00S,2022-11-13T00:48:15.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,94.40999984741211,50.0,1610612737,10,9,2022-11-13T00:48:16Z,440000,False,0.0,0.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
45,PT08M26.00S,2022-11-13T00:48:26.2Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,10,9,2022-11-13T00:48:30Z,450000,False,,,0,,T. Maxey bad pass TURNOVER (1 TO),"[1630178, 1627749]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,,,Murray,1627749.0,,
46,PT08M26.00S,2022-11-13T00:48:26.2Z,1,REGULAR,steal,,[],1627749,,,1610612737,10,9,2022-11-13T00:48:28Z,460000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
47,PT08M20.00S,2022-11-13T00:48:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629631,68.9388961892247,74.01960784313727,1610612737,10,9,2022-11-13T00:48:39Z,470000,False,120.0,239.0,1,right,MISS D. Hunter 26' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
48,PT08M17.00S,2022-11-13T00:48:35.3Z,1,REGULAR,rebound,offensive,[],1629027,,,1610612737,10,9,2022-11-13T00:56:14Z,480000,False,,,0,,T. Young REBOUND (Off:1 Def:0),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,
