actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
100,PT02M43.00S,2022-12-24T00:28:25.0Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,19,22,2022-12-24T00:28:25Z,990000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,99.0,1.0,1.0,0.0,,,,,,,,,,
101,PT02M31.00S,2022-12-24T00:28:38.7Z,1,REGULAR,turnover,out-of-bounds,[],1626181,,,1610612746,19,22,2022-12-24T00:28:45Z,1000000,False,,,0,,N. Powell lost ball out-of-bounds TURNOVER (1 TO),[1626181],1610612746.0,LAC,lost ball,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1627961.0,,,,,1.0,,
102,PT02M31.00S,2022-12-24T00:28:45.3Z,1,REGULAR,substitution,out,[],202694,,,1610612755,19,22,2022-12-24T00:28:52Z,1010000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PT02M31.00S,2022-12-24T00:28:45.3Z,1,REGULAR,substitution,in,[],1629611,,,1610612755,19,22,2022-12-24T00:28:52Z,1020000,False,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PT02M19.00S,2022-12-24T00:29:07.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203954,7.408015768725363,49.01960784313726,1610612755,21,22,2022-12-24T00:29:10Z,1030000,False,5.0,17.0,1,left,J. Embiid Layup (12 PTS) (T. Harris 1 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,1.78,Made,12.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,,
106,PT02M03.00S,2022-12-24T00:29:23.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,93.34756898817345,52.94117647058824,1610612746,21,24,2022-12-24T00:29:27Z,1050000,False,15.0,10.0,1,right,P. George driving Layup (6 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,1.78,Made,6.0,,,,,,,,,,,,,,,,,
107,PT01M41.00S,2022-12-24T00:29:45.7Z,1,REGULAR,3pt,Jump Shot,[],1627777,8.984888304862025,1.2254901960784252,1610612755,21,24,2022-12-24T00:29:50Z,1060000,False,244.0,32.0,1,left,MISS G. Niang 24' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Right Corner 3,24+ Right,24.6,Missed,,,,,,,,,,,,,,,,,,
108,PT01M38.00S,2022-12-24T00:29:48.7Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,21,24,2022-12-24T00:29:50Z,1070000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Right Corner 3,24+ Right,,,,,,,107.0,2.0,2.0,0.0,,,,,,,,,,
109,PT01M33.00S,2022-12-24T00:29:53.6Z,1,REGULAR,3pt,Jump Shot,[],202331,74.1622864651774,89.95098039215686,1610612746,21,27,2022-12-24T00:29:58Z,1080000,False,200.0,190.0,1,right,P. George 27' 3PT  (9 PTS) (L. Kennard 1 AST),"[202331, 1628379]",1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,27.6,Made,9.0,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
111,PT01M18.00S,2022-12-24T00:30:09.1Z,1,REGULAR,3pt,Jump Shot,[],203954,32.90078843626807,37.5,1610612755,24,27,2022-12-24T00:30:12Z,1100000,False,62.0,257.0,1,left,J. Embiid 26' 3PT  (15 PTS) (T. Harris 2 AST),"[203954, 202699]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,26.43,Made,15.0,T. Harris,202699.0,2.0,,,,,,,,,,,,,,
