actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-14T00:10:52.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-14T00:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-14T00:10:55.1Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-11-14T00:10:55Z,40000,False,,,0,,Jump Ball M. Turner vs. G. Bitadze: Tip to P. Siakam,"[1627783, 1626167, 1629048]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-11-14T00:11:05.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631097,5.995400788436268,57.59803921568627,1610612754,0,2,2024-11-14T00:11:49Z,70000,False,-38.0,4.0,1,left,B. Mathurin driving Layup (2 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,3.82,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-11-14T00:11:25.6Z,1,REGULAR,3pt,Jump Shot,[],203484,95.3515111695138,98.2843137254902,1610612753,3,2,2024-11-14T00:11:33Z,90000,False,241.0,-9.0,1,right,K. Caldwell-Pope 24' 3PT  (3 PTS) (F. Wagner 1 AST),"[203484, 1630532]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Right Corner 3,24+ Right,24.16,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-11-14T00:11:33.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,33.196452036793694,58.57843137254902,1610612754,3,5,2024-11-14T00:11:41Z,110000,False,-43.0,260.0,1,left,M. Turner 26' 3PT  (3 PTS) (T. Haliburton 2 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,26.3,Made,3.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,
14,PT10M58.00S,2024-11-14T00:11:53.1Z,1,REGULAR,3pt,Jump Shot,[],1630532,69.33311432325887,24.019607843137255,1610612753,6,5,2024-11-14T00:11:58Z,130000,False,-130.0,236.0,1,right,F. Wagner 26' 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1630532, 203484]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,26.92,Made,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
16,PT10M30.00S,2024-11-14T00:12:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,10.988830486202366,34.31372549019608,1610612754,6,5,2024-11-14T00:12:27Z,150000,False,78.0,51.0,1,left,MISS T. Haliburton 9' driving floating bank Shot,[1630169],1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Right,9.34,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2024-11-14T00:12:22.1Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,6,5,2024-11-14T00:12:27Z,160000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M13.00S,2024-11-14T00:12:37.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,91.40932982917214,45.588235294117645,1610612753,8,5,2024-11-14T00:12:42Z,170000,False,-22.0,28.0,1,right,G. Bitadze cutting DUNK (2 PTS) (T. da Silva 1 AST),"[1629048, 1641783]",1610612753.0,ORL,cutting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.59,Made,2.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,,,,
20,PT09M54.00S,2024-11-14T00:12:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631097,16.63929040735874,38.72549019607843,1610612754,8,7,2024-11-14T00:13:03Z,190000,False,56.0,104.0,1,left,B. Mathurin 11' turnaround Jump Shot (4 PTS),[1631097],1610612754.0,IND,turnaround,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Center,11.82,Made,4.0,,,,,,,,,,,,,,,,,
