actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-16T00:11:01.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-16T00:11:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-11-16T00:11:06.2Z,1,REGULAR,jumpball,recovered,[],1642272,,,1610612755,0,0,2024-11-16T00:11:06Z,40000,False,,,0,,Jump Ball J. Embiid vs. G. Bitadze: Tip to J. McCain,"[1642272, 203954, 1629048]",1610612755.0,PHI,startperiod,J. McCain,1642272.0,McCain,J. McCain,Embiid,203954.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-11-16T00:11:17.2Z,1,REGULAR,foul,personal,['2freethrow'],1629048,,,1610612755,0,0,2024-11-16T00:11:45Z,80000,False,,,0,,G. Bitadze shooting personal FOUL (1 PF) (Embiid 2 FT),"[1629048, 203954]",1610612753.0,ORL,shooting,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,1155.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
10,PT11M45.00S,2024-11-16T00:11:46.3Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,1,2024-11-16T00:11:46Z,100000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
11,PT11M45.00S,2024-11-16T00:12:00.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,2,2024-11-16T00:12:00Z,110000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
12,PT11M27.00S,2024-11-16T00:12:19.8Z,1,REGULAR,2pt,Jump Shot,[],1630591,21.895532194480946,72.54901960784314,1610612753,0,2,2024-11-16T00:12:27Z,120000,False,-113.0,153.0,1,left,MISS J. Suggs 19' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,,,Missed,,19.03,,,,,,,,,,,,
13,PT11M24.00S,2024-11-16T00:12:22.8Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,0,2,2024-11-16T00:12:27Z,130000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M21.00S,2024-11-16T00:12:29.9Z,1,REGULAR,2pt,Jump Shot,[],202331,90.09526938239159,70.58823529411765,1610612755,0,2,2024-11-16T00:14:00Z,140000,False,103.0,41.0,1,right,MISS P. George 11' pullup Shot - blocked,"[202331, 1630532]",1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,8-16 Right,,,,,,Missed,,11.06,,,,,Wagner,1630532.0,,,,,,
15,PT11M21.00S,2024-11-16T00:12:29.9Z,1,REGULAR,block,,[],1630532,,,1610612755,0,2,2024-11-16T00:12:33Z,150000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT11M20.00S,2024-11-16T00:12:30.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,0,2,2024-11-16T00:14:00Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,14.0,,,,,,,,,,,
18,PT11M06.00S,2024-11-16T00:12:59.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203954,95.22010512483574,77.69607843137256,1610612755,0,4,2024-11-16T00:13:06Z,180000,False,138.0,-8.0,1,right,J. Embiid 13' turnaround Jump Shot (4 PTS) (J. McCain 1 AST),"[203954, 1642272]",1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,,,,,,Made,4.0,13.87,,,,,,,J. McCain,1642272.0,1.0,,,
20,PT10M50.00S,2024-11-16T00:13:14.5Z,1,REGULAR,3pt,Jump Shot,[],1630532,32.40801576872536,52.20588235294118,1610612753,3,4,2024-11-16T00:13:19Z,200000,False,-11.0,252.0,1,left,F. Wagner 25' 3PT  (3 PTS) (G. Bitadze 1 AST),"[1630532, 1629048]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,Made,3.0,25.23,,,,,,,G. Bitadze,1629048.0,1.0,,,
22,PT10M21.00S,2024-11-16T00:13:43.6Z,1,REGULAR,3pt,Jump Shot,[],203954,81.15965834428384,94.36274509803921,1610612755,3,4,2024-11-16T01:19:43Z,220000,False,222.0,125.0,1,right,MISS J. Embiid 25' step back 3PT - blocked,"[203954, 1629048]",1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,25.44,,,,,Bitadze,1629048.0,,,,,,
334,PT10M21.00S,2024-11-16T00:13:43.6Z,1,REGULAR,block,,[],1629048,,,1610612755,3,4,2024-11-16T01:25:49Z,225000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2024-11-16T00:13:46.6Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,3,4,2024-11-16T01:25:49Z,230000,False,,,0,,J. Embiid REBOUND (Off:1 Def:0),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,
