actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-11-10T23:10:57.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-10T23:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-10T23:11:01.4Z,1,REGULAR,jumpball,recovered,[],1642273,,,1610612764,0,0,2024-11-10T23:11:01Z,40000,False,,,0,,Jump Ball A. Sarr vs. G. Bitadze: Tip to K. George,"[1642273, 1642259, 1629048]",1610612764.0,WAS,startperiod,K. George,1642273.0,George,K. George,Sarr,1642259.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-10T23:11:16.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.32654402102497,83.82352941176471,1610612764,0,0,2024-11-10T23:12:10Z,70000,False,169.0,189.0,1,right,MISS J. Poole 25' step back 3PT,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-11-10T23:11:20.3Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,0,2024-11-10T23:11:32Z,80000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-11-10T23:11:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,8.623521681997373,44.85294117647059,1610612753,0,0,2024-11-10T23:11:47Z,90000,False,26.0,29.0,1,left,MISS G. Bitadze Layup - blocked,"[1629048, 1642259]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.85,Missed,,,,,Sarr,1642259.0,,,,,,,,,,,,
10,PT11M27.00S,2024-11-10T23:11:31.6Z,1,REGULAR,block,,[],1642259,,,1610612753,0,0,2024-11-10T23:11:34Z,100000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-11-10T23:11:33.6Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,0,0,2024-11-10T23:11:47Z,110000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M25.00S,2024-11-10T23:11:39.0Z,1,REGULAR,foul,personal,[],1642259,,,1610612753,0,0,2024-11-10T23:11:55Z,120000,False,,,0,,A. Sarr personal FOUL (1 PF),"[1642259, 1629048]",1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,,,,,,201638.0,1.0,0.0,Bitadze,1629048.0,,,,,,,
14,PT11M16.00S,2024-11-10T23:11:57.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,8.623521681997373,54.90196078431373,1610612753,0,0,2024-11-10T23:13:38Z,140000,False,-25.0,29.0,1,left,MISS F. Wagner driving Layup - blocked,"[1630532, 1641731]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.77,Missed,,,,,Coulibaly,1641731.0,,,,,,,,,,,,
15,PT11M16.00S,2024-11-10T23:11:57.2Z,1,REGULAR,block,,[],1641731,,,1610612753,0,0,2024-11-10T23:11:59Z,150000,False,,,0,,B. Coulibaly BLOCK (1 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
