actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-12-29T20:41:15.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-29T20:41:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-29T20:41:19.2Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-12-29T20:41:19Z,40000,False,,,0,,Jump Ball G. Bitadze vs. N. Claxton: Tip to J. Suggs,"[1630591, 1629048, 1629651]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bitadze,1629048.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-12-29T20:41:39.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629048,6.521024967148489,51.9607843137255,1610612753,2,0,2024-12-29T20:42:11Z,70000,False,-10.0,9.0,1,left,G. Bitadze driving Hook (2 PTS) (K. Caldwell-Pope 1 AST),"[1629048, 203484]",1610612753.0,ORL,driving,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,1.32,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
9,PT11M11.00S,2024-12-29T20:42:03.4Z,1,REGULAR,3pt,Jump Shot,[],1630553,92.59198423127464,3.431372549019608,1610612751,2,3,2024-12-29T20:42:09Z,90000,False,-233.0,17.0,1,right,K. Johnson 3PT  (3 PTS) (C. Johnson 1 AST),"[1630553, 1629661]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,23.34,Made,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,
12,PT10M42.00S,2024-12-29T20:42:48.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,19.793035479632064,91.91176470588235,1610612753,2,3,2024-12-29T20:42:53Z,120000,False,-210.0,134.0,1,left,MISS J. Suggs 24' 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,24.86,Missed,,,,,,,,,,,,,,,,,,
13,PT10M38.00S,2024-12-29T20:42:52.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,3,2024-12-29T20:42:53Z,130000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M31.00S,2024-12-29T20:42:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,92.72339027595268,50.49019607843137,1610612751,2,5,2024-12-29T20:43:06Z,140000,False,2.0,16.0,1,right,B. Simmons cutting finger roll Layup (2 PTS) (C. Johnson 2 AST),"[1627732, 1629661]",1610612751.0,BKN,cutting finger roll,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,C. Johnson,1629661.0,2.0,,,,,,,,,,,,,,
16,PT10M19.00S,2024-12-29T20:43:12.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,7.046649145860711,52.69607843137255,1610612753,2,5,2024-12-29T20:43:19Z,160000,False,-13.0,14.0,1,left,MISS W. Carter Jr. driving Layup,[1628976],1610612753.0,ORL,driving,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,,,,,,,,,
17,PT10M15.00S,2024-12-29T20:43:15.0Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,2,5,2024-12-29T20:43:15Z,170000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M11.00S,2024-12-29T20:43:22.8Z,1,REGULAR,turnover,traveling,[],1627732,,,1610612751,2,5,2024-12-29T20:43:35Z,180000,False,,,0,,B. Simmons traveling TURNOVER (1 TO),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628951.0,1.0,,,,,,,,
20,PT09M54.00S,2024-12-29T20:44:09.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1641783,10.200394218134035,56.61764705882353,1610612753,2,5,2024-12-29T20:44:14Z,200000,False,-33.0,43.0,1,left,MISS T. da Silva turnaround Hook,[1641783],1610612753.0,ORL,turnaround,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,5.46,Missed,,,,,,,,,,,,,,,,,,
21,PT09M52.00S,2024-12-29T20:44:11.2Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,2,5,2024-12-29T20:44:14Z,210000,False,,,0,,B. Simmons REBOUND (Off:0 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
22,PT09M49.00S,2024-12-29T20:44:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,89.04402102496715,51.225490196078425,1610612751,2,5,2024-12-29T20:52:12Z,220000,False,6.0,50.0,1,right,MISS B. Simmons driving Layup - blocked,"[1627732, 1641783]",1610612751.0,BKN,driving,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,,,,,,,,,,,da Silva,1641783.0,,,,,,
23,PT09M49.00S,2024-12-29T20:44:18.1Z,1,REGULAR,block,,[],1641783,,,1610612751,2,5,2024-12-29T20:44:20Z,230000,False,,,0,,T. da Silva BLOCK (1 BLK),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
