actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-09T00:11:02.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-09T00:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-09T00:11:05.0Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2024-11-09T00:11:05Z,40000,False,,,0,,Jump Ball G. Bitadze vs. Y. Missi: Tip to T. da Silva,"[1641783, 1629048, 1642274]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Bitadze,1629048.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-11-09T00:11:21.3Z,1,REGULAR,3pt,Jump Shot,[],203484,69.99014454664915,75.73529411764706,1610612753,0,0,2024-11-09T00:11:33Z,70000,False,129.0,230.0,1,right,MISS K. Caldwell-Pope 26' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-09T00:11:23.3Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,0,0,2024-11-09T00:11:33Z,80000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2024-11-09T00:11:31.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630532,87.86136662286465,50.245098039215684,1610612753,2,0,2024-11-09T00:11:47Z,90000,False,1.0,62.0,1,right,F. Wagner 6' driving floating Jump Shot (2 PTS),[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.16,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M23.00S,2024-11-09T00:11:41.5Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,2,0,2024-11-09T00:16:05Z,100000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 203484]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,,,,,,
11,PT11M23.00S,2024-11-09T00:11:41.5Z,1,REGULAR,steal,,[],203484,,,1610612753,2,0,2024-11-09T00:11:43Z,110000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
26,PT11M18.00S,2024-11-09T00:11:45.2Z,1,REGULAR,turnover,offensive goaltending,[],1630532,,,1610612753,2,0,2024-11-09T00:14:35Z,127500,False,,,0,,F. Wagner offensive goaltending TURNOVER (1 TO),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,,,2002.0,,,,,,,,,
14,PT11M06.00S,2024-11-09T00:12:11.4Z,1,REGULAR,turnover,bad pass,[],1630526,,,1610612740,2,0,2024-11-09T00:12:21Z,140000,False,,,0,,J. Robinson-Earl bad pass TURNOVER (1 TO),"[1630526, 1630532]",1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Wagner,1630532.0,,,,,,,,,,
15,PT11M06.00S,2024-11-09T00:12:11.4Z,1,REGULAR,steal,,[],1630532,,,1610612753,2,0,2024-11-09T00:30:41Z,150000,False,,,0,,F. Wagner STEAL (1 STL),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
