actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-22T00:10:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-22T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-22T00:10:57.3Z,1,REGULAR,jumpball,recovered,[],1641710,,,1610612753,0,0,2024-12-22T00:10:57Z,40000,False,,,0,,Jump Ball G. Bitadze vs. B. Adebayo: Tip to A. Black,"[1641710, 1629048, 1628389]",1610612753.0,ORL,startperiod,A. Black,1641710.0,Black,A. Black,Bitadze,1629048.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-12-22T00:11:12.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203484,5.995400788436268,43.38235294117647,1610612753,2,0,2024-12-22T00:11:18Z,70000,False,33.0,4.0,1,left,K. Caldwell-Pope driving Layup (2 PTS) (T. da Silva 1 AST),"[203484, 1641783]",1610612753.0,ORL,driving,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,3.33,Made,2.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-12-22T00:11:26.3Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,2,0,2024-12-22T00:11:34Z,90000,False,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (1 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Left Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
10,PT11M20.00S,2024-12-22T00:11:43.2Z,1,REGULAR,turnover,bad pass,[],1641710,,,1610612753,2,0,2024-12-22T00:11:47Z,100000,False,,,0,,A. Black bad pass TURNOVER (1 TO),"[1641710, 1630696]",1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Smith,1630696.0,,,,,,,,,,
11,PT11M20.00S,2024-12-22T00:11:43.2Z,1,REGULAR,steal,,[],1630696,,,1610612748,2,0,2024-12-22T00:11:44Z,110000,False,,,0,,D. Smith STEAL (1 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2024-12-22T00:12:07.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628389,93.11760840998686,27.450980392156865,1610612748,2,2,2024-12-22T00:12:12Z,120000,False,-113.0,12.0,1,right,B. Adebayo 11' turnaround Jump Shot (2 PTS),[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Left,11.34,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2024-12-22T00:12:18.4Z,1,REGULAR,turnover,lost ball,[],1641710,,,1610612753,2,2,2024-12-22T00:12:31Z,130000,False,,,0,,A. Black lost ball TURNOVER (2 TO),"[1641710, 1630696]",1610612753.0,ORL,,,,Black,A. Black,,,,,Mid-Range,8-16 Left,,,,,,,,2.0,Smith,1630696.0,,,,,,,,,,
14,PT10M44.00S,2024-12-22T00:12:18.4Z,1,REGULAR,steal,,[],1630696,,,1610612748,2,2,2024-12-22T00:12:20Z,140000,False,,,0,,D. Smith STEAL (2 STL),[1630696],1610612748.0,MIA,,,,Smith,D. Smith,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
15,PT10M35.00S,2024-12-22T00:12:29.5Z,1,REGULAR,turnover,out-of-bounds,[],1628389,,,1610612748,2,2,2024-12-22T00:12:38Z,150000,False,,,0,,B. Adebayo bad pass out-of-bounds TURNOVER (2 TO),[1628389],1610612748.0,MIA,bad pass,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627524.0,2.0,,,,,,,,,,,,
