actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-11-13T00:10:32.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-13T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-13T00:10:35.0Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2024-11-13T00:10:35Z,40000,False,,,0,,Jump Ball G. Bitadze vs. T. Gibson: Tip to J. Suggs,"[1630591, 1629048, 201959]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Bitadze,1629048.0,Gibson,201959.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-11-13T00:10:47.3Z,1,REGULAR,2pt,Jump Shot,[],1630532,21.23850197109067,37.745098039215684,1610612753,2,0,2024-11-13T00:10:58Z,70000,False,61.0,147.0,1,left,F. Wagner 15' turnaround Jump Shot (2 PTS),[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Center,15.94,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2024-11-13T00:11:02.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201959,93.77463863337714,49.754901960784316,1610612766,2,2,2024-11-13T00:14:49Z,80000,False,-1.0,6.0,1,right,T. Gibson cutting DUNK (2 PTS) (L. Ball 1 AST),"[201959, 1630163]",1610612766.0,CHA,cutting,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
10,PT11M11.00S,2024-11-13T00:11:23.2Z,1,REGULAR,foul,personal,['2freethrow'],201959,,,1610612753,2,2,2024-11-13T00:11:45Z,100000,False,,,0,,T. Gibson shooting personal FOUL (1 PF) (Bitadze 2 FT),"[201959, 1629048]",1610612766.0,CHA,shooting,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1199.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,
12,PT11M11.00S,2024-11-13T00:11:50.8Z,1,REGULAR,freethrow,1 of 2,[],1629048,,,1610612753,3,2,2024-11-13T00:12:19Z,120000,False,,,0,,G. Bitadze Free Throw 1 of 2 (1 PTS),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2024-11-13T00:11:50.8Z,1,REGULAR,freethrow,2 of 2,[],1629048,,,1610612753,3,2,2024-11-13T00:12:19Z,130000,False,,,0,,MISS G. Bitadze Free Throw 2 of 2,[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2024-11-13T00:11:54.8Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,3,2,2024-11-13T00:16:13Z,140000,False,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M01.00S,2024-11-13T00:12:23.8Z,1,REGULAR,foul,personal,[],1630591,,,1610612766,3,2,2024-11-13T00:12:30Z,150000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 1630163]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,2530.0,1.0,0.0,Ball,1630163.0,,,,,,,,,
17,PT10M55.00S,2024-11-13T00:12:54.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,64.86530880420499,54.65686274509803,1610612766,3,5,2024-11-13T00:13:02Z,170000,False,23.0,278.0,1,right,L. Ball 27' 3PT pullup (3 PTS),[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.88,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2024-11-13T00:13:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,12.040078843626807,51.225490196078425,1610612753,3,5,2024-11-13T00:13:24Z,180000,False,-6.0,61.0,1,left,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.1,Missed,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2024-11-13T00:13:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,3,5,2024-11-13T00:13:24Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,18.0,,,,,,,,
21,PT10M23.00S,2024-11-13T00:13:32.3Z,1,REGULAR,3pt,Jump Shot,[],1630163,72.35545335085413,82.1078431372549,1610612766,3,8,2024-11-13T00:13:36Z,210000,False,161.0,207.0,1,right,L. Ball 26' 3PT  (6 PTS) (G. Williams 1 AST),"[1630163, 1629684]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,26.22,Made,6.0,G. Williams,1629684.0,1.0,,,,,,,,,,,,,,
23,PT10M08.00S,2024-11-13T00:13:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,18.74178712220762,56.61764705882353,1610612753,5,8,2024-11-13T00:13:55Z,230000,False,-33.0,124.0,1,left,J. Suggs 12' pullup Jump Shot (2 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,12.81,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M47.00S,2024-11-13T00:14:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,80.6340341655716,52.69607843137255,1610612766,5,8,2024-11-13T00:14:16Z,240000,False,13.0,130.0,1,right,MISS G. Williams 13' pullup Shot - blocked,"[1629684, 1630591]",1610612766.0,CHA,pullup,,,Williams,G. Williams,,,,,In The Paint (Non-RA),8-16 Center,13.02,Missed,,,,,,,,,,,,,,Suggs,1630591.0,,,
25,PT09M47.00S,2024-11-13T00:14:08.3Z,1,REGULAR,block,,[],1630591,,,1610612766,5,8,2024-11-13T00:14:11Z,250000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M44.00S,2024-11-13T00:14:11.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,8,2024-11-13T00:14:16Z,260000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
27,PT09M32.00S,2024-11-13T00:14:23.5Z,1,REGULAR,3pt,Jump Shot,[],1630591,7.440867279894875,4.6568627450980395,1610612753,8,8,2024-11-13T00:14:32Z,270000,False,227.0,17.0,1,left,J. Suggs 3PT  (5 PTS),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Right Corner 3,24+ Right,22.74,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M24.00S,2024-11-13T00:14:32.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,89.04402102496715,52.450980392156865,1610612766,8,8,2024-11-13T00:14:48Z,280000,False,12.0,50.0,1,right,MISS J. Green driving Layup - blocked,"[1630182, 1629048]",1610612766.0,CHA,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,5.2,Missed,,,,,,,,,,,,,,Bitadze,1629048.0,,,
29,PT09M24.00S,2024-11-13T00:14:32.3Z,1,REGULAR,block,,[],1629048,,,1610612766,8,8,2024-11-13T00:14:35Z,290000,False,,,0,,G. Bitadze BLOCK (1 BLK),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2024-11-13T00:14:36.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,8,8,2024-11-13T00:14:48Z,300000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,
31,PT09M12.00S,2024-11-13T00:14:43.9Z,1,REGULAR,3pt,Jump Shot,[],1630591,36.35019710906702,65.19607843137256,1610612753,11,8,2024-11-13T00:14:58Z,310000,False,-76.0,289.0,1,left,J. Suggs 29' 3PT  (8 PTS) (T. da Silva 1 AST),"[1630591, 1641783]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Center,29.9,Made,8.0,T. da Silva,1641783.0,1.0,,,,,,,,,,,,,,
33,PT09M11.00S,2024-11-13T00:14:50.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,11,8,2024-11-13T00:14:50Z,330000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT08M50.00S,2024-11-13T00:18:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201959,79.71419185282524,37.00980392156863,1610612766,11,10,2024-11-13T00:18:18Z,340000,False,-65.0,138.0,1,right,T. Gibson 15' Jump Shot (4 PTS) (B. Miller 1 AST),"[201959, 1641706]",1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),8-16 Center,15.27,Made,4.0,B. Miller,1641706.0,1.0,,,,,,,,,,,,,,
36,PT08M30.00S,2024-11-13T00:18:28.5Z,1,REGULAR,2pt,Jump Shot,[],1630591,24.26084099868594,37.254901960784316,1610612753,13,10,2024-11-13T00:18:32Z,360000,False,64.0,176.0,1,left,J. Suggs 18' pullup Jump Shot (10 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,18.68,Made,10.0,,,,,,,,,,,,,,,,,
37,PT08M03.00S,2024-11-13T00:18:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,92.46057818659659,51.225490196078425,1610612766,13,12,2024-11-13T00:19:03Z,370000,False,6.0,18.0,1,right,L. Ball driving finger roll Layup (8 PTS),[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.94,Made,8.0,,,,,,,,,,,,,,,,,
38,PT07M41.00S,2024-11-13T00:19:17.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,15.719448094612352,44.85294117647059,1610612753,13,12,2024-11-13T00:19:23Z,380000,False,26.0,95.0,1,left,MISS K. Caldwell-Pope 9' pullup Shot,[203484],1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,9.87,Missed,,,,,,,,,,,,,,,,,,
39,PT07M39.00S,2024-11-13T00:19:19.2Z,1,REGULAR,rebound,defensive,[],201959,,,1610612766,13,12,2024-11-13T00:19:23Z,390000,False,,,0,,T. Gibson REBOUND (Off:0 Def:2),[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,
40,PT07M36.00S,2024-11-13T00:19:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1630591,,,1610612766,13,12,2024-11-13T00:19:43Z,400000,False,,,0,,J. Suggs shooting personal FOUL (2 PF) (Williams 2 FT),"[1630591, 1629684]",1610612753.0,ORL,shooting,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,202056.0,2.0,0.0,Williams,1629684.0,,,,,,,,,
42,PT07M36.00S,2024-11-13T00:19:49.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1629684,,,1610612766,13,13,2024-11-13T00:19:49Z,420000,False,,,0,,G. Williams Free Throw 1 of 2 (1 PTS),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
43,PT07M36.00S,2024-11-13T00:19:50.9Z,1,REGULAR,substitution,out,[],201959,,,1610612766,13,13,2024-11-13T00:19:57Z,430000,False,,,0,,SUB out: T. Gibson,[201959],1610612766.0,CHA,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M36.00S,2024-11-13T00:19:50.9Z,1,REGULAR,substitution,in,[],1631217,,,1610612766,13,13,2024-11-13T00:19:57Z,440000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT07M36.00S,2024-11-13T00:20:08.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1629684,,,1610612766,13,14,2024-11-13T00:20:08Z,450000,False,,,0,,G. Williams Free Throw 2 of 2 (2 PTS),[1629684],1610612766.0,CHA,,,,Williams,G. Williams,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
46,PT07M23.00S,2024-11-13T00:20:24.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,6.1268068331143235,50.0,1610612753,15,14,2024-11-13T00:20:30Z,460000,False,0.0,5.0,1,left,G. Bitadze alley-oop DUNK (3 PTS) (F. Wagner 1 AST),"[1629048, 1630532]",1610612753.0,ORL,alley-oop,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,0.51,Made,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
48,PT07M06.00S,2024-11-13T00:20:41.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,64.47109067017082,32.84313725490196,1610612766,15,14,2024-11-13T01:16:10Z,480000,False,-86.0,281.0,1,right,MISS L. Ball 29' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,29.43,Missed,,,,,,,,,,,,,,,,,,
