actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-13T00:10:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-13T00:10:46.7Z,1,REGULAR,jumpball,recovered,[],1641733,,,1610612766,0,0,2025-02-13T00:10:46Z,40000,False,,,0,,Jump Ball J. Nurkić vs. G. Bitadze: Tip to N. Smith Jr.,"[1641733, 203994, 1629048]",1610612766.0,CHA,startperiod,N. Smith Jr.,1641733.0,Smith Jr.,N. Smith Jr.,Nurkić,203994.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-02-13T00:11:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203994,87.51642575558475,52.10248161764706,1610612766,0,2,2025-02-13T00:11:23Z,70000,False,11.0,65.0,1,right,J. Nurkić 6' floating Jump Shot (2 PTS) (M. Bridges 1 AST),"[203994, 1628970]",1610612766.0,CHA,floating,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,6.56,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2025-02-13T00:11:28.6Z,1,REGULAR,2pt,Jump Shot,[],1630175,14.980289093298296,28.163296568627445,1610612753,0,2,2025-02-13T00:11:58Z,90000,False,109.0,88.0,1,left,MISS C. Anthony 14' driving floating bank Shot,[1630175],1610612753.0,ORL,driving floating bank,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Right,14.04,Missed,,,,,,,,,,,,,,,,,,
10,PT11M14.00S,2025-02-13T00:11:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,2,2025-02-13T00:11:58Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M14.00S,2025-02-13T00:11:37.2Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,2,2025-02-13T00:12:24Z,110000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,1626300.0,,,,,,,,,,,,
12,PT11M08.00S,2025-02-13T00:11:45.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630182,90.14454664914587,45.385263480392155,1610612766,0,2,2025-02-13T00:12:54Z,120000,False,-23.0,40.0,1,right,MISS J. Green driving Layup,[1630182],1610612766.0,CHA,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,4.63,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2025-02-13T00:11:47.5Z,1,REGULAR,rebound,offensive,[],203901,,,1610612766,0,2,2025-02-13T00:12:54Z,130000,False,,,0,,E. Payton REBOUND (Off:1 Def:0),[203901],1610612766.0,CHA,,,,Payton,E. Payton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,,1.0,0.0,1.0,,,,,,,,,
14,PT11M03.00S,2025-02-13T00:11:49.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630182,96.05781865965834,3.1632965686274446,1610612766,0,2,2025-02-13T00:13:09Z,140000,False,-234.0,-15.0,1,right,MISS J. Green 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-02-13T00:11:51.9Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,2,2025-02-13T00:13:09Z,150000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Left Corner 3,24+ Left,,,,,,,14.0,,1.0,1.0,0.0,,,,,,,,,
16,PT10M52.00S,2025-02-13T00:12:01.6Z,1,REGULAR,3pt,Jump Shot,[],203484,24.047306176084106,89.68290441176471,1610612753,0,2,2025-02-13T00:13:26Z,160000,False,-198.0,174.0,1,left,MISS K. Caldwell-Pope 26' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-02-13T00:12:04.6Z,1,REGULAR,rebound,defensive,[],203901,,,1610612766,0,2,2025-02-13T00:13:26Z,170000,False,,,0,,E. Payton REBOUND (Off:1 Def:1),[203901],1610612766.0,CHA,,,,Payton,E. Payton,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,2.0,1.0,1.0,,,,,,,,,
