actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-28T00:10:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T00:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-28T00:10:40.0Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2024-11-28T00:10:40Z,40000,False,,,0,,Jump Ball G. Bitadze vs. N. Vučević: Tip to F. Wagner,"[1630532, 1629048, 202696]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bitadze,1629048.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-11-28T00:10:55.0Z,1,REGULAR,3pt,Jump Shot,[],1630532,69.59592641261499,25.735294117647058,1610612753,3,0,2024-11-28T00:11:01Z,70000,False,-121.0,233.0,1,right,F. Wagner 26' 3PT pullup (3 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,26.29,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-11-28T00:11:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,7.703679369250986,54.90196078431373,1610612741,3,0,2024-11-28T00:11:16Z,80000,False,-25.0,20.0,1,left,MISS N. Vučević driving Layup - blocked,"[202696, 1628976]",1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,3.16,Missed,,Carter Jr.,1628976.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-11-28T00:11:11.4Z,1,REGULAR,block,,[],1628976,,,1610612741,3,0,2024-11-28T00:11:14Z,90000,False,,,0,,W. Carter Jr. BLOCK (1 BLK),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2024-11-28T00:11:15.4Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,3,0,2024-11-28T00:11:16Z,100000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M16.00S,2024-11-28T00:11:19.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630532,90.75229960578186,49.50980392156863,1610612753,5,0,2024-11-28T00:12:32Z,110000,False,-2.0,34.0,1,right,F. Wagner running Layup (5 PTS),[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.45,Made,5.0,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2024-11-28T00:11:36.1Z,1,REGULAR,3pt,Jump Shot,[],1630245,32.013797634691194,30.392156862745097,1610612741,5,3,2024-11-28T00:11:42Z,120000,False,98.0,248.0,1,left,A. Dosunmu 26' 3PT  (3 PTS) (N. Vučević 1 AST),"[1630245, 202696]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,26.7,Made,3.0,,,,,,,N. Vučević,202696.0,1.0,,,,,,,,
14,PT10M42.00S,2024-11-28T00:11:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630591,69.85873850197109,74.01960784313727,1610612753,8,3,2024-11-28T00:12:00Z,140000,False,120.0,231.0,1,right,J. Suggs 26' 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[1630591, 1628976]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,26.02,Made,3.0,,,,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,,
16,PT10M23.00S,2024-11-28T00:12:14.1Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,8,3,2024-11-28T00:12:18Z,160000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 203484]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,
17,PT10M23.00S,2024-11-28T00:12:14.1Z,1,REGULAR,steal,,[],203484,,,1610612753,8,3,2024-11-28T00:12:16Z,170000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
18,PT10M18.00S,2024-11-28T00:12:19.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628976,91.14651773981603,95.09803921568627,1610612753,8,3,2024-11-28T00:12:28Z,180000,False,225.0,31.0,1,right,MISS W. Carter Jr. running 3PT,[1628976],1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,22.76,Missed,,,,,,,,,,,,,,,,,,
19,PT10M14.00S,2024-11-28T00:12:23.0Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,8,3,2024-11-28T00:12:28Z,190000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Right Corner 3,24+ Right,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M10.00S,2024-11-28T00:12:27.0Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612741,8,3,2024-11-28T00:12:32Z,200000,False,,,0,,J. Giddey lost ball TURNOVER (1 TO),"[1630581, 203484]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Caldwell-Pope,203484.0,,,,,
21,PT10M10.00S,2024-11-28T00:12:27.0Z,1,REGULAR,steal,,[],203484,,,1610612753,8,3,2024-11-28T00:12:29Z,210000,False,,,0,,K. Caldwell-Pope STEAL (2 STL),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2024-11-28T00:12:33.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",203484,66.17936925098554,46.568627450980394,1610612753,8,3,2024-11-28T00:12:43Z,220000,False,-17.0,265.0,1,right,MISS K. Caldwell-Pope 26' running 3PT,[203484],1610612753.0,ORL,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,26.6,Missed,,,,,,,,,,,,,,,,,,
