actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-05T23:40:53.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-05T23:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-01-05T23:41:11.1Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-01-05T23:41:11Z,40000,False,,,0,,Jump Ball W. Kessler vs. G. Bitadze: Tip to I. Collier,"[1642268, 1631117, 1629048]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Kessler,1631117.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2025-01-05T23:41:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630695,9.543363994743759,47.794117647058826,1610612762,0,0,2025-01-05T23:48:38Z,70000,False,11.0,37.0,1,left,MISS M. Potter driving Layup,[1630695],1610612762.0,UTA,driving,,,Potter,M. Potter,,,,,Restricted Area,0-8 Center,3.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2025-01-05T23:41:37.1Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,0,2025-01-05T23:41:37Z,80000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-01-05T23:41:44.9Z,1,REGULAR,2pt,Jump Shot,[],203484,73.40670170827858,61.76470588235294,1610612753,2,0,2025-01-05T23:41:49Z,90000,False,59.0,197.0,1,right,K. Caldwell-Pope 20' pullup Jump Shot (2 PTS) (G. Bitadze 1 AST),"[203484, 1629048]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Center,20.61,Made,,,,,2.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,
11,PT11M05.00S,2025-01-05T23:42:00.6Z,1,REGULAR,3pt,Jump Shot,[],1642268,25.837713534822605,15.686274509803921,1610612762,2,0,2025-01-05T23:42:09Z,110000,False,172.0,190.0,1,left,MISS I. Collier 25' bank 3PT,[1642268],1610612762.0,UTA,bank,,,Collier,I. Collier,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2025-01-05T23:42:03.6Z,1,REGULAR,rebound,defensive,[],1641783,,,1610612753,2,0,2025-01-05T23:42:04Z,120000,False,,,0,,T. da Silva REBOUND (Off:0 Def:1),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M48.00S,2025-01-05T23:42:18.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629048,88.25558475689881,46.81372549019608,1610612753,2,0,2025-01-05T23:42:24Z,130000,False,-16.0,58.0,1,right,MISS G. Bitadze 6' turnaround Hook,[1629048],1610612753.0,ORL,turnaround,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,6.0,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2025-01-05T23:42:21.6Z,1,REGULAR,rebound,defensive,[],1642268,,,1610612762,2,0,2025-01-05T23:42:24Z,140000,False,,,0,,I. Collier REBOUND (Off:0 Def:1),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M39.00S,2025-01-05T23:42:27.4Z,1,REGULAR,3pt,Jump Shot,[],1629012,31.750985545335087,31.127450980392158,1610612762,2,0,2025-01-05T23:42:36Z,150000,False,94.0,246.0,1,left,MISS C. Sexton 26' step back 3PT,[1629012],1610612762.0,UTA,step back,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,26.35,Missed,,,,,,,,,,,,,,,,,,
