actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-07T00:10:59.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-07T00:10:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-07T00:11:04.4Z,1,REGULAR,jumpball,recovered,[],1630581,,,1610612741,0,0,2025-03-07T00:11:04Z,40000,False,,,0,,Jump Ball Z. Collins vs. W. Carter Jr.: Tip to J. Giddey,"[1630581, 1628380, 1628976]",1610612741.0,CHI,startperiod,J. Giddey,1630581.0,Giddey,J. Giddey,Collins,1628380.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-07T00:11:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,8.623521681997373,43.872549019607845,1610612741,0,0,2025-03-07T00:11:22Z,70000,False,31.0,29.0,1,left,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,4.19,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-07T00:11:15.2Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,0,0,2025-03-07T00:11:15Z,80000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M42.00S,2025-03-07T00:11:17.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630581,34.510512483574246,43.38235294117647,1610612741,0,0,2025-03-07T00:11:25Z,90000,False,33.0,272.0,1,left,MISS J. Giddey 27' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,27.39,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2025-03-07T00:11:20.1Z,1,REGULAR,rebound,defensive,[],203484,,,1610612753,0,0,2025-03-07T00:11:25Z,100000,False,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M26.00S,2025-03-07T00:11:35.3Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,0,0,2025-03-07T00:12:16Z,110000,False,,,0,,P. Banchero lost ball out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,lost ball,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,,,,,,,200832.0,1.0,,,,,,,,,,,,
12,PT11M09.00S,2025-03-07T00:11:57.9Z,1,REGULAR,foul,personal,['2freethrow'],1628976,,,1610612741,0,0,2025-03-07T00:12:06Z,120000,False,,,0,,W. Carter Jr. shooting personal FOUL (1 PF) (Collins 2 FT),"[1628976, 1628380]",1610612753.0,ORL,shooting,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628480.0,,1.0,0.0,Collins,1628380.0,,,,,,,,
14,PT11M09.00S,2025-03-07T00:12:24.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628380,,,1610612741,0,1,2025-03-07T00:12:24Z,140000,False,,,0,,Z. Collins Free Throw 1 of 2 (1 PTS),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
15,PT11M09.00S,2025-03-07T00:12:40.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628380,,,1610612741,0,2,2025-03-07T00:12:40Z,150000,False,,,0,,Z. Collins Free Throw 2 of 2 (2 PTS),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
16,PT10M55.00S,2025-03-07T00:12:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,83.26215505913272,42.64705882352941,1610612753,2,2,2025-03-07T00:13:00Z,160000,False,-37.0,105.0,1,right,K. Caldwell-Pope 11' pullup Jump Shot (2 PTS) (P. Banchero 1 AST),"[203484, 1631094]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,11.11,Made,,,,,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,
17,PT10M36.00S,2025-03-07T00:13:13.9Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,2,2,2025-03-07T00:13:19Z,170000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 1630175]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,Anthony,1630175.0,,
18,PT10M36.00S,2025-03-07T00:13:13.9Z,1,REGULAR,steal,,[],1630175,,,1610612753,2,2,2025-03-07T00:13:16Z,180000,False,,,0,,C. Anthony STEAL (1 STL),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M29.00S,2025-03-07T00:13:20.9Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,2,2,2025-03-07T00:13:25Z,190000,False,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1629632]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,,,,White,1629632.0,,
