actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-28T00:10:56.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-28T00:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-28T00:11:00.6Z,1,REGULAR,jumpball,recovered,[],1641764,,,1610612744,0,0,2025-02-28T00:11:00Z,40000,False,,,0,,Jump Ball D. Green vs. W. Carter Jr.: Tip to B. Podziemski,"[1641764, 203110, 1628976]",1610612744.0,GSW,startperiod,B. Podziemski,1641764.0,Podziemski,B. Podziemski,Green,203110.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-28T00:11:13.1Z,1,REGULAR,foul,personal,[],1631094,,,1610612744,0,0,2025-02-28T00:11:26Z,70000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 202710]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,2004.0,1.0,0.0,Butler III,202710.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-02-28T00:11:35.6Z,1,REGULAR,2pt,Jump Shot,[],202710,9.198423127463855,26.692708333333343,1610612744,0,0,2025-02-28T00:12:12Z,90000,False,117.0,34.0,1,left,MISS J. Butler III 12' fadeaway Shot,[202710],1610612744.0,GSW,fadeaway,,,Butler III,J. Butler III,,,,,Mid-Range,8-16 Right,,,,,,12.14,Missed,,,,,,,,,,,,,
10,PT11M39.00S,2025-02-28T00:11:37.6Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,0,0,2025-02-28T00:12:12Z,100000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Right,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M18.00S,2025-02-28T00:11:58.5Z,1,REGULAR,3pt,Jump Shot,[],1628976,94.61235216819973,3.1632965686274446,1610612753,0,0,2025-02-28T00:12:33Z,110000,False,-234.0,-2.0,1,right,MISS W. Carter Jr. 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,,23.42,Missed,,,,,,,,,,,,,
12,PT11M16.00S,2025-02-28T00:12:00.5Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,0,2025-02-28T00:12:33Z,120000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M55.00S,2025-02-28T00:12:21.4Z,1,REGULAR,3pt,Jump Shot,[],1630541,9.72404730617609,95.0750612745098,1610612744,0,0,2025-02-28T00:12:56Z,130000,False,-225.0,39.0,1,left,MISS M. Moody 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Left Corner 3,24+ Left,,,,,,22.87,Missed,,,,,,,,,,,,,
14,PT10M53.00S,2025-02-28T00:12:23.4Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,0,2025-02-28T00:12:56Z,140000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M34.00S,2025-02-28T00:12:42.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,90.01314060446781,41.03094362745098,1610612753,2,0,2025-02-28T00:13:23Z,150000,False,-45.0,41.0,1,right,P. Banchero 6' cutting DUNK (2 PTS) (W. Carter Jr. 1 AST),"[1631094, 1628976]",1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.1,Made,,,,,2.0,W. Carter Jr.,1628976.0,1.0,,,,,
