actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-03-19T23:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-19T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-19T23:10:52.5Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612753,0,0,2025-03-19T23:10:52Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Sengun: Tip to K. Caldwell-Pope,"[203484, 1628976, 1630578]",1610612753.0,ORL,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Carter Jr.,1628976.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
11,PT11M42.00S,2025-03-19T23:11:39.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,0,0,2025-03-19T23:11:39Z,110000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M42.00S,2025-03-19T23:13:10.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,86.28449408672799,43.627450980392155,1610612753,0,0,2025-03-19T23:13:54Z,130000,False,-32.0,76.0,1,right,MISS P. Banchero 8' turnaround Shot - blocked,"[1631094, 1631106]",1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,8.28,Missed,Eason,1631106.0,,,,,,,,,,,,,,,,
15,PT11M42.00S,2025-03-19T23:13:10.6Z,1,REGULAR,block,,[],1631106,,,1610612753,0,0,2025-03-19T23:13:14Z,140000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M42.00S,2025-03-19T23:13:10.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2025-03-19T23:13:33Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,14.0,,,,,,,,,,,,,,,
17,PT11M30.00S,2025-03-19T23:14:34.9Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612745,0,0,2025-03-19T23:14:49Z,160000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 202709]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,,,,,,1.0,Joseph,202709.0,,,,,,,,,,,,
18,PT11M30.00S,2025-03-19T23:14:34.9Z,1,REGULAR,steal,,[],202709,,,1610612753,0,0,2025-03-19T23:14:37Z,170000,False,,,0,,C. Joseph STEAL (1 STL),[202709],1610612753.0,ORL,,,,Joseph,C. Joseph,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
19,PT11M21.00S,2025-03-19T23:14:39.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202709,68.01905387647832,31.372549019607842,1610612753,3,0,2025-03-19T23:14:51Z,180000,False,-93.0,248.0,1,right,C. Joseph 26' 3PT pullup (3 PTS),[202709],1610612753.0,ORL,pullup,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Left Center,26.5,Made,,,,,,,3.0,,,,,,,,,,,
20,PT11M01.00S,2025-03-19T23:14:59.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,32.40801576872536,43.627450980392155,1610612745,3,0,2025-03-19T23:15:08Z,190000,False,32.0,252.0,1,left,MISS J. Green 25' step back 3PT,[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,25.41,Missed,,,,,,,,,,,,,,,,,,
