actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-10T00:11:07.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-10T00:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-10T00:11:12.1Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612750,0,0,2025-01-10T00:11:12Z,40000,False,,,0,,Jump Ball R. Gobert vs. G. Bitadze: Tip to D. DiVincenzo,"[1628978, 203497, 1629048]",1610612750.0,MIN,startperiod,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Gobert,203497.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-01-10T00:11:28.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,7.046649145860711,48.77450980392157,1610612750,0,2,2025-01-10T00:11:32Z,70000,False,6.0,14.0,1,left,R. Gobert alley-oop Layup (2 PTS) (J. Randle 1 AST),"[203497, 203944]",1610612750.0,MIN,alley-oop,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.5,Made,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2025-01-10T00:11:47.8Z,1,REGULAR,2pt,Jump Shot,[],203484,82.60512483574244,76.47058823529412,1610612753,2,2,2025-01-10T00:11:52Z,90000,False,132.0,111.0,1,right,K. Caldwell-Pope 17' pullup Jump Shot (2 PTS) (C. Anthony 1 AST),"[203484, 1630175]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,17.28,Made,2.0,C. Anthony,1630175.0,1.0,,,,,,,,,,,,,,
11,PT11M00.00S,2025-01-10T00:12:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.652431011826544,48.28431372549019,1610612750,2,4,2025-01-10T00:12:12Z,110000,False,9.0,10.0,1,left,R. Gobert driving Layup (4 PTS),[203497],1610612750.0,MIN,driving,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.32,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M44.00S,2025-01-10T00:12:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,86.67871222076215,42.64705882352941,1610612753,2,4,2025-01-10T00:12:30Z,120000,False,-37.0,73.0,1,right,MISS C. Anthony 8' driving finger roll Layup - blocked,"[1630175, 1630183]",1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Center,8.15,Missed,,,,,McDaniels,1630183.0,,,,,,,,,,,,
13,PT10M44.00S,2025-01-10T00:12:24.8Z,1,REGULAR,block,,[],1630183,,,1610612753,2,4,2025-01-10T00:12:29Z,130000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2025-01-10T00:12:24.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,2,4,2025-01-10T00:12:30Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.0,,,,,,,,,,,
15,PT10M42.00S,2025-01-10T00:12:37.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631216,91.93495400788436,95.83333333333334,1610612753,2,4,2025-01-10T00:12:42Z,150000,False,229.0,23.0,1,right,MISS C. Houstan 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Right Corner 3,24+ Right,23.04,Missed,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2025-01-10T00:12:41.9Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,4,2025-01-10T00:12:42Z,160000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M24.00S,2025-01-10T00:12:54.6Z,1,REGULAR,2pt,Jump Shot,[],1630183,7.046649145860711,76.22549019607843,1610612750,2,4,2025-01-10T00:13:12Z,170000,False,-131.0,14.0,1,left,MISS J. McDaniels 13' step back Shot,[1630183],1610612750.0,MIN,step back,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,13.18,Missed,,,,,,,,,,,,,,,,,,
18,PT10M22.00S,2025-01-10T00:12:56.6Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,2,4,2025-01-10T00:12:58Z,180000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,8-16 Left,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M14.00S,2025-01-10T00:13:06.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,91.93495400788436,47.05882352941176,1610612753,4,4,2025-01-10T00:13:27Z,190000,False,-15.0,23.0,1,right,G. Bitadze alley-oop DUNK (2 PTS) (C. Anthony 2 AST),"[1629048, 1630175]",1610612753.0,ORL,alley-oop,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.75,Made,2.0,C. Anthony,1630175.0,2.0,,,,,,,,,,,,,,
21,PT09M53.00S,2025-01-10T00:13:27.2Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612750,4,4,2025-01-10T00:13:37Z,210000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1629048]",1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Bitadze,1629048.0,,,,,
22,PT09M53.00S,2025-01-10T00:13:27.2Z,1,REGULAR,steal,,[],1629048,,,1610612753,4,4,2025-01-10T00:13:31Z,220000,False,,,0,,G. Bitadze STEAL (1 STL),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M39.00S,2025-01-10T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203484,67.88764783180025,65.44117647058823,1610612753,7,4,2025-01-10T00:13:47Z,230000,False,77.0,249.0,1,right,K. Caldwell-Pope 26' 3PT  (5 PTS) (G. Bitadze 1 AST),"[203484, 1629048]",1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,26.11,Made,5.0,G. Bitadze,1629048.0,1.0,,,,,,,,,,,,,,
25,PT09M21.00S,2025-01-10T00:13:57.8Z,1,REGULAR,3pt,Jump Shot,[],203944,31.488173455978973,22.54901960784314,1610612750,7,4,2025-01-10T00:14:02Z,250000,False,137.0,243.0,1,left,MISS J. Randle 27' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,27.95,Missed,,,,,,,,,,,,,,,,,,
26,PT09M17.00S,2025-01-10T00:14:01.8Z,1,REGULAR,rebound,defensive,[],1630175,,,1610612753,7,4,2025-01-10T00:14:02Z,260000,False,,,0,,C. Anthony REBOUND (Off:0 Def:1),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M13.00S,2025-01-10T00:14:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641783,91.80354796320631,94.6078431372549,1610612753,7,4,2025-01-10T00:14:12Z,270000,False,223.0,25.0,1,right,MISS T. da Silva running 3PT,[1641783],1610612753.0,ORL,running,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,22.43,Missed,,,,,,,,,,,,,,,,,,
28,PT09M10.00S,2025-01-10T00:14:09.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,7,4,2025-01-10T00:15:06Z,280000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,
29,PT09M01.00S,2025-01-10T00:14:17.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203944,6.258212877792378,54.65686274509803,1610612750,7,6,2025-01-10T00:14:24Z,290000,False,-23.0,6.0,1,left,J. Randle running Layup (2 PTS),[203944],1610612750.0,MIN,running,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,2.41,Made,2.0,,,,,,,,,,,,,,,,,
