actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-27T23:10:44.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-27T23:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-27T23:10:48.0Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2025-03-27T23:10:48Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. K. Jones: Tip to F. Wagner,"[1630532, 1628976, 1630539]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Jones,1630539.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2025-03-27T23:11:10.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,9.280551905387648,50.0,1610612753,0,0,2025-03-27T23:11:23Z,70000,False,0.0,35.0,1,left,MISS C. Joseph driving finger roll Layup,[202709],1610612753.0,ORL,driving finger roll,,,Joseph,C. Joseph,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2025-03-27T23:11:10.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,0,0,2025-03-27T23:11:23Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-03-27T23:11:16.2Z,1,REGULAR,foul,personal,[],1631094,,,1610612742,0,0,2025-03-27T23:11:20Z,90000,False,,,0,,P. Banchero loose ball personal FOUL (1 PF),"[1631094, 203076]",1610612753.0,ORL,loose ball,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,200832.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,
11,PT11M20.00S,2025-03-27T23:11:37.3Z,1,REGULAR,2pt,Jump Shot,[],202691,75.50919842312747,63.725490196078425,1610612742,0,2,2025-03-27T23:11:41Z,110000,False,69.0,178.0,1,right,K. Thompson 19' pullup Jump Shot (2 PTS) (S. Dinwiddie 1 AST),"[202691, 203915]",1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,19.05,Made,,,,,,,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,
13,PT11M02.00S,2025-03-27T23:11:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,7.440867279894875,34.068627450980394,1610612753,0,2,2025-03-27T23:12:18Z,130000,False,80.0,17.0,1,left,MISS P. Banchero 8' driving floating Shot,[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,8.16,Missed,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2025-03-27T23:11:58.1Z,1,REGULAR,rebound,defensive,[],1630539,,,1610612742,0,2,2025-03-27T23:11:59Z,140000,False,,,0,,K. Jones REBOUND (Off:0 Def:1),[1630539],1610612742.0,DAL,,,,Jones,K. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,,,,,,1.0,1.0,0.0,,,,,
15,PT10M47.00S,2025-03-27T23:12:09.9Z,1,REGULAR,2pt,Jump Shot,[],202691,78.66294349540078,44.85294117647059,1610612742,0,2,2025-03-27T23:12:43Z,150000,False,-26.0,148.0,1,right,MISS K. Thompson 15' pullup Shot,[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Center,15.03,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2025-03-27T23:12:11.9Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2025-03-27T23:12:16Z,160000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Center,,,15.0,,,,,,,,,,1.0,1.0,0.0,,,,,
17,PT10M35.00S,2025-03-27T23:12:22.1Z,1,REGULAR,2pt,Jump Shot,[],203484,21.107095926412615,61.76470588235294,1610612753,0,2,2025-03-27T23:12:26Z,170000,False,-59.0,146.0,1,left,MISS K. Caldwell-Pope 15' pullup Shot,[203484],1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Center,15.73,Missed,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2025-03-27T23:12:25.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,0,2,2025-03-27T23:12:26Z,180000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Center,,,17.0,,,,,,,,,,1.0,1.0,0.0,,,,,
19,PT10M20.00S,2025-03-27T23:12:37.5Z,1,REGULAR,2pt,Jump Shot,[],203076,89.70105124835742,27.696078431372552,1610612742,0,2,2025-03-27T23:12:41Z,190000,False,-112.0,44.0,1,right,MISS A. Davis 12' driving floating Shot,[203076],1610612742.0,DAL,driving floating,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,12.0,Missed,,,,,,,,,,,,,,,,,,
