actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-08T23:10:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-08T23:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-08T23:10:40.0Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612753,0,0,2025-04-08T23:10:40Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. O. Okongwu: Tip to C. Joseph,"[202709, 1628976, 1630168]",1610612753.0,ORL,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Carter Jr.,1628976.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-04-08T23:10:52.4Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,0,0,2025-04-08T23:10:56Z,70000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1630168]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left,1.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-04-08T23:10:52.4Z,1,REGULAR,steal,,[],1630168,,,1610612737,0,0,2025-04-08T23:10:54Z,80000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-04-08T23:11:01.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630168,66.96780551905388,50.73529411764706,1610612737,0,3,2025-04-08T23:11:07Z,90000,False,4.0,258.0,1,right,O. Okongwu 25' 3PT  (3 PTS) (Z. Risacher 1 AST),"[1630168, 1642258]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Center,,,,25.8,Made,3.0,Z. Risacher,1642258.0,1.0,,,,,,,,,,,
11,PT11M23.00S,2025-04-08T23:11:13.9Z,1,REGULAR,turnover,lost ball,[],1630532,,,1610612753,0,3,2025-04-08T23:11:18Z,110000,False,,,0,,F. Wagner lost ball TURNOVER (1 TO),"[1630532, 1629027]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,1.0,Young,1629027.0,,,,,,,,,,,,,,,,,
12,PT11M23.00S,2025-04-08T23:11:13.9Z,1,REGULAR,steal,,[],1629027,,,1610612737,0,3,2025-04-08T23:11:16Z,120000,False,,,0,,T. Young STEAL (1 STL),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-04-08T23:11:21.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,67.62483574244416,59.80392156862745,1610612737,0,6,2025-04-08T23:11:26Z,130000,False,49.0,252.0,1,right,T. Young 25' 3PT pullup (3 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,25.65,Made,3.0,,,,,,,,,,,,,,
14,PT10M58.00S,2025-04-08T23:11:41.6Z,1,REGULAR,foul,personal,[],1629027,,,1610612753,0,6,2025-04-08T23:11:51Z,140000,False,,,0,,T. Young personal FOUL (1 PF),"[1629027, 1631094]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,204058.0,1.0,0.0,Banchero,1631094.0,,,,,,
16,PT10M51.00S,2025-04-08T23:12:04.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630532,5.995400788436268,49.01960784313725,1610612753,2,6,2025-04-08T23:12:09Z,160000,False,5.0,4.0,1,left,F. Wagner driving DUNK (2 PTS) (P. Banchero 1 AST),"[1630532, 1631094]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,0.63,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,
