actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-20T00:05:50.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T00:05:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT12M00.00S,2024-12-20T00:05:58.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2024-12-20T00:10:09Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-20T00:06:06.9Z,1,REGULAR,jumpball,recovered,[],1641783,,,1610612753,0,0,2024-12-20T00:06:06Z,40000,False,,,0,,Jump Ball G. Bitadze vs. I. Hartenstein: Tip to T. da Silva,"[1641783, 1629048, 1628392]",1610612753.0,ORL,startperiod,T. da Silva,1641783.0,da Silva,T. da Silva,Bitadze,1629048.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-12-20T00:06:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628976,87.86136662286465,45.588235294117645,1610612753,0,0,2024-12-20T00:49:26Z,65000,False,-22.0,62.0,1,right,MISS W. Carter Jr. 6' Layup - blocked,"[1628976, 1628392]",1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.54,Missed,Hartenstein,1628392.0,,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-12-20T00:06:10.9Z,1,REGULAR,block,,[],1628392,,,1610612753,0,0,2024-12-20T00:06:25Z,67500,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M45.00S,2024-12-20T00:06:12.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-12-20T00:49:26Z,68750,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,,,,,,,,,,,,,,,
114,PT11M43.00S,2024-12-20T00:06:20.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629048,92.19776609724047,50.245098039215684,1610612753,0,0,2024-12-20T01:14:31Z,90000,False,1.0,21.0,1,right,MISS G. Bitadze driving DUNK - blocked,"[1629048, 1629652]",1610612753.0,ORL,driving,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,2.08,Missed,Dort,1629652.0,,,,,,,,,,,,,,,,
115,PT11M43.00S,2024-12-20T00:06:20.6Z,1,REGULAR,block,,[],1629652,,,1610612753,0,0,2024-12-20T00:26:40Z,100000,False,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
116,PT11M41.00S,2024-12-20T00:06:22.6Z,1,REGULAR,rebound,offensive,[],1630591,,,1610612753,0,0,2024-12-20T00:48:49Z,105000,False,,,0,,J. Suggs REBOUND (Off:1 Def:0),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,114.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M38.00S,2024-12-20T00:06:28.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630591,93.64323258869908,52.450980392156865,1610612753,2,0,2024-12-20T00:49:01Z,110000,False,12.0,7.0,1,right,J. Suggs putback Layup (2 PTS),[1630591],1610612753.0,ORL,putback,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,2.0,,,,,,,,,,,
