actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-28T00:10:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-28T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-12-28T00:10:53.4Z,1,REGULAR,jumpball,recovered,[],1628969,,,1610612752,0,0,2024-12-28T00:10:53Z,40000,False,,,0,,Jump Ball K. Towns vs. G. Bitadze: Tip to M. Bridges,"[1628969, 1626157, 1629048]",1610612752.0,NYK,startperiod,M. Bridges,1628969.0,Bridges,M. Bridges,Towns,1626157.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-12-28T00:11:11.0Z,1,REGULAR,2pt,Jump Shot,[],1628973,73.01248357424441,50.73529411764706,1610612752,0,0,2024-12-28T00:11:16Z,70000,False,4.0,201.0,1,right,MISS J. Brunson 20' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,20.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-12-28T00:11:14.0Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,0,2024-12-28T00:11:16Z,80000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-12-28T00:11:30.0Z,1,REGULAR,3pt,Jump Shot,[],1630591,23.866622864651774,85.04901960784314,1610612753,3,0,2024-12-28T00:11:36Z,90000,False,-175.0,172.0,1,left,J. Suggs 24' 3PT  (3 PTS) (K. Caldwell-Pope 1 AST),"[1630591, 203484]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,24.54,Made,,,,,3.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
11,PT10M56.00S,2024-12-28T00:11:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,87.46714848883047,53.18627450980392,1610612752,3,0,2024-12-28T00:12:16Z,110000,False,16.0,65.0,1,right,MISS J. Brunson 6' floating Shot,[1628973],1610612752.0,NYK,floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,6.72,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-12-28T00:11:55.3Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,3,0,2024-12-28T00:11:55Z,120000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M48.00S,2024-12-28T00:12:01.2Z,1,REGULAR,turnover,bad pass,[],1629048,,,1610612753,3,0,2024-12-28T00:12:11Z,130000,False,,,0,,G. Bitadze bad pass TURNOVER (1 TO),"[1629048, 1626157]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,Towns,1626157.0,,,,,,,
14,PT10M48.00S,2024-12-28T00:12:01.2Z,1,REGULAR,steal,,[],1626157,,,1610612752,3,0,2024-12-28T00:12:03Z,140000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2024-12-28T00:12:06.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628384,95.22010512483574,52.20588235294118,1610612752,3,2,2024-12-28T00:12:15Z,150000,False,11.0,-8.0,1,right,O. Anunoby running DUNK (2 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.34,Made,,,,,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,
