actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-02T23:12:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T23:12:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-02T23:12:17.1Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-03-02T23:12:17Z,40000,False,,,0,,Jump Ball J. Poeltl vs. W. Carter Jr.: Tip to I. Quickley,"[1630193, 1627751, 1628976]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-02T23:12:26.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630193,6.783837056504599,48.77450980392157,1610612761,0,2,2025-03-02T23:12:57Z,70000,False,6.0,11.0,1,left,I. Quickley driving Layup (2 PTS) (S. Barnes 1 AST),"[1630193, 1630567]",1610612761.0,TOR,driving,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,1.28,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2025-03-02T23:12:50.4Z,1,REGULAR,foul,offensive,[],203484,,,1610612753,0,2,2025-03-02T23:13:02Z,90000,False,,,0,,K. Caldwell-Pope off-the-ball offensive FOUL (1 PF),"[203484, 1629628]",1610612753.0,ORL,off-the-ball,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,,,,1146.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,
11,PT11M26.00S,2025-03-02T23:12:50.4Z,1,REGULAR,turnover,offensive foul,[],203484,,,1610612753,0,2,2025-03-02T23:12:50Z,110000,False,,,0,,K. Caldwell-Pope offensive foul TURNOVER (1 TO),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,,,,,,,1146.0,,,,,1.0,,,,,,,,
12,PT11M03.00S,2025-03-02T23:13:19.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630567,14.273981603153747,63.23529411764706,1610612761,0,2,2025-03-02T23:13:24Z,120000,False,-66.0,82.0,1,left,MISS S. Barnes 10' pullup Shot,[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Left,10.52,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2025-03-02T23:13:22.0Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2025-03-02T23:13:24Z,130000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,
14,PT10M52.00S,2025-03-02T23:13:29.4Z,1,REGULAR,2pt,Jump Shot,[],203484,73.80091984231275,65.68627450980392,1610612753,2,2,2025-03-02T23:13:34Z,140000,False,78.0,194.0,1,right,K. Caldwell-Pope 20' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[203484, 1628976]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,20.91,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
16,PT10M39.00S,2025-03-02T23:13:45.8Z,1,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612761,2,2,2025-03-02T23:13:53Z,160000,False,,,0,,P. Banchero shooting personal FOUL (1 PF) (Barrett 2 FT),"[1631094, 1629628]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,,,,,1146.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,
18,PT10M39.00S,2025-03-02T23:14:08.5Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612761,2,2,2025-03-02T23:14:08Z,180000,False,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
