actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-24T00:10:36.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-24T00:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-24T00:10:38.6Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612757,0,0,2025-01-24T00:10:38Z,40000,False,,,0,,Jump Ball R. Williams III vs. W. Carter Jr.: Tip to A. Simons,"[1629014, 1629057, 1628976]",1610612757.0,POR,startperiod,A. Simons,1629014.0,Simons,A. Simons,Williams III,1629057.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-01-24T00:10:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,7.835085413929041,45.09803921568628,1610612757,0,0,2025-01-24T00:11:01Z,70000,False,25.0,21.0,1,left,MISS D. Avdija driving Layup - blocked,"[1630166, 1630532]",1610612757.0,POR,driving,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,3.23,Missed,Wagner,1630532.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-24T00:10:52.2Z,1,REGULAR,block,,[],1630532,,,1610612757,0,0,2025-01-24T00:10:55Z,80000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-01-24T00:10:55.2Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2025-01-24T00:11:01Z,90000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M37.00S,2025-01-24T00:10:57.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641710,92.32917214191852,53.18627450980392,1610612753,2,0,2025-01-24T00:11:05Z,100000,False,16.0,20.0,1,right,A. Black running Layup (2 PTS) (P. Banchero 1 AST),"[1641710, 1631094]",1610612753.0,ORL,running,,,Black,A. Black,,,,,Restricted Area,0-8 Center,2.52,Made,,,,,,,2.0,P. Banchero,1631094.0,1.0,,,,,,,,
12,PT11M19.00S,2025-01-24T00:11:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,7.30946123521682,57.35294117647059,1610612757,2,0,2025-01-24T00:11:24Z,120000,False,-37.0,16.0,1,left,MISS T. Camara driving Layup,[1641739],1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,,,,,,
14,PT11M15.00S,2025-01-24T00:11:19.9Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612757,2,0,2025-01-24T00:11:24Z,140000,False,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612757.0,POR,,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M14.00S,2025-01-24T00:11:20.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,7.30946123521682,52.69607843137255,1610612757,2,2,2025-01-24T00:11:28Z,150000,False,-13.0,16.0,1,left,R. Williams III putback Layup (2 PTS),[1629057],1610612757.0,POR,putback,,,Williams III,R. Williams III,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,,,2.0,,,,,,,,,,,
16,PT10M57.00S,2025-01-24T00:11:58.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,84.44480946123521,59.55882352941176,1610612753,2,2,2025-01-24T00:30:12Z,160000,False,48.0,94.0,1,right,MISS F. Wagner 10' turnaround fadeaway Shot,[1630532],1610612753.0,ORL,turnaround fadeaway,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2025-01-24T00:11:59.5Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,2,2,2025-01-24T00:30:12Z,170000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,
81,PT10M38.00S,2025-01-24T00:12:06.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,9.986859395532194,50.268075980392155,1610612757,2,2,2025-01-24T00:30:32Z,180000,False,-1.0,41.0,1,left,MISS J. Grant driving floating Shot,[203924],1610612757.0,POR,driving floating,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,4.14,Missed,,,,,,,,,,,,,,,,,,
82,PT10M38.00S,2025-01-24T00:12:06.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,2,2025-01-24T00:22:24Z,185000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,81.0,,,,,,,,,,,,,,,
20,PT10M26.00S,2025-01-24T00:12:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641739,7.440867279894875,54.166666666666664,1610612757,2,4,2025-01-24T00:22:24Z,200000,False,-21.0,17.0,1,left,T. Camara driving Layup (2 PTS) (D. Avdija 1 AST),"[1641739, 1630166]",1610612757.0,POR,driving,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,2.71,Made,,,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,,,
22,PT10M17.00S,2025-01-24T00:12:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,92.19776609724047,56.127450980392155,1610612753,2,4,2025-01-24T00:51:52Z,220000,False,31.0,21.0,1,right,MISS A. Black driving Layup - blocked,"[1641710, 1641739]",1610612753.0,ORL,driving,,,Black,A. Black,,,,,Restricted Area,0-8 Center,3.7,Missed,Camara,1641739.0,,,,,,,,,,,,,,,,
