actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-05T00:11:47.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-05T00:11:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-05T00:11:51.2Z,1,REGULAR,jumpball,recovered,[],1631094,,,1610612753,0,0,2025-03-05T00:11:51Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Poeltl: Tip to P. Banchero,"[1631094, 1628976, 1627751]",1610612753.0,ORL,startperiod,P. Banchero,1631094.0,Banchero,P. Banchero,Carter Jr.,1628976.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-05T00:12:01.4Z,1,REGULAR,2pt,Jump Shot,[],203484,20.811432325886997,56.372549019607845,1610612753,2,0,2025-03-05T00:12:06Z,70000,False,-32.0,143.0,1,left,K. Caldwell-Pope 14' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[203484, 1628976]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Center,14.66,Made,2.0,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-03-05T00:12:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1642266,,,1610612761,2,0,2025-03-05T00:12:30Z,90000,False,,,0,,J. Walter lost ball out-of-bounds TURNOVER (1 TO),[1642266],1610612761.0,TOR,lost ball,,,Walter,J. Walter,,,,,Mid-Range,16-24 Right,,,,,,,1.0,,,,,,,,,,,,,
10,PT11M03.00S,2025-03-05T00:12:52.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203484,19.84231274638634,15.663296568627445,1610612753,4,0,2025-03-05T00:13:31Z,100000,False,172.0,134.0,1,left,K. Caldwell-Pope 21' pullup Jump Shot (4 PTS) (C. Joseph 1 AST),"[203484, 202709]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,16-24 Right Center,21.78,Made,4.0,C. Joseph,202709.0,1.0,,,,,,,,,,,,,,
12,PT10M41.00S,2025-03-05T00:13:15.4Z,1,REGULAR,2pt,Jump Shot,[],1627751,78.76149802890933,41.91176470588235,1610612761,4,0,2025-03-05T00:13:22Z,120000,False,-40.0,147.0,1,right,MISS J. Poeltl 15' floating Shot,[1627751],1610612761.0,TOR,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Center,15.25,Missed,,,,,,,,,,,,,,,,,,
13,PT10M37.00S,2025-03-05T00:13:19.4Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,4,0,2025-03-05T00:13:22Z,130000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT10M33.00S,2025-03-05T00:13:23.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629628,88.09132720105124,4.901960784313729,1610612761,4,3,2025-03-05T00:13:28Z,140000,False,-225.0,59.0,1,right,R. Barrett 3PT  (3 PTS) (I. Quickley 1 AST),"[1629628, 1630193]",1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Left Corner 3,24+ Left,23.32,Made,3.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,,,
16,PT10M08.00S,2025-03-05T00:13:47.5Z,1,REGULAR,2pt,Jump Shot,[],1628976,24.359395532194483,31.862745098039213,1610612753,4,3,2025-03-05T00:13:51Z,160000,False,91.0,176.0,1,left,MISS W. Carter Jr. 19' step back Shot,[1628976],1610612753.0,ORL,step back,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,16-24 Right Center,19.84,Missed,,,,,,,,,,,,,,,,,,
17,PT10M06.00S,2025-03-05T00:13:49.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,3,2025-03-05T00:13:51Z,170000,False,,,0,,S. Barnes REBOUND (Off:1 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Right Center,,,,,,,,16.0,2.0,1.0,1.0,,,,,,,,,
18,PT10M02.00S,2025-03-05T00:13:54.8Z,1,REGULAR,turnover,bad pass,[],1630193,,,1610612761,4,3,2025-03-05T00:13:59Z,180000,False,,,0,,I. Quickley bad pass TURNOVER (1 TO),"[1630193, 1631094]",1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Mid-Range,8-16 Left,,,,,,,1.0,,,,,Banchero,1631094.0,,,,,,,
19,PT10M02.00S,2025-03-05T00:13:54.8Z,1,REGULAR,steal,,[],1631094,,,1610612753,4,3,2025-03-05T00:23:36Z,190000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT09M53.00S,2025-03-05T00:14:03.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202709,22.651116951379763,90.68627450980392,1610612753,4,3,2025-03-05T00:15:47Z,200000,False,-203.0,160.0,1,left,MISS C. Joseph 25' pullup 3PT,[202709],1610612753.0,ORL,pullup,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Left Center,25.9,Missed,,,,,,,,,,,,,,,,,,
21,PT09M51.00S,2025-03-05T00:14:05.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,4,3,2025-03-05T00:14:07Z,210000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT09M44.00S,2025-03-05T00:14:12.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630193,85.72601839684626,44.85294117647059,1610612761,4,5,2025-03-05T00:18:28Z,220000,False,-26.0,82.0,1,right,I. Quickley 8' running Jump Shot (2 PTS) (R. Barrett 1 AST),"[1630193, 1629628]",1610612761.0,TOR,running,,,Quickley,I. Quickley,,,,,In The Paint (Non-RA),8-16 Center,8.56,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,
23,PT09M29.00S,2025-03-05T00:14:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,7.276609724047319,43.38235294117647,1610612753,6,5,2025-03-05T00:19:15Z,230000,False,33.0,16.0,1,left,P. Banchero driving floating bank Jump Shot (2 PTS) (C. Joseph 2 AST),"[1631094, 202709]",1610612753.0,ORL,driving floating bank,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.67,Made,2.0,C. Joseph,202709.0,2.0,,,,,,,,,,,,,,
25,PT09M20.00S,2025-03-05T00:14:38.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629628,91.19579500657031,41.888786764705884,1610612761,6,7,2025-03-05T00:19:37Z,250000,False,-41.0,30.0,1,right,R. Barrett driving Hook (5 PTS) (S. Barnes 1 AST),"[1629628, 1630567]",1610612761.0,TOR,driving,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,5.07,Made,5.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
27,PT09M20.00S,2025-03-05T00:14:42.3Z,1,REGULAR,foul,personal,['1freethrow'],1630532,,,1610612761,6,7,2025-03-05T00:14:53Z,270000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Barrett 1 FT),"[1630532, 1629628]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,202037.0,1.0,0.0,Barrett,1629628.0,,
29,PT09M20.00S,2025-03-05T00:15:08.4Z,1,REGULAR,freethrow,1 of 1,[],1629628,,,1610612761,6,7,2025-03-05T00:15:12Z,290000,False,,,0,,MISS R. Barrett Free Throw 1 of 1,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2025-03-05T00:15:11.4Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,6,7,2025-03-05T00:15:12Z,300000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M00.00S,2025-03-05T00:15:28.2Z,1,REGULAR,3pt,Jump Shot,[],202709,30.66688567674113,72.30392156862744,1610612753,6,7,2025-03-05T00:15:31Z,310000,False,-112.0,236.0,1,left,MISS C. Joseph 26' 3PT,[202709],1610612753.0,ORL,,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Left Center,26.08,Missed,,,,,,,,,,,,,,,,,,
32,PT08M58.00S,2025-03-05T00:15:30.2Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,6,7,2025-03-05T00:15:31Z,320000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,,31.0,2.0,2.0,0.0,,,,,,,,,
33,PT08M48.00S,2025-03-05T00:15:39.1Z,1,REGULAR,3pt,Jump Shot,[],1642266,79.02431011826545,9.803921568627445,1610612761,6,10,2025-03-05T00:15:43Z,330000,False,-201.0,145.0,1,right,J. Walter 24' 3PT  (3 PTS) (R. Barrett 2 AST),"[1642266, 1629628]",1610612761.0,TOR,,,,Walter,J. Walter,,,,,Above the Break 3,24+ Left Center,24.77,Made,3.0,R. Barrett,1629628.0,2.0,,,,,,,,,,,,,,
35,PT08M41.00S,2025-03-05T00:15:48.7Z,1,REGULAR,foul,personal,['2freethrow'],1627751,,,1610612753,6,10,2025-03-05T00:16:05Z,350000,False,,,0,,J. Poeltl shooting personal FOUL (1 PF) (Banchero 2 FT),"[1627751, 1631094]",1610612761.0,TOR,shooting,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202037.0,1.0,0.0,Banchero,1631094.0,,
37,PT08M41.00S,2025-03-05T00:16:18.0Z,1,REGULAR,freethrow,1 of 2,[],1631094,,,1610612753,7,10,2025-03-05T00:16:18Z,370000,False,,,0,,P. Banchero Free Throw 1 of 2 (3 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
38,PT08M41.00S,2025-03-05T00:16:36.1Z,1,REGULAR,freethrow,2 of 2,[],1631094,,,1610612753,8,10,2025-03-05T00:16:36Z,380000,False,,,0,,P. Banchero Free Throw 2 of 2 (4 PTS),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
