actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-24T23:10:38.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-24T23:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-24T23:10:41.5Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612753,0,0,2025-03-24T23:10:41Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Hayes: Tip to C. Joseph,"[202709, 1628976, 1629637]",1610612753.0,ORL,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Carter Jr.,1628976.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-03-24T23:11:02.5Z,1,REGULAR,turnover,out-of-bounds,[],1630532,,,1610612753,0,0,2025-03-24T23:11:09Z,70000,False,,,0,,F. Wagner bad pass out-of-bounds TURNOVER (1 TO),[1630532],1610612753.0,ORL,bad pass,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Right,1627962.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-03-24T23:11:24.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629637,89.70105124835742,42.40196078431372,1610612747,0,0,2025-03-24T23:11:31Z,80000,False,-38.0,44.0,1,right,MISS J. Hayes turnaround Hook,[1629637],1610612747.0,LAL,turnaround,,,Hayes,J. Hayes,,,,,In The Paint (Non-RA),0-8 Center,,,5.84,Missed,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-03-24T23:11:28.5Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2025-03-24T23:11:31Z,90000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M18.00S,2025-03-24T23:11:31.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631094,12.697109067017081,50.0,1610612753,2,0,2025-03-24T23:11:39Z,100000,False,0.0,67.0,1,left,P. Banchero 6' running Layup (2 PTS),[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,6.69,Made,,,,,2.0,,,,,,,,,,,
11,PT11M04.00S,2025-03-24T23:11:45.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,65.91655716162943,66.42156862745098,1610612747,2,0,2025-03-24T23:11:50Z,110000,False,82.0,268.0,1,right,MISS L. Dončić 28' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,28.02,Missed,,,,,,,,,,,,,,,,
12,PT11M00.00S,2025-03-24T23:11:49.5Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612747,2,0,2025-03-24T23:11:50Z,120000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612747.0,LAL,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT10M51.00S,2025-03-24T23:11:58.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630559,83.13074901445466,44.36274509803921,1610612747,2,2,2025-03-24T23:12:05Z,130000,False,-28.0,106.0,1,right,A. Reaves 10' pullup Jump Shot (2 PTS) (L. James 1 AST),"[1630559, 2544]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,10.98,Made,,,,,2.0,L. James,2544.0,1.0,,,,,,,,
14,PT10M42.00S,2025-03-24T23:12:06.8Z,1,REGULAR,3pt,Jump Shot,[],202709,30.436925098554536,27.696078431372552,1610612753,2,2,2025-03-24T23:13:20Z,140000,False,112.0,234.0,1,left,MISS C. Joseph 25' pullup 3PT,[202709],1610612753.0,ORL,pullup,,,Joseph,C. Joseph,,,,,Above the Break 3,24+ Right Center,,,25.88,Missed,,,,,,,,,,,,,,,,
15,PT10M39.00S,2025-03-24T23:12:09.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,2,2,2025-03-24T23:12:12Z,150000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M33.00S,2025-03-24T23:12:16.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,69.85873850197109,75.98039215686273,1610612747,2,2,2025-03-24T23:13:46Z,160000,False,130.0,231.0,1,right,MISS L. Dončić 26' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,,,26.48,Missed,,,,,,,,,,,,,,,,
17,PT10M32.00S,2025-03-24T23:12:21.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,2,2,2025-03-24T23:12:21Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,16.0,,,,,,,,,,,,,,,
18,PT10M32.00S,2025-03-24T23:12:24.6Z,1,REGULAR,foul,personal,[],202709,,,1610612747,2,2,2025-03-24T23:12:33Z,180000,False,,,0,,C. Joseph loose ball personal FOUL (1 PF),"[202709, 1629637]",1610612753.0,ORL,loose ball,,,Joseph,C. Joseph,,,,,In The Paint (Non-RA),0-8 Center,101283.0,,,,,,,,,,,,1.0,0.0,Hayes,1629637.0,,,,
20,PT10M21.00S,2025-03-24T23:12:46.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629029,92.9862023653088,48.28431372549019,1610612747,2,2,2025-03-24T23:14:09Z,200000,False,-9.0,13.0,1,right,MISS L. Dončić driving reverse Layup,[1629029],1610612747.0,LAL,driving reverse,,,Dončić,L. Dončić,,,,,Restricted Area,0-8 Center,,,1.59,Missed,,,,,,,,,,,,,,,,
21,PT10M20.00S,2025-03-24T23:12:47.0Z,1,REGULAR,rebound,offensive,[],1629637,,,1610612747,2,2,2025-03-24T23:14:28Z,210000,False,,,0,,J. Hayes REBOUND (Off:1 Def:0),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,
22,PT10M19.00S,2025-03-24T23:12:52.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629637,94.40999984741211,50.0,1610612747,2,4,2025-03-24T23:14:32Z,220000,False,0.0,0.0,1,right,J. Hayes tip Layup (2 PTS),[1629637],1610612747.0,LAL,tip,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,0.0,Made,,,,,2.0,,,,,,,,,,,
23,PT10M05.00S,2025-03-24T23:13:01.9Z,1,REGULAR,3pt,Jump Shot,[],203484,20.318659658344284,92.15686274509804,1610612753,2,4,2025-03-24T23:13:06Z,230000,False,-211.0,138.0,1,left,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,,,25.22,Missed,,,,,,,,,,,,,,,,
24,PT10M02.00S,2025-03-24T23:13:04.9Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,2,4,2025-03-24T23:13:06Z,240000,False,,,0,,J. Hayes REBOUND (Off:1 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Above the Break 3,24+ Left Center,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,
25,PT09M57.00S,2025-03-24T23:13:10.0Z,1,REGULAR,3pt,Jump Shot,[],1630559,76.82325886990802,89.95098039215686,1610612747,2,7,2025-03-24T23:15:07Z,250000,False,200.0,165.0,1,right,A. Reaves 25' 3PT pullup (5 PTS) (L. James 2 AST),"[1630559, 2544]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,25.94,Made,,,,,5.0,L. James,2544.0,2.0,,,,,,,,
27,PT09M44.00S,2025-03-24T23:13:21.7Z,1,REGULAR,3pt,Jump Shot,[],1631094,17.559132720105126,94.85294117647058,1610612753,5,7,2025-03-24T23:13:26Z,270000,False,-224.0,113.0,1,left,P. Banchero 25' 3PT pullup (5 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,25.1,Made,,,,,5.0,,,,,,,,,,,
28,PT09M26.00S,2025-03-24T23:13:44.3Z,1,REGULAR,foul,personal,[],1631094,,,1610612747,5,7,2025-03-24T23:13:55Z,280000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 1629637]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,1193.0,,,,,,,,,,,,1.0,0.0,Hayes,1629637.0,,,,
30,PT09M11.00S,2025-03-24T23:14:14.4Z,1,REGULAR,2pt,Jump Shot,[],1629029,79.71419185282524,70.34313725490196,1610612747,5,7,2025-03-24T23:14:20Z,300000,False,102.0,138.0,1,right,MISS L. Dončić 17' pullup Shot,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Right Center,,,17.16,Missed,,,,,,,,,,,,,,,,
31,PT09M08.00S,2025-03-24T23:14:17.8Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,5,7,2025-03-24T23:14:17Z,310000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right Center,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,
