actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-19T23:10:45.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-19T23:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-19T23:10:48.4Z,1,REGULAR,jumpball,recovered,[],203484,,,1610612753,0,0,2025-01-19T23:10:48Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Jokić: Tip to K. Caldwell-Pope,"[203484, 1628976, 203999]",1610612753.0,ORL,startperiod,K. Caldwell-Pope,203484.0,Caldwell-Pope,K. Caldwell-Pope,Carter Jr.,1628976.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-01-19T23:11:09.0Z,1,REGULAR,2pt,Jump Shot,[],1628976,18.2161629434954,70.58823529411765,1610612753,2,0,2025-01-19T23:11:21Z,70000,False,-103.0,119.0,1,left,W. Carter Jr. 15' pullup Jump Shot (2 PTS),[1628976],1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,Mid-Range,8-16 Left,15.71,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2025-01-19T23:11:25.6Z,1,REGULAR,3pt,Jump Shot,[],1627750,68.41327201051249,29.411764705882355,1610612743,2,0,2025-01-19T23:11:35Z,80000,False,-103.0,244.0,1,right,MISS J. Murray 26' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2025-01-19T23:11:29.6Z,1,REGULAR,rebound,defensive,[],1641783,,,1610612753,2,0,2025-01-19T23:11:35Z,90000,False,,,0,,T. da Silva REBOUND (Off:0 Def:1),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M03.00S,2025-01-19T23:11:58.6Z,1,REGULAR,2pt,Jump Shot,[],203484,21.23850197109067,46.568627450980394,1610612753,4,0,2025-01-19T23:12:08Z,110000,False,17.0,147.0,1,left,K. Caldwell-Pope 14' pullup Jump Shot (2 PTS) (W. Carter Jr. 1 AST),"[203484, 1628976]",1610612753.0,ORL,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Center,14.81,Made,2.0,,,,,W. Carter Jr.,1628976.0,1.0,,,,,,,,,,
13,PT10M50.00S,2025-01-19T23:12:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.01511169513797,51.470588235294116,1610612743,4,0,2025-01-19T23:12:22Z,130000,False,7.0,32.0,1,right,MISS R. Westbrook driving Layup,[201566],1610612743.0,DEN,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.28,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-01-19T23:12:15.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,0,2025-01-19T23:16:52Z,150000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M35.00S,2025-01-19T23:12:26.8Z,1,REGULAR,3pt,Jump Shot,[],1641783,6.389618922470433,96.07843137254902,1610612753,4,0,2025-01-19T23:12:34Z,160000,False,-230.0,8.0,1,left,MISS T. da Silva 3PT,[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2025-01-19T23:12:30.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,0,2025-01-19T23:12:34Z,170000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Left Corner 3,24+ Left,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
