actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-10T00:10:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T00:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-03-10T00:10:29.8Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-03-10T00:10:29Z,40000,,,0,,Jump Ball R. Williams III vs. M. Plumlee: Tip to A. Horford,"[201143, 1629057, 203486]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-10T00:10:43.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,72.22404730617609,81.61764705882352,1610612738,0,0,2022-03-10T00:10:48Z,70000,158.0,209.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,26.17,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-03-10T00:10:46.6Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-03-10T00:10:48Z,80000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-03-10T00:10:58.3Z,1,REGULAR,3pt,Jump Shot,[],1626179,13.748357424441524,96.07843137254902,1610612766,3,0,2022-03-10T00:11:02Z,90000,-230.0,77.0,1,left,T. Rozier 24' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1626179, 203486]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,24.28,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,
11,PT11M11.00S,2022-03-10T00:11:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.11760840998686,50.73529411764706,1610612738,3,2,2022-03-10T00:11:18Z,110000,4.0,12.0,1,right,J. Tatum driving finger roll Layup (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,1.27,Made,,,,,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,
13,PT11M01.00S,2022-03-10T00:11:23.3Z,1,REGULAR,turnover,bad pass,[],1626179,,,1610612766,3,2,2022-03-10T00:11:28Z,130000,,,0,,T. Rozier bad pass TURNOVER (1 TO),"[1626179, 1629057]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,1.0,Williams III,1629057.0,,,,,,,,
14,PT11M01.00S,2022-03-10T00:11:23.3Z,1,REGULAR,steal,,[],1629057,,,1610612738,3,2,2022-03-10T00:11:26Z,140000,,,0,,R. Williams III STEAL (1 STL),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-03-10T00:11:39.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629057,93.51182654402102,51.71568627450981,1610612738,3,4,2022-03-10T00:11:43Z,150000,9.0,8.0,1,right,R. Williams III Layup (2 PTS) (J. Brown 1 AST),"[1629057, 1627759]",1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,1.21,Made,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,
17,PT10M29.00S,2022-03-10T00:11:55.5Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,3,4,2022-03-10T00:12:00Z,170000,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1628369]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,1.0,Tatum,1628369.0,,,,,,,,
