actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-15T00:10:24.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-15T00:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-15T00:10:27.9Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2021-11-15T00:10:27Z,40000,,,0,,Jump Ball K. Looney vs. M. Plumlee: Tip to S. Curry,"[201939, 1626172, 203486]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-15T00:10:45.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,12.171484888304862,3.1862745098039214,1610612744,0,3,2021-11-15T00:10:52Z,70000,234.0,62.0,1,left,J. Poole 24' 3PT  (3 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,24.21,Made,3.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-11-15T00:11:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,71.82982917214193,76.7156862745098,1610612766,0,3,2021-11-15T00:11:04Z,90000,134.0,212.0,1,right,MISS M. Bridges 25' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2021-11-15T00:11:03.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,3,2021-11-15T00:11:04Z,100000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M12.00S,2021-11-15T00:11:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,6.783837056504599,50.73529411764706,1610612744,0,3,2021-11-15T00:11:16Z,110000,-4.0,11.0,1,left,MISS K. Looney Layup,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,1.19,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-11-15T00:11:15.7Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,3,2021-11-15T00:11:15Z,120000,,,0,,K. Looney REBOUND (Off:1 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,
13,PT11M08.00S,2021-11-15T00:11:15.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626172,5.590000152587891,50.0,1610612744,0,5,2021-11-15T00:11:15Z,130000,0.0,0.0,1,left,K. Looney tip Layup (2 PTS),[1626172],1610612744.0,GSW,tip,,,Looney,K. Looney,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-11-15T00:11:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,92.32917214191852,96.81372549019608,1610612766,3,5,2021-11-15T00:11:38Z,140000,234.0,20.0,1,right,L. Ball 3PT  (3 PTS) (G. Hayward 1 AST),"[1630163, 202330]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,23.49,Made,3.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,,
16,PT10M29.00S,2021-11-15T00:11:56.2Z,1,REGULAR,2pt,Jump Shot,[],203952,8.754927726675426,80.14705882352942,1610612744,3,5,2021-11-15T00:13:00Z,160000,-151.0,30.0,1,left,MISS A. Wiggins 15' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,15.36,Missed,,,,,,,,,,,,,,,,,,,
