actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,value,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-09T00:10:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T00:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-09T00:10:24.7Z,1,REGULAR,jumpball,recovered,[],201980,,,1610612755,0,0,2021-12-09T00:10:24Z,40000,,,0,,Jump Ball J. Embiid vs. N. Richards: Tip to D. Green,"[201980, 203954, 1630208]",1610612755.0,PHI,startperiod,D. Green,201980.0,Green,D. Green,Embiid,203954.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-12-09T00:10:43.5Z,1,REGULAR,3pt,Jump Shot,[],201980,28.86005256241787,78.18627450980392,1610612755,0,0,2021-12-09T00:10:50Z,70000,-141.0,219.0,1,left,MISS D. Green 26' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,26.02,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2021-12-09T00:10:46.5Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,0,0,2021-12-09T00:10:50Z,80000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-12-09T00:11:03.5Z,1,REGULAR,3pt,Jump Shot,[],1626162,95.74572930354796,98.0392156862745,1610612766,0,0,2021-12-09T00:11:08Z,90000,240.0,-13.0,1,right,MISS K. Oubre Jr. 24' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,24.05,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2021-12-09T00:11:06.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2021-12-09T00:11:08Z,100000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M01.00S,2021-12-09T00:11:22.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612755,0,0,2021-12-09T00:11:22Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2021-12-09T00:11:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,20.318659658344284,40.19607843137255,1610612755,0,2,2021-12-09T00:12:13Z,120000,49.0,138.0,1,left,J. Embiid 14' pullup Jump Shot (2 PTS) (S. Curry 1 AST),"[203954, 203552]",1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,14.69,Made,,,,,2.0,S. Curry,203552.0,1.0,,,,,,,,,,,
14,PT10M44.00S,2021-12-09T00:11:56.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,2,2021-12-09T00:11:56Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2021-12-09T00:12:14.0Z,1,REGULAR,2pt,Jump Shot,[],202330,95.48291721419186,8.088235294117647,1610612766,2,2,2021-12-09T00:12:19Z,150000,-210.0,-10.0,1,right,G. Hayward 20' Jump Shot (2 PTS) (K. Oubre Jr. 1 AST),"[202330, 1626162]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,20.98,Made,,,,,2.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,
17,PT10M20.00S,2021-12-09T00:12:25.5Z,1,REGULAR,3pt,Jump Shot,[],202699,27.283180026281208,77.69607843137256,1610612755,2,5,2021-12-09T00:12:31Z,170000,-138.0,204.0,1,left,T. Harris 24' 3PT  (3 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,24.66,Made,,,,,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
19,PT10M15.00S,2021-12-09T00:12:33.5Z,1,REGULAR,foul,personal,[],201980,,,1610612766,2,5,2021-12-09T00:12:41Z,190000,,,0,,D. Green personal FOUL (1 PF),"[201980, 202330]",1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,1662.0,1.0,0.0,Hayward,202330.0,,,,,,
21,PT10M11.00S,2021-12-09T00:12:49.2Z,1,REGULAR,turnover,traveling,[],1626162,,,1610612766,2,5,2021-12-09T00:12:57Z,210000,,,0,,K. Oubre Jr. traveling TURNOVER (1 TO),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,1662.0,,,,,1.0,,,,,
22,PT09M59.00S,2021-12-09T00:13:05.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203552,5.863994743758213,22.794117647058822,1610612755,2,5,2021-12-09T00:13:27Z,220000,136.0,3.0,1,left,MISS S. Curry 13' step back Shot,[203552],1610612755.0,PHI,step back,,,Curry,S. Curry,,,,,13.6,Missed,,,,,,,,,,,,,,,,,,,
23,PT09M56.00S,2021-12-09T00:13:08.0Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,2,5,2021-12-09T00:13:08Z,230000,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
24,PT09M48.00S,2021-12-09T00:13:16.8Z,1,REGULAR,3pt,Jump Shot,[],202330,67.09921156373193,37.00980392156863,1610612766,5,5,2021-12-09T00:14:09Z,240000,-65.0,257.0,1,right,G. Hayward 26' 3PT pullup (5 PTS) (N. Richards 1 AST),"[202330, 1630208]",1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,26.49,Made,,,,,5.0,N. Richards,1630208.0,1.0,,,,,,,,,,,
26,PT09M24.00S,2021-12-09T00:13:41.3Z,1,REGULAR,3pt,Jump Shot,[],203552,10.33180026281209,3.1862745098039214,1610612755,5,8,2021-12-09T00:13:46Z,260000,234.0,45.0,1,left,S. Curry 3PT  (3 PTS) (T. Maxey 2 AST),"[203552, 1630178]",1610612755.0,PHI,,,,Curry,S. Curry,,,,,23.83,Made,,,,,3.0,T. Maxey,1630178.0,2.0,,,,,,,,,,,
28,PT09M09.00S,2021-12-09T00:13:56.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,73.01248357424441,15.441176470588236,1610612766,5,8,2021-12-09T00:14:01Z,280000,-173.0,201.0,1,right,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,26.52,Missed,,,,,,,,,,,,,,,,,,,
29,PT09M06.00S,2021-12-09T00:13:58.6Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,5,8,2021-12-09T00:13:58Z,290000,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
30,PT09M02.00S,2021-12-09T00:14:03.8Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612766,5,8,2021-12-09T00:14:13Z,300000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Richards 2 FT),"[203954, 1630208]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,,,,,1204.0,1.0,0.0,Richards,1630208.0,,,,,,
32,PT09M02.00S,2021-12-09T00:14:31.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630208,,,1610612766,6,8,2021-12-09T00:14:31Z,320000,,,0,,N. Richards Free Throw 1 of 2 (1 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,Made,,,,,1.0,,,,,,,,,,,,,,
33,PT09M02.00S,2021-12-09T00:14:55.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630208,,,1610612766,7,8,2021-12-09T00:14:55Z,330000,,,0,,N. Richards Free Throw 2 of 2 (2 PTS),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,Made,,,,,2.0,,,,,,,,,,,,,,
34,PT08M51.00S,2021-12-09T00:15:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,31.225361366622867,30.88235294117647,1610612755,7,8,2021-12-09T00:15:13Z,340000,96.0,241.0,1,left,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,25.93,Missed,,,,,,,,,,,,,,,,,,,
35,PT08M48.00S,2021-12-09T00:15:10.5Z,1,REGULAR,rebound,offensive,[],203552,,,1610612755,7,8,2021-12-09T00:15:10Z,350000,,,0,,S. Curry REBOUND (Off:1 Def:0),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
36,PT08M35.00S,2021-12-09T00:15:23.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630178,4.812746386333772,4.6568627450980395,1610612755,7,8,2021-12-09T00:15:29Z,360000,227.0,-7.0,1,left,MISS T. Maxey 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
37,PT08M33.00S,2021-12-09T00:15:25.1Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,7,8,2021-12-09T00:15:29Z,370000,,,0,,C. Martin REBOUND (Off:1 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
38,PT08M23.00S,2021-12-09T00:15:35.5Z,1,REGULAR,3pt,Jump Shot,[],1626162,72.35545335085413,80.3921568627451,1610612766,10,8,2021-12-09T00:15:43Z,380000,152.0,207.0,1,right,K. Oubre Jr. 25' 3PT step back (3 PTS),[1626162],1610612766.0,CHA,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,25.71,Made,,,,,3.0,,,,,,,,,,,,,,
39,PT08M01.00S,2021-12-09T00:15:57.7Z,1,REGULAR,2pt,Jump Shot,[],203954,22.158344283837057,49.50980392156863,1610612755,10,8,2021-12-09T00:16:38Z,390000,2.0,156.0,1,left,MISS J. Embiid 15' fadeaway Shot,[203954],1610612755.0,PHI,fadeaway,,,Embiid,J. Embiid,,,,,15.58,Missed,,,,,,,,,,,,,,,,,,,
40,PT07M58.00S,2021-12-09T00:16:00.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,10,8,2021-12-09T00:16:00Z,400000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT07M52.00S,2021-12-09T00:16:06.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,73.53810775295663,14.215686274509803,1610612766,10,8,2021-12-09T00:16:13Z,410000,-179.0,196.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,26.55,Missed,,,,,,,,,,,,,,,,,,,
42,PT07M49.00S,2021-12-09T00:16:09.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,10,8,2021-12-09T00:16:13Z,420000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
43,PT07M44.00S,2021-12-09T00:16:16.7Z,1,REGULAR,turnover,out-of-bounds,[],203552,,,1610612755,10,8,2021-12-09T00:16:36Z,430000,,,0,,S. Curry step out-of-bounds TURNOVER (1 TO),[203552],1610612755.0,PHI,step,,,Curry,S. Curry,,,,,,,,,,,,,,,202026.0,,,,,1.0,,,,,
44,PT07M34.00S,2021-12-09T00:16:34.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626162,68.54467805519053,66.66666666666666,1610612766,10,8,2021-12-09T00:16:41Z,440000,83.0,243.0,1,right,MISS K. Oubre Jr. 25' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M31.00S,2021-12-09T00:16:37.3Z,1,REGULAR,rebound,offensive,[],1628998,,,1610612766,10,8,2021-12-09T00:16:37Z,450000,,,0,,C. Martin REBOUND (Off:2 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,44.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
46,PT07M26.00S,2021-12-09T00:16:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630208,93.24901445466492,51.9607843137255,1610612766,12,8,2021-12-09T00:16:54Z,460000,10.0,11.0,1,right,N. Richards reverse Layup (4 PTS) (G. Hayward 1 AST),"[1630208, 202330]",1610612766.0,CHA,reverse,,,Richards,N. Richards,,,,,1.47,Made,,,,,4.0,G. Hayward,202330.0,1.0,,,,,,,,,,,
48,PT07M03.00S,2021-12-09T00:17:04.9Z,1,REGULAR,2pt,Jump Shot,[],203954,10.5946123521682,75.24509803921569,1610612755,12,8,2021-12-09T00:17:10Z,480000,-126.0,47.0,1,left,MISS J. Embiid 13' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,13.47,Missed,,,,,,,,,,,,,,,,,,,
49,PT07M01.00S,2021-12-09T00:17:06.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612766,12,8,2021-12-09T00:17:10Z,490000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
50,PT06M56.00S,2021-12-09T00:17:11.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",202330,89.17542706964521,65.68627450980392,1610612766,12,8,2021-12-09T00:18:24Z,500000,78.0,49.0,1,right,MISS G. Hayward 9' fadeaway Shot,[202330],1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,9.26,Missed,,,,,,,,,,,,,,,,,,,
51,PT06M53.00S,2021-12-09T00:17:14.9Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,12,8,2021-12-09T00:17:14Z,510000,,,0,,J. Embiid REBOUND (Off:0 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
52,PT06M49.00S,2021-12-09T00:17:19.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203954,7.440867279894875,50.245098039215684,1610612755,12,10,2021-12-09T00:17:27Z,520000,-1.0,17.0,1,left,J. Embiid running DUNK (4 PTS),[203954],1610612755.0,PHI,running,,,Embiid,J. Embiid,,,,,1.74,Made,,,,,4.0,,,,,,,,,,,,,,
53,PT06M32.00S,2021-12-09T00:17:36.2Z,1,REGULAR,2pt,Jump Shot,[],1626162,77.61169513797634,50.245098039215684,1610612766,12,10,2021-12-09T00:19:32Z,530000,1.0,158.0,1,right,MISS K. Oubre Jr. 15' pullup Shot,[1626162],1610612766.0,CHA,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,15.8,Missed,,,,,,,,,,,,,,,,,,,
54,PT06M30.00S,2021-12-09T00:17:37.8Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,12,10,2021-12-09T00:17:37Z,540000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:2),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,53.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
55,PT06M29.00S,2021-12-09T00:17:39.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626162,80.81471747700394,50.91911764705882,1610612766,12,10,2021-12-09T00:20:00Z,550000,5.0,128.0,1,right,MISS K. Oubre Jr. 12' floating Shot - blocked,"[1626162, 201980]",1610612766.0,CHA,floating,,,Oubre Jr.,K. Oubre Jr.,,,,,12.79,Missed,,,,,,,,,,,,,,,Green,201980.0,,,
56,PT06M29.00S,2021-12-09T00:17:39.3Z,1,REGULAR,block,,[],201980,,,1610612766,12,10,2021-12-09T00:17:42Z,560000,,,0,,D. Green BLOCK (1 BLK),[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
