actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-10-25T23:10:41.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T23:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2021-10-25T23:10:47.3Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-10-25T23:10:47Z,40000,,,0,,Jump Ball R. Williams III vs. M. Plumlee: Tip to M. Smart,"[203935, 1629057, 203486]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2021-10-25T23:11:08.3Z,1,REGULAR,3pt,Jump Shot,[],203471,86.81011826544021,95.83333333333334,1610612738,0,3,2021-10-25T23:11:15Z,70000,229.0,71.0,1,right,D. Schroder 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[203471, 1628369]",1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,24.01,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
8,PT11M10.00S,2021-10-25T23:11:30.2Z,1,REGULAR,3pt,Jump Shot,[],1626162,27.283180026281208,13.970588235294118,1610612766,3,3,2021-10-25T23:11:39Z,80000,180.0,204.0,1,left,K. Oubre Jr. 27' 3PT  (3 PTS) (L. Ball 1 AST),"[1626162, 1630163]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,27.21,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
10,PT10M56.00S,2021-10-25T23:11:47.4Z,1,REGULAR,turnover,out-of-bounds,[],1629057,,,1610612738,3,3,2021-10-25T23:17:19Z,100000,,,0,,R. Williams III lost ball out-of-bounds TURNOVER (1 TO),[1629057],1610612738.0,BOS,lost ball,,,Williams III,R. Williams III,,,,,,,,,,,2005.0,1.0,,,,,,,,,,,,
11,PT10M37.00S,2021-10-25T23:12:11.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,8.492115637319317,47.30392156862745,1610612766,3,3,2021-10-25T23:12:17Z,110000,13.0,27.0,1,left,MISS K. Oubre Jr. driving Layup - blocked,"[1626162, 1629057]",1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,3.05,Missed,,,,,,,Williams III,1629057.0,,,,,,,,,,
12,PT10M37.00S,2021-10-25T23:12:11.3Z,1,REGULAR,block,,[],1629057,,,1610612766,3,3,2021-10-25T23:12:13Z,120000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,
13,PT10M34.00S,2021-10-25T23:12:14.3Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612766,3,3,2021-10-25T23:12:17Z,130000,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,
14,PT10M31.00S,2021-10-25T23:12:16.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628970,25.57490144546649,16.911764705882355,1610612766,6,3,2021-10-25T23:12:24Z,140000,165.0,188.0,1,left,M. Bridges 25' 3PT  (3 PTS) (K. Oubre Jr. 1 AST),"[1628970, 1626162]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,25.03,Made,3.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,,,
16,PT10M19.00S,2021-10-25T23:12:30.0Z,1,REGULAR,3pt,Jump Shot,[],203935,66.44218134034165,18.627450980392158,1610612738,6,3,2021-10-25T23:12:35Z,160000,-157.0,263.0,1,right,MISS M. Smart 30' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,30.62,Missed,,,,,,,,,,,,,,,,,,
17,PT10M14.00S,2021-10-25T23:12:35.0Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,6,3,2021-10-25T23:12:35Z,170000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M07.00S,2021-10-25T23:12:41.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,12.302890932982917,49.26470588235294,1610612766,8,3,2021-10-25T23:12:46Z,180000,4.0,63.0,1,left,M. Plumlee 6' driving Hook (2 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,driving,,,Plumlee,M. Plumlee,,,,,6.32,Made,2.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
20,PT09M51.00S,2021-10-25T23:12:58.2Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.17279894875165,18.627450980392158,1610612738,8,3,2021-10-25T23:13:03Z,200000,-157.0,218.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,26.9,Missed,,,,,,,,,,,,,,,,,,
21,PT09M48.00S,2021-10-25T23:13:01.2Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,8,3,2021-10-25T23:13:03Z,210000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,
22,PT09M42.00S,2021-10-25T23:13:06.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,19.004599211563733,91.17647058823529,1610612766,8,3,2021-10-25T23:16:07Z,220000,-206.0,126.0,1,left,MISS G. Hayward 24' running 3PT,[202330],1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,24.14,Missed,,,,,,,,,,,,,,,,,,
23,PT09M40.00S,2021-10-25T23:13:08.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,3,2021-10-25T23:16:07Z,230000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M28.00S,2021-10-25T23:13:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.72339027595268,60.29411764705882,1610612738,8,3,2021-10-25T23:13:28Z,240000,51.0,16.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,5.39,Missed,,,,,,,,,,,,,,,,,,
25,PT09M26.00S,2021-10-25T23:13:22.2Z,1,REGULAR,rebound,offensive,[],1629057,,,1610612738,8,3,2021-10-25T23:13:22Z,250000,,,0,,R. Williams III REBOUND (Off:1 Def:0),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,24.0,1.0,0.0,1.0,,,,,,
26,PT09M24.00S,2021-10-25T23:13:24.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,69.85873850197109,77.45098039215686,1610612738,8,3,2021-10-25T23:13:34Z,260000,137.0,231.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,26.86,Missed,,,,,,,,,,,,,,,,,,
27,PT09M24.00S,2021-10-25T23:13:24.6Z,1,REGULAR,rebound,offensive,[],1627759,,,1610612738,8,3,2021-10-25T23:13:34Z,270000,,,0,,J. Brown REBOUND (Off:1 Def:0),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,
28,PT09M14.00S,2021-10-25T23:13:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.1688567674113,48.77450980392157,1610612738,8,5,2021-10-25T23:13:41Z,280000,-6.0,2.0,1,right,J. Tatum driving reverse Layup (2 PTS),[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,0.65,Made,2.0,,,,,,,,,,,,,,,,,
29,PT08M59.00S,2021-10-25T23:13:48.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,26.888961892247043,11.029411764705882,1610612766,11,5,2021-10-25T23:13:53Z,290000,195.0,200.0,1,left,L. Ball 27' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1630163, 203486]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.95,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,
31,PT08M36.00S,2021-10-25T23:14:11.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,92.32917214191852,96.56862745098039,1610612738,11,5,2021-10-25T23:14:16Z,310000,233.0,20.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,23.36,Missed,,,,,,,,,,,,,,,,,,
32,PT08M34.00S,2021-10-25T23:14:13.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,11,5,2021-10-25T23:24:01Z,320000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT08M28.00S,2021-10-25T23:14:20.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1630163,12.697109067017081,49.26470588235294,1610612766,11,5,2021-10-25T23:14:46Z,330000,4.0,67.0,1,left,MISS L. Ball 6' fadeaway Shot,[1630163],1610612766.0,CHA,fadeaway,,,Ball,L. Ball,,,,,6.7,Missed,,,,,,,,,,,,,,,,,,
34,PT08M26.00S,2021-10-25T23:14:22.2Z,1,REGULAR,rebound,defensive,[],203471,,,1610612738,11,5,2021-10-25T23:22:04Z,340000,,,0,,D. Schroder REBOUND (Off:0 Def:1),[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,
