actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-26T00:10:46.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-26T00:10:48.4Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612766,0,0,2022-02-26T00:10:48Z,40000,,,0,,Jump Ball M. Plumlee vs. S. Barnes: Tip to T. Rozier,"[1626179, 203486, 1630567]",1610612766.0,CHA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Plumlee,203486.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2022-02-26T00:11:10.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,96.7969776609724,2.450980392156863,1610612766,0,0,2022-02-26T00:11:17Z,70000,-238.0,-22.0,1,right,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-02-26T00:11:12.4Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-02-26T00:11:12Z,80000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-26T00:11:19.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628970,93.9060446780552,52.20588235294118,1610612766,0,0,2022-02-26T00:11:24Z,90000,11.0,5.0,1,right,MISS M. Bridges driving reverse Layup,[1628970],1610612766.0,CHA,driving reverse,,,Bridges,M. Bridges,,,,,1.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-02-26T00:11:19.5Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-02-26T00:11:39Z,100000,,,0,,M. Plumlee REBOUND (Off:2 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
51,PT11M26.00S,2022-02-26T00:11:22.6Z,1,REGULAR,turnover,out-of-bounds,[],203486,,,1610612766,0,0,2022-02-26T00:16:54Z,105000,,,0,,M. Plumlee step out-of-bounds TURNOVER (1 TO),[203486],1610612766.0,CHA,step,,,Plumlee,M. Plumlee,,,,,,,,,,,200833.0,1.0,,,,,,,,,,,,
11,PT11M26.00S,2022-02-26T00:11:25.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,0,0,2022-02-26T00:16:54Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-02-26T00:11:47.2Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612761,0,0,2022-02-26T00:12:18Z,120000,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1629023]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,1.0,Washington,1629023.0,,,,,,,,,,
13,PT11M09.00S,2022-02-26T00:11:47.2Z,1,REGULAR,steal,,[],1629023,,,1610612766,0,0,2022-02-26T00:11:49Z,130000,,,0,,P. Washington STEAL (1 STL),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,
