actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-06T00:10:45.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T00:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-06T00:10:47.6Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-01-06T00:10:47Z,40000,,,0,,Jump Ball M. Plumlee vs. T. Lyles: Tip to L. Ball,"[1630163, 203486, 1626168]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Lyles,1626168.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-06T00:11:03.7Z,1,REGULAR,3pt,Jump Shot,[],1630163,67.7562417871222,26.47058823529412,1610612766,3,0,2022-01-06T00:11:12Z,70000,-118.0,251.0,1,right,L. Ball 27' 3PT  (3 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.68,Made,3.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
9,PT11M19.00S,2022-01-06T00:11:27.7Z,1,REGULAR,foul,personal,[],202330,,,1610612765,3,0,2022-01-06T00:11:40Z,90000,,,0,,G. Hayward personal FOUL (1 PF),"[202330, 1630165]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,1627961.0,1.0,0.0,Hayes,1630165.0,,,,,,,,,,
11,PT11M14.00S,2022-01-06T00:11:48.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,33.590670170827856,54.41176470588235,1610612765,3,3,2022-01-06T00:11:56Z,110000,-22.0,263.0,1,left,S. Bey 26' 3PT  (3 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,26.42,Made,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,,,,,,
13,PT10M59.00S,2022-01-06T00:12:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628970,93.38042049934296,50.73529411764706,1610612766,5,3,2022-01-06T00:12:08Z,130000,4.0,10.0,1,right,M. Bridges DUNK (2 PTS) (M. Plumlee 1 AST),"[1628970, 203486]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,1.04,Made,2.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,,,,,
15,PT10M44.00S,2022-01-06T00:12:17.4Z,1,REGULAR,2pt,Jump Shot,[],1626168,24.655059132720105,48.28431372549019,1610612765,5,5,2022-01-06T00:12:54Z,150000,9.0,179.0,1,left,T. Lyles 17' pullup Jump Shot (2 PTS),[1626168],1610612765.0,DET,pullup,,,Lyles,T. Lyles,,,,,17.95,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2022-01-06T00:12:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,92.9862023653088,41.911764705882355,1610612766,7,5,2022-01-06T00:12:53Z,160000,-40.0,13.0,1,right,M. Bridges Layup (4 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,4.26,Made,4.0,,,,,,,,,,,,,,,,,,
17,PT10M26.00S,2022-01-06T00:12:42.3Z,1,REGULAR,foul,personal,['1freethrow'],1630165,,,1610612766,7,5,2022-01-06T00:12:57Z,170000,,,0,,K. Hayes shooting personal FOUL (1 PF) (Bridges 1 FT),"[1630165, 1628970]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,,,,,,,1627961.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,
19,PT10M26.00S,2022-01-06T00:13:05.4Z,1,REGULAR,freethrow,1 of 1,[],1628970,,,1610612766,7,5,2022-01-06T00:13:10Z,190000,,,0,,MISS M. Bridges Free Throw 1 of 1,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,Missed,,,,,,,,,,,,,,,,,,,
