actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-23T23:11:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-23T23:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-23T23:11:03.9Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-03-23T23:11:04Z,40000,,,0,,Jump Ball M. Plumlee vs. J. Sims: Tip to L. Ball,"[1630163, 203486, 1630579]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-03-23T23:11:17.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,92.59198423127464,44.36274509803921,1610612766,0,0,2022-03-23T23:11:22Z,70000,-28.0,17.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,3.3,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-03-23T23:11:20.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,0,0,2022-03-23T23:11:20Z,80000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-23T23:11:38.6Z,1,REGULAR,3pt,Jump Shot,[],1629628,28.991458607095925,78.92156862745098,1610612752,0,0,2022-03-23T23:11:43Z,90000,-145.0,220.0,1,left,MISS R. Barrett 26' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-03-23T23:11:41.6Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,0,2022-03-23T23:11:43Z,100000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-03-23T23:11:46.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,72.35545335085413,12.745098039215685,1610612766,0,0,2022-03-23T23:11:58Z,110000,-186.0,207.0,1,right,MISS L. Ball 27' 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,27.88,Missed,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-03-23T23:11:50.4Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612752,0,0,2022-03-23T23:11:58Z,120000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2022-03-23T23:12:05.9Z,1,REGULAR,3pt,Jump Shot,[],1629628,26.888961892247043,80.88235294117648,1610612752,0,3,2022-03-23T23:12:09Z,130000,-154.0,200.0,1,left,R. Barrett 25' 3PT  (3 PTS) (J. Sims 1 AST),"[1629628, 1630579]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.29,Made,,,,,3.0,J. Sims,1630579.0,1.0,,,,,,,,,,
15,PT10M41.00S,2022-03-23T23:12:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.38042049934296,51.71568627450981,1610612766,2,3,2022-03-23T23:12:22Z,150000,9.0,10.0,1,right,M. Plumlee alley-oop Layup (2 PTS) (T. Rozier 1 AST),"[203486, 1626179]",1610612766.0,CHA,alley-oop,,,Plumlee,M. Plumlee,,,,,1.3,Made,,,,,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,
