actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-03T00:10:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-03T00:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-03T00:10:46.5Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612756,0,0,2022-01-03T00:10:46Z,40000,,,0,,Jump Ball J. Smith vs. M. Plumlee: Tip to C. Paul,"[101108, 1630188, 203486]",1610612756.0,PHX,startperiod,C. Paul,101108.0,Paul,C. Paul,Smith,1630188.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-01-03T00:10:57.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,94.56307490144546,51.225490196078425,1610612756,0,2,2022-01-03T00:11:27Z,70000,6.0,-1.0,1,right,J. Smith cutting DUNK (2 PTS) (D. Booker 1 AST),"[1630188, 1626164]",1610612756.0,PHX,cutting,,,Smith,J. Smith,,,,,0.63,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-01-03T00:11:25.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,23.47240473061761,58.57843137254902,1610612766,2,2,2022-01-03T00:12:06Z,90000,-43.0,168.0,1,left,T. Rozier 17' pullup Jump Shot (2 PTS) (M. Bridges 1 AST),"[1626179, 1628970]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,17.35,Made,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,,,,
10,PT11M05.00S,2022-01-03T00:11:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630188,72.61826544021025,78.92156862745098,1610612756,2,2,2022-01-03T00:11:44Z,100000,145.0,205.0,1,right,MISS J. Smith 25' 3PT,[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,25.08,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2022-01-03T00:11:41.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,2,2022-01-03T00:11:41Z,110000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M45.00S,2022-01-03T00:11:59.0Z,1,REGULAR,3pt,Jump Shot,[],1626179,12.302890932982917,94.6078431372549,1610612766,2,2,2022-01-03T00:12:49Z,120000,-223.0,63.0,1,left,MISS T. Rozier step back 3PT,[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,23.18,Missed,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2022-01-03T00:12:03.0Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612756,2,2,2022-01-03T00:12:49Z,130000,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612756.0,PHX,,,,Smith,J. Smith,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M33.00S,2022-01-03T00:12:09.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,81.68528252299606,50.245098039215684,1610612756,2,4,2022-01-03T00:12:14Z,140000,1.0,120.0,1,right,D. Booker 11' turnaround fadeaway Jump Shot (2 PTS),[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,11.97,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M24.00S,2022-01-03T00:12:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,7.178055190538765,53.67647058823529,1610612766,2,4,2022-01-03T00:14:05Z,150000,-18.0,15.0,1,left,MISS L. Ball driving Layup,[1630163],1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,2.37,Missed,,,,,,,,,,,,,,,,,,
