actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-03-21T23:10:26.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-21T23:10:26Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-21T23:10:30.8Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2022-03-21T23:10:30Z,40000,,,0,,Jump Ball J. Valanciunas vs. M. Plumlee: Tip to H. Jones,"[1630529, 202685, 203486]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-21T23:10:45.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.28449408672799,49.754901960784316,1610612740,0,2,2022-03-21T23:10:50Z,70000,-1.0,76.0,1,right,J. Valanciunas 7' Jump Shot (2 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,7.64,Made,2.0,C. McCollum,203468.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-03-21T23:11:04.7Z,1,REGULAR,3pt,Jump Shot,[],1626179,9.543363994743759,96.32352941176471,1610612766,0,2,2022-03-21T23:11:09Z,90000,-232.0,37.0,1,left,MISS T. Rozier fadeaway 3PT,[1626179],1610612766.0,CHA,fadeaway,,,Rozier,T. Rozier,,,,,23.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-03-21T23:11:07.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,2,2022-03-21T23:11:09Z,100000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M07.00S,2022-03-21T23:11:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.46057818659659,55.14705882352941,1610612740,0,2,2022-03-21T23:11:24Z,110000,26.0,18.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 1630163]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,3.16,Missed,,,,,,,,,Ball,1630163.0,,,,,,,,,
12,PT11M07.00S,2022-03-21T23:11:18.9Z,1,REGULAR,block,,[],1630163,,,1610612740,0,2,2022-03-21T23:11:21Z,120000,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-03-21T23:11:21.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,2,2022-03-21T23:11:24Z,130000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M02.00S,2022-03-21T23:11:23.7Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,0,2,2022-03-21T23:11:30Z,140000,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1630529]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,
15,PT11M02.00S,2022-03-21T23:11:23.7Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,2,2022-03-21T23:16:31Z,150000,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,,,,,,,,,,,,,,,,,,,,,
