actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-06T00:10:45.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T00:10:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-06T00:10:48.1Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2022-02-06T00:10:48Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Plumlee: Tip to P. Tucker,"[200782, 1628389, 203486]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-06T00:10:59.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],200782,8.623521681997373,50.245098039215684,1610612748,0,2,2022-02-06T00:14:32Z,70000,-1.0,29.0,1,left,P. Tucker Hook (2 PTS) (B. Adebayo 1 AST),"[200782, 1628389]",1610612748.0,MIA,,,,Tucker,P. Tucker,,,,,2.86,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-02-06T00:11:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,80.1084099868594,51.225490196078425,1610612766,0,2,2022-02-06T00:11:23Z,90000,6.0,134.0,1,right,MISS G. Hayward 13' step back Shot,[202330],1610612766.0,CHA,step back,,,Hayward,G. Hayward,,,,,13.46,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2022-02-06T00:11:21.3Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,2,2022-02-06T00:11:21Z,100000,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M18.00S,2022-02-06T00:11:26.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202710,26.757555847568987,19.607843137254903,1610612748,0,2,2022-02-06T00:11:31Z,110000,152.0,199.0,1,left,MISS J. Butler 25' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,25.04,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2022-02-06T00:11:29.4Z,1,REGULAR,rebound,defensive,[],202330,,,1610612766,0,2,2022-02-06T00:11:31Z,120000,,,0,,G. Hayward REBOUND (Off:0 Def:1),[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M05.00S,2022-02-06T00:11:41.7Z,1,REGULAR,foul,personal,[],202710,,,1610612766,0,2,2022-02-06T00:11:55Z,130000,,,0,,J. Butler personal FOUL (1 PF),"[202710, 202330]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,2530.0,1.0,0.0,Hayward,202330.0,,,,,,
15,PT10M58.00S,2022-02-06T00:12:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.38042049934296,50.73529411764706,1610612766,2,2,2022-02-06T00:12:12Z,150000,4.0,10.0,1,right,L. Ball driving Layup (2 PTS) (T. Rozier 1 AST),"[1630163, 1626179]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,1.04,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
17,PT10M48.00S,2022-02-06T00:12:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,7.440867279894875,48.77450980392157,1610612748,2,2,2022-02-06T00:12:27Z,170000,6.0,17.0,1,left,MISS D. Robinson cutting Layup - blocked,"[1629130, 203486]",1610612748.0,MIA,cutting,,,Robinson,D. Robinson,,,,,1.84,Missed,,,,,,,,,,,,,,Plumlee,203486.0,,,,
