actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-13T00:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-13T00:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-13T00:10:43.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-02-13T00:10:43Z,40000,,,0,,Jump Ball S. Adams vs. M. Plumlee: Tip to J. Morant,"[1629630, 203500, 203486]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-13T00:10:58.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612763,0,0,2022-02-13T00:10:58Z,70000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-02-13T00:11:19.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629630,93.77463863337714,52.20588235294118,1610612763,0,2,2022-02-13T00:11:24Z,80000,11.0,6.0,1,right,J. Morant driving Layup (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,1.25,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2022-02-13T00:11:43.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,15.588042049934298,94.85294117647058,1610612766,0,2,2022-02-13T00:11:48Z,90000,-224.0,94.0,1,left,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-02-13T00:11:46.8Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2022-02-13T00:11:48Z,100000,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M05.00S,2022-02-13T00:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1628991,97.19119579500656,98.52941176470588,1610612763,0,2,2022-02-13T00:11:57Z,110000,243.0,-26.0,1,right,MISS J. Jackson Jr. 24' 3PT,[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,24.4,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-02-13T00:11:56.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,2,2022-02-13T00:11:57Z,120000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M53.00S,2022-02-13T00:12:04.8Z,1,REGULAR,turnover,lost ball,[],1630163,,,1610612766,0,2,2022-02-13T00:12:18Z,130000,,,0,,L. Ball lost ball TURNOVER (1 TO),"[1630163, 1630217]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,1.0,Bane,1630217.0,,,,,,,,,,,
15,PT10M53.00S,2022-02-13T00:12:04.8Z,1,REGULAR,steal,,[],1630217,,,1610612763,0,2,2022-02-13T00:13:09Z,140000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,
