actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2021-11-27T00:10:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-27T00:10:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-27T00:10:32.7Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-27T00:10:32Z,40000,,,0,,Jump Ball P. Washington vs. K. Towns: Tip to L. Ball,"[1630163, 1629023, 1626157]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Washington,1629023.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2021-11-27T00:10:42.9Z,1,REGULAR,3pt,Jump Shot,[],202330,82.47371879106439,1.9607843137254901,1610612766,0,0,2021-11-27T00:10:48Z,70000,-240.0,112.0,1,right,MISS G. Hayward 26' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,26.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2021-11-27T00:10:44.9Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,0,2021-11-27T00:10:48Z,80000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2021-11-27T00:11:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,6.258212877792378,51.71568627450981,1610612750,0,2,2021-11-27T00:11:06Z,90000,-9.0,6.0,1,left,D. Russell cutting Layup (2 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,cutting,,,Russell,D. Russell,,,,,1.07,Made,,,,,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,
11,PT11M05.00S,2021-11-27T00:11:23.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202330,89.83245729303549,45.588235294117645,1610612766,2,2,2021-11-27T00:11:50Z,110000,-22.0,43.0,1,right,G. Hayward fadeaway Jump Shot (2 PTS) (M. Bridges 1 AST),"[202330, 1628970]",1610612766.0,CHA,fadeaway,,,Hayward,G. Hayward,,,,,4.84,Made,,,,,2.0,M. Bridges,1628970.0,1.0,,,,,,,,,,
13,PT10M55.00S,2021-11-27T00:11:37.0Z,1,REGULAR,violation,kicked ball,[],1629023,,,1610612750,2,2,2021-11-27T00:11:42Z,130000,,,0,,P. Washington kicked ball VIOLATION,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,1628480.0,,,,,,,,,
20,PT10M55.00S,2021-11-27T00:11:42.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,2,2021-11-27T00:12:42Z,135000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2021-11-27T00:11:48.9Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,2,2,2021-11-27T00:12:02Z,140000,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,,,,,,,,,,,1628480.0,1.0,,,,,,,,
15,PT10M40.00S,2021-11-27T00:12:13.5Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,2,2,2021-11-27T00:12:18Z,150000,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 1629020]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,
16,PT10M40.00S,2021-11-27T00:12:13.5Z,1,REGULAR,steal,,[],1629020,,,1610612750,2,2,2021-11-27T00:12:15Z,160000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2021-11-27T00:12:17.9Z,1,REGULAR,turnover,out-of-bounds,[],1629020,,,1610612750,2,2,2021-11-27T00:12:32Z,170000,,,0,,J. Vanderbilt bad pass out-of-bounds TURNOVER (1 TO),[1629020],1610612750.0,MIN,bad pass,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,1162.0,1.0,,,,,,,,
30,PT10M38.00S,2021-11-27T00:12:24.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,2,2,2021-11-27T00:13:49Z,175000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2021-11-27T00:12:30.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630163,89.56964520367937,35.53921568627451,1610612766,2,2,2021-11-27T00:14:32Z,180000,-72.0,46.0,1,right,MISS L. Ball 8' driving floating bank Shot,[1630163],1610612766.0,CHA,driving floating bank,,,Ball,L. Ball,,,,,8.54,Missed,,,,,,,,,,,,,,,,,,
