actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-04-07T23:11:36.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-07T23:11:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-07T23:11:39.1Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2022-04-07T23:11:39Z,40000,,,0,,Jump Ball M. Bamba vs. M. Plumlee: Tip to M. Fultz,"[1628365, 1628964, 203486]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Bamba,1628964.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-04-07T23:11:50.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629021,91.5407358738502,44.6078431372549,1610612753,0,0,2022-04-07T23:11:56Z,70000,-27.0,27.0,1,right,MISS M. Wagner cutting Layup - blocked,"[1629021, 1629023]",1610612753.0,ORL,cutting,,,Wagner,M. Wagner,,,,,3.82,Missed,Washington,1629023.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-04-07T23:11:50.7Z,1,REGULAR,block,,[],1629023,,,1610612753,0,0,2022-04-07T23:11:53Z,80000,,,0,,P. Washington BLOCK (1 BLK),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2022-04-07T23:11:50.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2022-04-07T23:11:56Z,90000,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,
10,PT11M47.00S,2022-04-07T23:11:56.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2022-04-07T23:11:56Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2022-04-07T23:12:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,9.543363994743759,44.6078431372549,1610612766,0,0,2022-04-07T23:12:45Z,110000,27.0,37.0,1,left,MISS M. Bridges driving Layup,[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,4.6,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2022-04-07T23:12:22.5Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,0,0,2022-04-07T23:12:45Z,120000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT11M21.00S,2022-04-07T23:12:22.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203486,5.590000152587891,50.0,1610612766,2,0,2022-04-07T23:13:12Z,130000,0.0,0.0,1,left,M. Plumlee tip Layup (2 PTS),[203486],1610612766.0,CHA,tip,,,Plumlee,M. Plumlee,,,,,0.0,Made,,,,,,,2.0,,,,,,,,,,,,
14,PT11M14.00S,2022-04-07T23:12:30.0Z,1,REGULAR,turnover,out-of-bounds,[],1630591,,,1610612753,2,0,2022-04-07T23:12:37Z,140000,,,0,,J. Suggs lost ball out-of-bounds TURNOVER (1 TO),[1630591],1610612753.0,ORL,lost ball,,,Suggs,J. Suggs,,,,,,,,,,,,,,1179.0,1.0,,,,,,,,,,
