actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-30T18:10:33.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T18:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-30T18:10:51.0Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-01-30T18:10:51Z,40000,,,0,,Jump Ball M. Plumlee vs. I. Zubac: Tip to L. Ball,"[1630163, 203486, 1627826]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-30T18:11:06.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203486,7.703679369250986,46.07843137254902,1610612766,0,0,2022-01-30T18:11:10Z,70000,20.0,20.0,1,left,MISS M. Plumlee Hook,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,2.79,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-30T18:11:08.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2022-01-30T18:17:53Z,80000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-01-30T18:11:21.7Z,1,REGULAR,2pt,Jump Shot,[],202704,78.26872536136662,68.38235294117648,1610612746,0,0,2022-01-30T18:11:25Z,90000,92.0,152.0,1,right,MISS R. Jackson 17' pullup Shot,[202704],1610612746.0,LAC,pullup,,,Jackson,R. Jackson,,,,,17.75,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-01-30T18:11:23.7Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,0,0,2022-01-30T18:11:25Z,100000,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M16.00S,2022-01-30T18:11:33.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,8.886333771353483,49.01960784313725,1610612766,0,0,2022-01-30T18:11:37Z,110000,5.0,31.0,1,left,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,3.14,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-30T18:11:35.0Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,0,0,2022-01-30T18:11:37Z,120000,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-01-30T18:11:43.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,86.94152431011827,49.754901960784316,1610612746,0,2,2022-01-30T18:11:47Z,130000,-1.0,70.0,1,right,I. Zubac 7' Hook (2 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,7.02,Made,,,,,2.0,R. Jackson,202704.0,1.0,,,,,,,,,,,
15,PT10M44.00S,2022-01-30T18:12:04.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628998,16.90210249671485,50.0,1610612766,0,2,2022-01-30T18:12:09Z,150000,0.0,106.0,1,left,MISS C. Martin 10' turnaround fadeaway Shot,[1628998],1610612766.0,CHA,turnaround fadeaway,,,Martin,C. Martin,,,,,10.64,Missed,,,,,,,,,,,,,,,,,,,
