actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-24T00:10:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-24T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-24T00:10:34.8Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-01-24T00:10:34Z,40000,,,0,,Jump Ball M. Plumlee vs. C. Capela: Tip to L. Ball,"[1630163, 203486, 203991]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-24T00:10:51.6Z,1,REGULAR,2pt,Jump Shot,[],1628970,72.22404730617609,31.61764705882353,1610612766,2,0,2022-01-24T00:10:57Z,70000,-92.0,209.0,1,right,M. Bridges 22' step back Jump Shot (2 PTS) (T. Rozier 1 AST),"[1628970, 1626179]",1610612766.0,CHA,step back,,,Bridges,M. Bridges,,,,,22.79,Made,2.0,T. Rozier,1626179.0,1.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2022-01-24T00:11:07.2Z,1,REGULAR,3pt,Jump Shot,[],1629631,26.888961892247043,79.41176470588235,1610612737,2,0,2022-01-24T00:11:11Z,90000,-147.0,200.0,1,left,MISS D. Hunter 24' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,24.85,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2022-01-24T00:11:09.2Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,2,0,2022-01-24T00:11:11Z,100000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M16.00S,2022-01-24T00:11:15.2Z,1,REGULAR,2pt,Jump Shot,[],1630163,78.13731931668858,38.72549019607843,1610612766,2,0,2022-01-24T00:11:19Z,110000,-56.0,153.0,1,right,MISS L. Ball 16' pullup Shot,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,16.31,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-24T00:11:17.2Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,0,2022-01-24T00:11:19Z,120000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M08.00S,2022-01-24T00:11:24.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,6.258212877792378,50.245098039215684,1610612737,2,2,2022-01-24T00:11:28Z,130000,-1.0,6.0,1,left,C. Capela alley-oop DUNK (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,0.64,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,,,,
15,PT10M55.00S,2022-01-24T00:11:37.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,84.57621550591328,54.41176470588235,1610612766,2,2,2022-01-24T00:11:41Z,150000,22.0,92.0,1,right,MISS T. Rozier 9' turnaround fadeaway Shot,[1626179],1610612766.0,CHA,turnaround fadeaway,,,Rozier,T. Rozier,,,,,9.51,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-01-24T00:11:39.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,2,2022-01-24T00:11:41Z,160000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,
