actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-10-31T23:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-31T23:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-10-31T23:10:43.5Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-10-31T23:10:43Z,40000,,,0,,Jump Ball J. Nurkic vs. M. Plumlee: Tip to D. Lillard,"[203081, 203994, 203486]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-10-31T23:10:59.9Z,1,REGULAR,3pt,Jump Shot,[],203496,26.757555847568987,81.37254901960785,1610612757,0,0,2021-10-31T23:11:08Z,70000,-157.0,199.0,1,left,MISS R. Covington 25' 3PT,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,25.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-10-31T23:11:00.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,0,0,2021-10-31T23:11:08Z,80000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2021-10-31T23:11:07.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,0,0,2021-10-31T23:11:07Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2021-10-31T23:11:40.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203994,19.66162943495401,68.38235294117648,1610612757,0,2,2021-10-31T23:11:48Z,100000,-92.0,132.0,1,left,J. Nurkic 16' Jump Shot (2 PTS) (D. Lillard 1 AST),"[203994, 203081]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,16.11,Made,,2.0,D. Lillard,203081.0,1.0,,,,,,,,,,,,,
12,PT11M21.00S,2021-10-31T23:11:58.2Z,1,REGULAR,foul,offensive,[],203486,,,1610612766,0,2,2021-10-31T23:12:23Z,120000,,,0,,M. Plumlee offensive FOUL (1 PF),"[203486, 203468]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,203592.0,1.0,0.0,McCollum,203468.0,,,,,,,,
14,PT11M21.00S,2021-10-31T23:11:58.2Z,1,REGULAR,turnover,offensive foul,[],203486,,,1610612766,0,2,2021-10-31T23:11:58Z,140000,,,0,,M. Plumlee offensive foul TURNOVER (1 TO),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,203592.0,,,,,1.0,,,,,,,
15,PT11M00.00S,2021-10-31T23:12:42.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626181,13.354139290407357,2.696078431372549,1610612757,0,2,2021-10-31T23:12:48Z,150000,237.0,73.0,1,left,MISS N. Powell 24' 3PT,[1626181],1610612757.0,POR,,,,Powell,N. Powell,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2021-10-31T23:12:46.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,2,2021-10-31T23:12:46Z,160000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,15.0,,,,,,,,,,,1.0,1.0,0.0,,,,
