actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-18T00:10:46.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-18T00:10:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-18T00:10:49.3Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-02-18T00:10:49Z,40000,,,0,,Jump Ball B. Adebayo vs. M. Plumlee: Tip to K. Lowry,"[200768, 1628389, 203486]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-02-18T00:11:10.5Z,1,REGULAR,3pt,Jump Shot,[],202710,5.469776609724048,4.6568627450980395,1610612748,0,0,2022-02-18T00:11:15Z,70000,227.0,-1.0,1,left,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,22.67,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2022-02-18T00:11:13.5Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-02-18T00:11:15Z,80000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-02-18T00:11:32.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612766,0,0,2022-02-18T00:11:32Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2022-02-18T00:11:45.0Z,1,REGULAR,3pt,Jump Shot,[],1628970,66.96780551905388,46.32352941176471,1610612766,0,0,2022-02-18T00:12:03Z,100000,-18.0,258.0,1,right,MISS M. Bridges 25' pullup 3PT,[1628970],1610612766.0,CHA,pullup,,,Bridges,M. Bridges,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M09.00S,2022-02-18T00:11:48.0Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2022-02-18T00:11:50Z,110000,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT10M55.00S,2022-02-18T00:12:02.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,26.231931668856767,62.99019607843137,1610612748,0,0,2022-02-18T00:12:11Z,120000,-65.0,194.0,1,left,MISS B. Adebayo 20' Jump Shot,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,20.47,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-02-18T00:12:06.0Z,1,REGULAR,rebound,offensive,[],200768,,,1610612748,0,0,2022-02-18T00:12:11Z,130000,,,0,,K. Lowry REBOUND (Off:1 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-02-18T00:12:11.9Z,1,REGULAR,turnover,bad pass,[],200768,,,1610612748,0,0,2022-02-18T00:40:18Z,140000,,,0,,K. Lowry bad pass TURNOVER (1 TO),"[200768, 1626179]",1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,1.0,Rozier,1626179.0,,,,,,,,,,,,
