actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-06T00:10:32.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T00:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-06T00:10:36.0Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612766,0,0,2022-03-06T00:10:36Z,40000,,,0,,Jump Ball M. Plumlee vs. J. Poeltl: Tip to P. Washington,"[1629023, 203486, 1627751]",1610612766.0,CHA,startperiod,P. Washington,1629023.0,Washington,P. Washington,Plumlee,203486.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,
14,PT11M56.00S,2022-03-06T00:10:49.3Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,0,0,2022-03-06T00:11:47Z,70000,,,0,,T. Rozier step out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,step,,,Rozier,T. Rozier,,,,,202049.0,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-03-06T00:11:02.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,24.129434954007884,49.01960784313725,1610612759,0,0,2022-03-06T00:11:51Z,80000,5.0,174.0,1,left,MISS D. Murray 17' Jump Shot,[1627749],1610612759.0,SAS,,,,Murray,D. Murray,,,,,,,17.44,Missed,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2022-03-06T00:11:05.3Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,0,2022-03-06T00:11:05Z,90000,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M25.00S,2022-03-06T00:11:15.2Z,1,REGULAR,foul,personal,[],1627749,,,1610612766,0,0,2022-03-06T00:11:24Z,100000,,,0,,D. Murray personal FOUL (1 PF),"[1627749, 203486]",1610612759.0,SAS,,,,Murray,D. Murray,,,,,201638.0,,,,,,,,1.0,0.0,Plumlee,203486.0,,,,,,,,,
12,PT11M21.00S,2022-03-06T00:11:36.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203486,93.51182654402102,49.754901960784316,1610612766,2,0,2022-03-06T00:14:20Z,120000,-1.0,8.0,1,right,M. Plumlee cutting Layup (2 PTS) (L. Ball 1 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,,,0.86,Made,,,,,,,,,2.0,L. Ball,1630163.0,1.0,,,,,
15,PT11M08.00S,2022-03-06T00:11:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,6.389618922470433,51.71568627450981,1610612759,2,0,2022-03-06T00:11:56Z,140000,-9.0,8.0,1,left,MISS J. Poeltl Layup,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,1.15,Missed,,,,,,,,,,,,,,,,,
16,PT11M08.00S,2022-03-06T00:11:49.8Z,1,REGULAR,rebound,offensive,[],203926,,,1610612759,2,0,2022-03-06T00:29:02Z,150000,,,0,,D. McDermott REBOUND (Off:1 Def:0),[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,
17,PT11M03.00S,2022-03-06T00:11:55.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629640,22.815374507227332,11.029411764705882,1610612759,2,3,2022-03-06T00:11:58Z,160000,195.0,162.0,1,left,K. Johnson 25' 3PT  (3 PTS) (D. McDermott 1 AST),"[1629640, 203926]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,25.34,Made,,,,,,,,,3.0,D. McDermott,203926.0,1.0,,,,,
