actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-20T23:13:03.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-20T23:13:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-20T23:13:06.4Z,1,REGULAR,jumpball,recovered,[],1627763,,,1610612754,0,0,2021-10-20T23:13:06Z,40000,,,0,,Jump Ball M. Turner vs. M. Plumlee: Tip to M. Brogdon,"[1627763, 1626167, 203486]",1610612754.0,IND,startperiod,M. Brogdon,1627763.0,Brogdon,M. Brogdon,Turner,1626167.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-10-20T23:13:32.2Z,1,REGULAR,foul,personal,[],203486,,,1610612754,0,0,2021-10-20T23:13:45Z,70000,,,0,,M. Plumlee personal FOUL (1 PF),"[203486, 1627734]",1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,1198.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
9,PT11M32.00S,2021-10-20T23:13:54.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.5722733245729295,49.50980392156863,1610612754,0,2,2021-10-20T23:14:30Z,90000,2.0,19.0,1,left,D. Sabonis cutting Layup (2 PTS) (J. Holiday 1 AST),"[1627734, 203200]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,,,,,,1.89,Made,2.0,J. Holiday,203200.0,1.0,,,,,,,,,,
11,PT11M21.00S,2021-10-20T23:14:05.6Z,1,REGULAR,2pt,Jump Shot,[],202330,71.96123521681997,48.529411764705884,1610612766,0,2,2021-10-20T23:14:11Z,110000,-7.0,211.0,1,right,MISS G. Hayward 21' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,,,,,,21.12,Missed,,,,,,,,,,,,,,
12,PT11M17.00S,2021-10-20T23:14:09.6Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,2,2021-10-20T23:14:11Z,120000,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M06.00S,2021-10-20T23:14:20.1Z,1,REGULAR,3pt,Jump Shot,[],1627763,6.783837056504599,95.83333333333334,1610612754,0,2,2021-10-20T23:14:24Z,130000,-229.0,11.0,1,left,MISS M. Brogdon 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,,,,,,22.95,Missed,,,,,,,,,,,,,,
14,PT11M04.00S,2021-10-20T23:14:22.1Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,2,2021-10-20T23:14:24Z,140000,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT10M56.00S,2021-10-20T23:14:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.9060446780552,53.18627450980392,1610612766,0,2,2021-10-20T23:14:35Z,150000,16.0,5.0,1,right,MISS L. Ball driving Layup - blocked,"[1630163, 1626167]",1610612766.0,CHA,driving,,,Ball,L. Ball,,,,,,,,,,1.66,Missed,,,,,,,,,Turner,1626167.0,,,,
16,PT10M56.00S,2021-10-20T23:14:30.7Z,1,REGULAR,block,,[],1626167,,,1610612766,0,2,2021-10-20T23:14:33Z,160000,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
